EURING,AANTAL,SOV_NDX
 1730,7,1
 1860,-1,1
 1940,12,1
 3670,5,1
 3940,8,1
 4240,6,1
 4290,6,1
 4500,7,1
 4690,1,1
 4930,34,1
 5320,36,1
 5460,15,1
 6680,7,1
 6700,-1,1
 7240,2,1
 9760,33,1
10110,-1,1
10171,7,1
10660,1,1
10840,3,1
11060,9,1
11870,-1,1
12500,4,1
12510,6,1
12750,5,1
13120,1,1
15490,2,1
15671,2,1
15980,9,1
16600,3,1
18770,4,1
 1700,1,2
 1730,11,2
 1860,-1,2
 1940,4,2
 2600,1,2
 3040,1,2
 3100,1,2
 3670,2,2
 3940,12,2
 4240,12,2
 4290,8,2
 4500,3,2
 4930,5,2
 5320,3,2
 5460,3,2
 6680,7,2
 6700,-1,2
 6870,8,2
 7240,2,2
 7570,1,2
 7670,1,2
 8560,5,2
 8760,3,2
10110,-1,2
10171,1,2
10660,54,2
10840,39,2
11060,7,2
11870,-1,2
12000,5,2
12020,2,2
12500,5,2
12510,5,2
12590,2,2
12740,2,2
12750,13,2
12760,19,2
12770,9,2
13110,23,2
13120,40,2
14370,2,2
14620,5,2
14640,11,2
14870,4,2
15490,8,2
15600,7,2
15671,2,2
15820,-1,2
15980,9,2
16490,6,2
16530,2,2
16600,7,2
18770,1,2
   70,-1,3
   90,-1,3
  120,1,3
  950,5,3
