GROEP,EURING,VEELEISEND
100,   70,2
100,   90,1
100,  100,2
100,  120,3
100, 1520,1
100, 1590,1
100, 1610,2
100, 1620,1
100, 1660,1
100, 1670,1
100, 1700,1
100, 1730,1
100, 1750,1
100, 1770,2
100, 1780,1
100, 1790,3
100, 1820,2
100, 1840,1
100, 1860,1
100, 1890,3
100, 1910,3
100, 1940,2
100, 1960,3
100, 1980,2
100, 2030,2
100, 2210,2
100, 4240,1
100, 4290,1
100, 5750,2
100, 5820,1
100, 6150,2
100, 6270,3
100,20040,1
101,   70,2
101,  120,3
101, 1840,2
101, 6270,3
102,  100,2
102, 1610,2
102, 1790,3
102, 1820,2
102, 1890,3
102, 1910,3
102, 1940,2
102, 1960,3
102, 1980,2
102, 5820,1
102, 6150,2
102, 8310,3
103,   90,1
103, 1520,1
103, 1590,1
103, 1620,1
103, 1660,1
103, 1670,1
103, 1700,1
103, 1730,1
103, 1750,1
103, 1770,2
103, 1780,1
103, 1860,1
103, 2030,2
103, 2210,2
103, 4290,1
103, 5750,2
103,20040,1
104, 8310,3
104, 9810,2
104,10190,3
104,10500,4
200,  950,3
200,  980,4
200, 1210,4
200, 1240,3
200, 1440,3
200, 2600,3
200, 4070,2
200, 4080,3
200, 4100,3
200, 4110,3
200, 4210,4
200, 4240,1
200, 4330,5
200, 5190,3
200,11060,2
200,12360,2
200,12370,2
200,12380,2
200,12420,5
200,12430,2
200,12510,1
200,12530,3
200,13640,3
200,18770,1
201,  950,3
201,  980,4
201, 1210,4
201, 1240,3
201, 1440,3
201,12380,2
201,12510,1
201,12530,3
201,13640,3
202, 2600,3
202, 4070,2
202, 4330,5
202,12430,2
202,18770,1
203, 4080,3
203, 4100,3
203, 4110,3
203, 4210,4
203, 4240,1
203, 5190,3
203,12420,5
204,11060,2
204,12360,2
204,12370,2
211,  950,3
211,  980,4
211, 1210,4
211, 1240,3
211, 1440,3
211, 2600,3
211, 4070,2
211, 4080,3
211, 4100,3
211, 4110,3
211, 4210,4
211, 4240,1
211, 4330,5
211, 5190,3
211,12380,2
211,12420,5
211,12430,2
211,12510,1
211,12530,3
211,13640,3
211,18770,1
300, 1470,2
300, 1730,1
300, 2060,2
300, 2210,2
300, 2610,3
300, 2630,3
300, 3580,2
300, 3670,2
300, 3700,2
300, 3940,1
300, 4210,4
300, 4500,1
300, 4550,2
300, 4560,2
300, 4590,4
300, 4690,2
300, 4700,2
300, 4770,3
300, 4930,1
300, 5120,4
300, 5190,3
300, 5410,2
300, 5560,3
300, 5750,2
300, 5900,2
300, 5910,2
300, 5920,2
300, 6000,2
300, 6050,5
300, 6110,3
300, 6150,2
300, 6160,3
300, 6240,3
300, 6260,5
300, 6680,1
300, 7570,3
300, 7680,3
300, 9720,4
300, 9740,2
300, 9760,2
300, 9810,2
300,10050,3
300,10110,1
300,10171,2
300,10172,1
300,10201,1
300,11370,3
300,11460,2
300,12260,2
300,15600,1
300,18820,3
301, 1470,2
301, 2210,2
301, 4500,1
301, 4550,2
301, 4560,2
301, 4700,2
301, 4770,3
301, 5120,4
301, 5750,2
301, 6050,5
301, 6110,3
301, 6150,2
301, 6160,3
301, 6240,3
302, 4550,2
302, 4560,2
302, 4690,2
302, 5560,3
302, 5750,2
302, 6150,2
302, 6240,3
302, 6260,5
302, 9810,2
303, 1730,1
303, 2060,2
303, 2610,3
303, 3670,3
303, 4500,1
303, 4590,4
303, 5410,2
303, 5900,2
303, 5910,2
303, 5920,2
303, 6000,2
303, 6680,1
303, 7680,3
303, 9760,2
303,10110,1
303,11460,2
303,15600,1
304, 7570,3
304, 9720,4
304, 9740,2
304,10050,3
304,10201,1
304,11460,2
305, 2610,3
305, 2630,4
305, 3670,2
305, 3940,1
305, 5190,3
305, 5410,2
305, 7680,3
305,10110,1
305,11370,3
305,12260,2
306, 3580,2
306, 3670,2
306, 3700,2
306, 4210,4
306, 4500,1
306, 4930,1
306, 5410,2
306, 9760,1
306,10171,2
306,10172,1
306,18820,3
400, 2610,3
400, 2630,4
400, 3320,4
400, 3670,4
400, 3700,2
400, 4500,1
400, 4850,5
400, 4930,2
400, 5170,4
400, 5190,3
400, 5320,2
400, 5410,2
400, 5460,3
400, 5540,5
400, 7680,3
400, 9760,1
400,10110,1
400,10171,3
400,11370,3
401, 1730,1
401, 3320,4
401, 3670,4
401, 4500,1
401, 4930,2
401, 5320,2
402, 2610,3
402, 2630,4
402, 3700,2
402, 4850,5
402, 5170,4
402, 5190,3
402, 5410,2
402, 5460,3
402, 5540,5
402, 7680,3
402, 9760,1
402,10110,1
402,10171,3
402,11370,3
500, 1240,3
500, 1340,3
500, 1820,2
500, 1840,2
500, 1860,1
500, 1910,3
500, 1940,2
500, 3670,2
500, 3700,2
500, 4210,4
500, 4500,1
500, 4930,2
500, 5170,3
500, 5190,3
500, 5320,2
500, 5410,2
500, 5460,2
500, 5780,3
500, 6150,2
500, 6270,3
500, 7680,3
500, 9760,1
500,10110,1
500,10171,3
500,11370,3
500,18820,3
501, 1240,3
501, 1340,3
501, 1840,2
501, 1910,3
501, 1940,2
501, 5170,3
501, 5190,3
501, 5780,3
501, 6150,2
501, 6270,3
501, 7680,3
501,10171,2
502, 1820,2
502, 1860,1
502, 4210,4
502, 5320,2
502, 5460,2
502,11370,3
503, 3670,2
503, 3700,2
503, 4500,1
503, 4930,2
503, 5410,2
503, 9760,1
503,10110,1
503,18820,3
600, 3940,1
600, 6870,2
600,10660,1
600,10840,1
600,10990,1
600,11040,2
600,11060,2
600,11370,3
600,11390,2
600,11870,1
600,12000,2
600,12360,2
600,12370,2
600,12500,2
600,12590,2
600,12600,2
600,12740,2
600,12750,2
600,12760,1
600,12770,1
600,13120,1
600,14370,1
600,14420,1
600,15150,3
600,16600,2
600,17100,2
600,18770,1
601,11060,2
601,11370,3
601,12360,2
601,12370,2
601,18770,1
602,11390,2
602,12750,2
602,13120,1
602,15150,3
602,16600,2
603,10840,1
603,11040,2
603,11390,2
603,12500,2
603,12590,2
603,12600,2
603,12740,2
603,12750,2
603,12760,1
603,13120,1
603,15150,3
603,16600,2
604, 3940,1
604, 6870,2
604,10660,1
604,10990,1
604,11870,1
604,12000,2
604,12770,1
604,14370,1
604,14420,1
604,17100,2
611, 6870,2
611,12000,2
611,12770,2
611,14370,2
611,14420,2
611,17100,2
700, 7780,3
700, 8410,5
700, 8460,5
700, 8480,3
700, 8560,2
700, 9740,2
700,10090,1
700,11220,2
700,11980,2
700,12200,2
700,14900,2
700,15200,3
700,15230,5
700,15490,1
700,15671,1
700,16400,2
700,16490,2
700,16530,2
700,16630,2
