EURING,SOORT,AANTAL,XX,YY,ID,VAK,AFD,SDT_NO,DIG_OPP,SDT_OPP
70.0,Dodaars,1.0,110191,559926,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,110396,559864,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,110474,559340,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111120,559000,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111529,558194,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111661,558220,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111671,557299,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111849,558105,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111960,557509,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,111991,558016,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,112128,557844,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,112380,557545,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,114600,570602,,0.0,,,0.0,0.0
70.0,Dodaars,1.0,119079,574819,,0.0,,,0.0,0.0
90.0,Fuut,1.0,110156,560058,,0.0,,,0.0,0.0
90.0,Fuut,1.0,110575,559298,,0.0,,,0.0,0.0
90.0,Fuut,1.0,111113,559003,,0.0,,,0.0,0.0
90.0,Fuut,1.0,111258,558845,,0.0,,,0.0,0.0
90.0,Fuut,1.0,111655,558204,,0.0,,,0.0,0.0
90.0,Fuut,1.0,111672,557729,,0.0,,,0.0,0.0
90.0,Fuut,1.0,111783,558102,,0.0,,,0.0,0.0
90.0,Fuut,1.0,111937,558041,,0.0,,,0.0,0.0
90.0,Fuut,1.0,112082,557588,,0.0,,,0.0,0.0
90.0,Fuut,1.0,112131,557254,,0.0,,,0.0,0.0
90.0,Fuut,1.0,112448,557514,,0.0,,,0.0,0.0
90.0,Fuut,1.0,112474,557250,,0.0,,,0.0,0.0
90.0,Fuut,1.0,112585,557443,,0.0,,,0.0,0.0
90.0,Fuut,1.0,114621,570563,,0.0,,,0.0,0.0
90.0,Fuut,1.0,114995,565379,,0.0,,,0.0,0.0
90.0,Fuut,1.0,119963,573633,,0.0,,,0.0,0.0
90.0,Fuut,1.0,120193,573792,,0.0,,,0.0,0.0
90.0,Fuut,1.0,120301,574038,,0.0,,,0.0,0.0
90.0,Fuut,1.0,120494,574239,,0.0,,,0.0,0.0
90.0,Fuut,1.0,120699,574402,,0.0,,,0.0,0.0
90.0,Fuut,1.0,120837,574552,,0.0,,,0.0,0.0
120.0,Geoorde Fuut,1.0,111129,558934,,0.0,,,0.0,0.0
950.0,Roerdomp,1.0,109912,560501,,0.0,,,0.0,0.0
950.0,Roerdomp,1.0,111082,557575,,0.0,,,0.0,0.0
950.0,Roerdomp,1.0,111442,558210,,0.0,,,0.0,0.0
950.0,Roerdomp,1.0,112624,557372,,0.0,,,0.0,0.0
1220.0,Blauwe Reiger,1.0,114630,570707,,0.0,,,0.0,0.0
1440.0,Lepelaar,1.0,111712,558116,,0.0,,,0.0,0.0
1440.0,Lepelaar,1.0,114611,570650,,0.0,,,0.0,0.0
1520.0,Knobbelzwaan,1.0,111996,557257,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,109836,558608,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,109860,560486,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,109897,560640,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,109904,560154,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,109942,560311,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,109970,559986,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110069,560318,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110086,560277,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110127,559846,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110134,560058,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110134,560144,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110134,560233,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110145,559785,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110172,559723,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110210,560681,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110223,560760,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110227,559631,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110227,560578,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110261,559566,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110371,558461,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110405,558625,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110495,558413,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110549,558533,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110556,558697,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110580,560589,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110584,560742,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110601,560031,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110680,559230,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110711,558359,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110745,559210,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110814,559176,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110876,558289,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110886,559141,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110965,559094,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,110991,558296,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111050,559025,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111068,558892,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111074,558188,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111138,558277,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111169,558207,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111181,558950,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111236,558881,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111265,558270,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111290,558150,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111332,558211,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111373,558303,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111431,558245,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111437,558181,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111510,558173,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111532,558277,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111596,558105,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111602,558181,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111644,558262,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111685,558132,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111685,558200,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111723,558081,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111768,558194,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111781,558080,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111781,558143,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111851,558188,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111857,558131,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111889,558054,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111895,557991,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111965,558092,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,111985,557934,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,112015,557992,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,112063,557869,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,112063,557965,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,112104,557913,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,112125,557813,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114032,569654,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114056,569534,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114091,569476,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114101,569572,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114139,569517,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114139,569647,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114149,569709,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114187,569545,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114190,569486,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114214,569613,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114228,569538,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114235,569668,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114255,569473,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114272,569599,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114276,569545,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114290,569685,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114303,569746,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114320,570653,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114324,569558,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114331,569651,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114338,569449,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114362,569500,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114365,569603,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114375,569685,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114382,570718,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114396,569538,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114410,569599,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114468,570810,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114506,570886,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114616,570653,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114725,570653,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114736,570697,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114742,571108,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114746,570892,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114763,570735,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114832,570441,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114863,570999,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114904,570396,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,114969,565419,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115024,565388,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115762,571118,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115813,571057,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115865,571005,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115865,571176,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115871,571091,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115899,571238,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115930,571135,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115974,571187,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,115988,571070,,0.0,,,0.0,0.0
1610.0,Grauwe Gans,1.0,116040,571135,,0.0,,,0.0,0.0
1619.0,Soepgans,1.0,115650,568988,,0.0,,,0.0,0.0
1619.0,Soepgans,1.0,115698,568953,,0.0,,,0.0,0.0
1619.0,Soepgans,1.0,115707,569010,,0.0,,,0.0,0.0
1700.0,Nijlgans,1.0,111174,558859,,0.0,,,0.0,0.0
1700.0,Nijlgans,1.0,111730,558138,,0.0,,,0.0,0.0
1700.0,Nijlgans,1.0,114502,570809,,0.0,,,0.0,0.0
1700.0,Nijlgans,1.0,119083,574866,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,109902,560176,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,109950,560197,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110019,560313,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110021,559498,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110096,559788,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110160,559716,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110168,559794,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110229,558528,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110268,560545,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110318,558511,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110337,559980,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110370,559916,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110401,559753,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110405,559835,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110464,560677,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110501,560566,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110502,559222,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110549,560503,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110570,560646,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110570,560730,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110599,559945,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110629,559274,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110704,557746,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110708,557282,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110743,559138,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110759,558814,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110767,558678,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110785,559180,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110789,557189,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110789,559069,,0.0,,,0.0,0.0
1730.0,Bergeend,1.0,110815,558751,,0.0,,,0.0,0.0
