EURING,JAAR,AA_GEB,SUBDOELTYP,AANTAL,OPPERVLAKT
70.0,1992,HO,13.6,1.0,459.3625
70.0,1992,HO,3.3,1.0,73.4046
70.0,1992,HO,5.4,11.0,283.6797
70.0,1998,HO,13.6,1.0,459.3625
70.0,1998,HO,5.4,8.0,283.6797
120.0,1992,HO,5.4,1.0,283.6797
120.0,1998,HO,6.5,2.0,46.8044
1700.0,1998,HO,6.5,1.0,46.8044
1840.0,1992,HO,13.7,2.0,360.1123
1840.0,1992,HO,3.3,7.0,73.4046
1840.0,1992,HO,5.4,28.0,283.6797
1840.0,1992,HO,6.5,1.0,46.8044
1840.0,1998,HO,5.4,16.0,283.6797
1840.0,1998,HO,6.5,1.0,46.8044
1860.0,1998,HO,3.3,1.0,73.4046
1860.0,1998,HO,5.4,21.0,283.6797
1860.0,1998,HO,6.5,2.0,46.8044
1910.0,1992,HO,13.6,1.0,459.3625
2030.0,1992,HO,13.6,2.0,459.3625
2030.0,1992,HO,3.3,3.0,73.4046
2030.0,1992,HO,5.4,5.0,283.6797
2030.0,1992,HO,6.5,2.0,46.8044
2030.0,1992,HO,99.8,1.0,4.5274
2030.0,1998,HO,5.4,7.0,283.6797
2310.0,1992,HO,13.6,2.0,459.3625
2310.0,1992,HO,13.7,1.0,360.1123
2310.0,1998,HO,13.6,1.0,459.3625
2310.0,1998,HO,13.7,1.0,360.1123
2600.0,1992,HO,13.7,1.0,360.1123
2600.0,1992,HO,6.5,1.0,46.8044
2670.0,1992,HO,13.6,6.0,459.3625
2670.0,1992,HO,13.7,1.0,360.1123
2670.0,1992,HO,3.3,1.0,73.4046
2670.0,1998,HO,13.6,4.0,459.3625
2670.0,1998,HO,13.7,3.0,360.1123
2670.0,1998,HO,3.2,1.0,5.0461
2690.0,1992,HO,13.6,4.0,459.3625
2690.0,1992,HO,13.7,3.0,360.1123
2690.0,1992,HO,3.3,1.0,73.4046
2690.0,1998,HO,13.6,1.0,459.3625
2690.0,1998,HO,13.7,1.0,360.1123
2870.0,1992,HO,13.6,5.0,459.3625
2870.0,1992,HO,13.7,3.0,360.1123
2870.0,1992,HO,3.3,3.0,73.4046
2870.0,1998,HO,13.6,11.0,459.3625
2870.0,1998,HO,13.7,4.0,360.1123
2870.0,1998,HO,3.3,1.0,73.4046
3100.0,1992,HO,13.6,1.0,459.3625
3100.0,1992,HO,5.4,1.0,283.6797
3100.0,1998,HO,13.7,1.0,360.1123
3700.0,1992,HO,9.2,1.0,29.3921
4240.0,1992,HO,5.4,4.0,283.6797
4290.0,1992,HO,5.4,8.0,283.6797
4290.0,1992,HO,99.8,1.0,4.5274
4290.0,1998,HO,5.4,5.0,283.6797
4500.0,1992,HO,6.5,1.0,46.8044
4930.0,1992,HO,5.4,5.0,283.6797
4930.0,1992,HO,6.3,2.0,46.9263
4930.0,1992,HO,6.5,5.0,46.8044
4930.0,1992,HO,9.2,2.0,29.3921
4930.0,1998,HO,5.4,6.0,283.6797
4930.0,1998,HO,6.5,5.0,46.8044
4930.0,1998,HO,9.2,2.0,29.3921
5290.0,1992,HO,13.7,1.0,360.1123
5290.0,1992,HO,3.3,2.0,73.4046
5290.0,1992,HO,6.3,1.0,46.9263
5290.0,1998,HO,13.6,1.0,459.3625
5290.0,1998,HO,13.7,2.0,360.1123
5290.0,1998,HO,3.3,2.0,73.4046
5320.0,1992,HO,5.4,1.0,283.6797
5320.0,1992,HO,9.2,1.0,29.3921
5410.0,1992,HO,9.2,1.0,29.3921
5410.0,1998,HO,6.5,1.0,46.8044
5820.0,1998,HO,6.5,1.0,46.8044
6680.0,1992,HO,13.7,2.0,360.1123
6680.0,1992,HO,5.4,2.0,283.6797
6680.0,1992,HO,99.11,5.0,45.0719
6680.0,1998,HO,13.6,5.0,459.3625
6680.0,1998,HO,13.7,2.0,360.1123
6680.0,1998,HO,99.1,1.0,1.4418
6680.0,1998,HO,99.11,4.0,45.0719
6870.0,1998,HO,13.6,10.0,459.3625
6870.0,1998,HO,13.7,5.0,360.1123
6870.0,1998,HO,20.9,1.0,6.8918
6870.0,1998,HO,3.2,1.0,5.0461
6870.0,1998,HO,3.3,1.0,73.4046
7240.0,1992,HO,13.6,7.0,459.3625
7240.0,1992,HO,13.7,8.0,360.1123
7240.0,1992,HO,3.3,1.0,73.4046
7240.0,1992,HO,5.4,4.0,283.6797
7240.0,1992,HO,6.3,1.0,46.9263
7240.0,1992,HO,99.11,2.0,45.0719
7240.0,1998,HO,3.3,1.0,73.4046
7240.0,1998,HO,5.4,1.0,283.6797
7240.0,1998,HO,6.5,1.0,46.8044
7610.0,1992,HO,13.7,1.0,360.1123
7610.0,1998,HO,13.6,1.0,459.3625
7610.0,1998,HO,99.11,1.0,45.0719
7670.0,1992,HO,13.6,13.0,459.3625
7670.0,1992,HO,13.7,7.0,360.1123
7670.0,1992,HO,3.2,1.0,5.0461
7670.0,1992,HO,3.3,2.0,73.4046
7670.0,1992,HO,5.4,1.0,283.6797
7670.0,1992,HO,99.11,1.0,45.0719
7670.0,1998,HO,13.6,1.0,459.3625
7670.0,1998,HO,13.7,2.0,360.1123
7670.0,1998,HO,5.4,1.0,283.6797
7780.0,1998,HO,3.3,1.0,73.4046
7780.0,1998,HO,5.4,1.0,283.6797
8560.0,1992,HO,13.6,1.0,459.3625
8630.0,1992,HO,13.6,2.0,459.3625
8630.0,1992,HO,13.7,6.0,360.1123
8630.0,1992,HO,5.4,1.0,283.6797
8630.0,1998,HO,13.6,2.0,459.3625
8760.0,1992,HO,13.6,31.0,459.3625
8760.0,1992,HO,13.7,26.0,360.1123
8760.0,1992,HO,3.2,1.0,5.0461
