EURING,SOORT,AANTAL,XX,YY,ID,VAK,AFD,SDT_NO,DIG_OPP,SDT_OPP,JAAR
70.0,,1.0,,,,,,5.4,,18.604,1998
1840.0,,9.0,,,,,,5.4,,18.604,1992
1840.0,,2.0,,,,,,5.4,,18.604,1998
1860.0,,4.0,,,,,,5.4,,18.604,1998
2030.0,,2.0,,,,,,5.4,,18.604,1998
2670.0,,1.0,,,,,,13.6,,60.667,1998
2690.0,,2.0,,,,,,13.6,,60.667,1992
4070.0,,1.0,,,,,,5.4,,18.604,1998
4240.0,,1.0,,,,,,5.4,,18.604,1992
4290.0,,3.0,,,,,,5.4,,18.604,1992
4290.0,,1.0,,,,,,5.4,,18.604,1998
4930.0,,2.0,,,,,,5.4,,18.604,1992
5460.0,,1.0,,,,,,13.6,,60.667,1992
6680.0,,1.0,,,,,,13.6,,60.667,1992
6680.0,,1.0,,,,,,3.3,,61.508,1992
6680.0,,2.0,,,,,,3.3,,61.508,1998
6870.0,,2.0,,,,,,3.3,,61.508,1998
7240.0,,2.0,,,,,,3.3,,61.508,1992
7240.0,,1.0,,,,,,5.4,,18.604,1992
7240.0,,1.0,,,,,,5.4,,18.604,1998
7670.0,,2.0,,,,,,13.6,,60.667,1992
7670.0,,3.0,,,,,,3.3,,61.508,1992
7670.0,,1.0,,,,,,13.6,,60.667,1998
8630.0,,2.0,,,,,,3.3,,61.508,1992
8760.0,,4.0,,,,,,13.6,,60.667,1992
8760.0,,16.0,,,,,,3.3,,61.508,1992
8760.0,,2.0,,,,,,6.3,,10.2986,1992
8760.0,,7.0,,,,,,13.6,,60.667,1998
8760.0,,10.0,,,,,,3.3,,61.508,1998
8760.0,,1.0,,,,,,6.3,,10.2986,1998
8760.0,,1.0,,,,,,99.4,,0.785,1998
8870.0,,3.0,,,,,,3.3,,61.508,1992
8870.0,,1.0,,,,,,6.3,,10.2986,1992
8870.0,,2.0,,,,,,3.3,,61.508,1998
9740.0,,1.0,,,,,,6.3,,10.2986,1998
10090.0,,18.0,,,,,,13.6,,60.667,1992
10090.0,,19.0,,,,,,3.3,,61.508,1992
10090.0,,10.0,,,,,,5.4,,18.604,1992
10090.0,,5.0,,,,,,6.3,,10.2986,1992
10090.0,,12.0,,,,,,13.6,,60.667,1998
10090.0,,9.0,,,,,,3.3,,61.508,1998
10090.0,,12.0,,,,,,5.4,,18.604,1998
10090.0,,3.0,,,,,,6.3,,10.2986,1998
10840.0,,2.0,,,,,,13.6,,60.667,1998
10840.0,,2.0,,,,,,3.3,,61.508,1998
11220.0,,4.0,,,,,,3.3,,61.508,1998
11220.0,,3.0,,,,,,6.3,,10.2986,1998
11390.0,,3.0,,,,,,5.4,,18.604,1998
12020.0,,3.0,,,,,,13.6,,60.667,1992
12020.0,,2.0,,,,,,3.3,,61.508,1992
12020.0,,1.0,,,,,,99.4,,0.785,1992
12020.0,,1.0,,,,,,13.6,,60.667,1998
12020.0,,1.0,,,,,,3.3,,61.508,1998
12750.0,,3.0,,,,,,5.4,,18.604,1998
12760.0,,4.0,,,,,,13.6,,60.667,1998
12760.0,,2.0,,,,,,3.3,,61.508,1998
12760.0,,1.0,,,,,,5.4,,18.604,1998
12770.0,,4.0,,,,,,13.6,,60.667,1998
12770.0,,10.0,,,,,,3.3,,61.508,1998
13080.0,,2.0,,,,,,13.6,,60.667,1992
13080.0,,1.0,,,,,,3.3,,61.508,1992
13150.0,,2.0,,,,,,13.6,,60.667,1998
13150.0,,1.0,,,,,,3.3,,61.508,1998
13350.0,,1.0,,,,,,13.6,,60.667,1992
13350.0,,2.0,,,,,,3.3,,61.508,1992
13350.0,,1.0,,,,,,13.6,,60.667,1998
13490.0,,1.0,,,,,,13.6,,60.667,1998
13490.0,,4.0,,,,,,3.3,,61.508,1998
14400.0,,1.0,,,,,,3.3,,61.508,1992
14420.0,,3.0,,,,,,13.6,,60.667,1998
14420.0,,5.0,,,,,,3.3,,61.508,1998
14420.0,,2.0,,,,,,6.3,,10.2986,1998
14540.0,,6.0,,,,,,13.6,,60.667,1992
14540.0,,8.0,,,,,,3.3,,61.508,1992
14540.0,,1.0,,,,,,6.3,,10.2986,1992
14540.0,,1.0,,,,,,13.6,,60.667,1998
14540.0,,3.0,,,,,,3.3,,61.508,1998
14870.0,,9.0,,,,,,13.6,,60.667,1992
14870.0,,13.0,,,,,,3.3,,61.508,1992
14870.0,,2.0,,,,,,6.3,,10.2986,1992
14870.0,,1.0,,,,,,99.4,,0.785,1992
14870.0,,6.0,,,,,,13.6,,60.667,1998
14870.0,,11.0,,,,,,3.3,,61.508,1998
15080.0,,1.0,,,,,,13.6,,60.667,1992
15080.0,,1.0,,,,,,3.3,,61.508,1992
15600.0,,1.0,,,,,,3.3,,61.508,1998
15671.0,,3.0,,,,,,13.6,,60.667,1998
15671.0,,1.0,,,,,,3.3,,61.508,1998
16600.0,,2.0,,,,,,5.4,,18.604,1998
16660.0,,2.0,,,,,,13.6,,60.667,1998
16660.0,,2.0,,,,,,3.3,,61.508,1998
17100.0,,2.0,,,,,,13.6,,60.667,1998
17100.0,,1.0,,,,,,3.3,,61.508,1998
17170.0,,8.0,,,,,,13.6,,60.667,1992
17170.0,,4.0,,,,,,3.3,,61.508,1992
17170.0,,1.0,,,,,,13.6,,60.667,1998
17170.0,,3.0,,,,,,3.3,,61.508,1998
18570.0,,1.0,,,,,,13.6,,60.667,1992
18570.0,,1.0,,,,,,3.3,,61.508,1992
18770.0,,1.0,,,,,,5.4,,18.604,1992
18770.0,,5.0,,,,,,5.4,,18.604,1998
