LANDSCHAP,EURING,CODE
1000,   70,2
1000,   90,1
1000,  100,2
1000,  120,3
1000,  720,2
1000,  950,3
1000,  980,4
1000, 1040,4
1000, 1190,2
1000, 1210,4
1000, 1220,2
1000, 1240,3
1000, 1310,5
1000, 1340,3
1000, 1440,3
1000, 1520,1
1000, 1590,2
1000, 1610,2
1000, 1620,1
1000, 1660,1
1000, 1670,2
1000, 1700,1
1000, 1710,2
1000, 1730,1
1000, 1780,2
1000, 1790,3
1000, 1820,2
1000, 1840,2
1000, 1860,1
1000, 1890,3
1000, 1910,3
1000, 1940,2
1000, 1960,4
1000, 1980,2
1000, 2030,1
1000, 2060,2
1000, 2180,2
1000, 2210,2
1000, 2250,1
1000, 2310,3
1000, 2380,2
1000, 2390,3
1000, 2430,5
1000, 2600,3
1000, 2610,3
1000, 2630,4
1000, 2670,2
1000, 2690,2
1000, 2870,2
1000, 3010,5
1000, 3040,2
1000, 3100,2
1000, 3200,3
1000, 3320,4
1000, 3580,2
1000, 3670,3
1000, 3700,2
1000, 3940,1
1000, 4070,2
1000, 4080,2
1000, 4100,3
1000, 4110,3
1000, 4210,3
1000, 4240,1
1000, 4290,1
1000, 4330,5
1000, 4500,1
1000, 4560,2
1000, 4590,5
1000, 4690,2
1000, 4700,2
1000, 4770,3
1000, 4820,2
1000, 4850,5
1000, 4930,2
1000, 5120,5
1000, 5170,4
1000, 5190,3
1000, 5200,5
1000, 5290,2
1000, 5320,2
1000, 5410,2
1000, 5460,2
1000, 5530,5
1000, 5540,5
1000, 5560,2
1000, 5750,2
1000, 5780,3
1000, 5820,1
1000, 5900,2
1000, 5910,2
1000, 5920,2
1000, 5927,2
1000, 6000,2
1000, 6050,5
1000, 6110,3
1000, 6150,2
1000, 6160,2
1000, 6240,3
1000, 6260,5
1000, 6270,3
1000, 6680,2
1000, 6700,1
1000, 6840,1
1000, 6870,2
1000, 7120,2
1000, 7240,1
1000, 7350,3
1000, 7440,3
1000, 7570,2
1000, 7610,2
1000, 7670,2
1000, 7680,3
1000, 7700,2
1000, 7780,3
1000, 7950,2
1000, 8310,3
1000, 8400,4
1000, 8410,5
1000, 8460,5
1000, 8480,3
1000, 8560,2
1000, 8630,2
1000, 8760,2
1000, 8830,5
1000, 8870,3
1000, 9720,3
1000, 9740,2
1000, 9760,1
1000, 9810,2
1000, 9920,1
1000,10010,2
1000,10050,3
1000,10090,1
1000,10110,1
1000,10171,2
1000,10190,3
1000,10201,1
1000,10500,5
1000,10660,1
1000,10840,1
1000,10990,1
1000,11030,2
1000,11040,2
1000,11060,2
1000,11210,1
1000,11220,2
1000,11370,3
1000,11390,2
1000,11460,2
1000,11860,2
1000,11870,1
1000,11980,2
1000,12000,2
1000,12020,2
1000,12200,2
1000,12260,2
1000,12360,2
1000,12370,2
1000,12380,2
1000,12420,5
1000,12430,1
1000,12500,1
1000,12510,1
1000,12530,3
1000,12590,2
1000,12600,2
1000,12740,2
1000,12750,2
1000,12760,1
1000,12770,1
1000,13070,2
1000,13080,2
1000,13110,1
1000,13120,1
1000,13140,1
1000,13150,2
1000,13350,2
1000,13430,3
1000,13490,2
1000,13640,3
1000,14370,1
1000,14400,2
1000,14420,1
1000,14540,1
1000,14610,1
1000,14620,1
1000,14640,1
1000,14790,2
1000,14860,2
1000,14870,2
1000,14900,2
1000,15080,2
1000,15150,3
