LANDSCHAP,EURING,DREMPEL,CODE
1000, 1730,0,K
1000, 1790,0,K
1000, 1890,0,K
1000, 2060,0,K
1000, 2210,0,K
1000, 4500,0,K
1000, 4560,0,K
1000, 4700,0,K
1000, 4770,0,K
1000, 4930,0,K
1000, 5120,0,K
1000, 5170,0,K
1000, 5320,0,K
1000, 5460,0,K
1000, 5750,0,K
1000, 5820,0,K
1000, 5920,0,K
1000, 6050,0,K
1000, 6110,0,K
1000, 6150,0,K
1000, 6160,0,K
1000, 6240,0,K
1000, 7680,0,K
1000, 9760,0,K
1000,10110,0,K
1120, 1730,0,K
1120, 1790,0,K
1120, 1890,0,K
1120, 2060,0,K
1120, 2210,0,K
1120, 4500,0,K
1120, 4560,0,K
1120, 4700,0,K
1120, 4770,0,K
1120, 4930,0,K
1120, 5120,0,K
1120, 5170,0,K
1120, 5320,0,K
1120, 5460,0,K
1120, 5750,0,K
1120, 5820,0,K
1120, 5920,0,K
1120, 6050,0,K
1120, 6110,0,K
1120, 6150,0,K
1120, 6160,0,K
1120, 6240,0,K
1120, 7680,0,K
1120, 9760,0,K
1120,10110,0,K
1130, 1730,0,K
1130, 1790,0,K
1130, 1890,0,K
1130, 2060,0,K
1130, 2210,0,K
1130, 4500,0,K
1130, 4560,0,K
1130, 4700,0,K
1130, 4770,0,K
1130, 4930,0,K
1130, 5120,0,K
1130, 5170,0,K
1130, 5320,0,K
1130, 5460,0,K
1130, 5750,0,K
1130, 5820,0,K
1130, 5920,0,K
1130, 6050,0,K
1130, 6110,0,K
1130, 6150,0,K
1130, 6160,0,K
1130, 6240,0,K
1130, 7680,0,K
1130, 9760,0,K
1130,10110,0,K
1140, 1730,0,K
1140, 1790,0,K
1140, 1890,0,K
1140, 2060,0,K
1140, 2210,0,K
1140, 4500,0,K
1140, 4560,0,K
1140, 4700,0,K
1140, 4770,0,K
1140, 4930,0,K
1140, 5120,0,K
1140, 5170,0,K
1140, 5320,0,K
1140, 5460,0,K
1140, 5750,0,K
1140, 5820,0,K
1140, 5920,0,K
1140, 6050,0,K
1140, 6110,0,K
1140, 6150,0,K
1140, 6160,0,K
1140, 6240,0,K
1140, 7680,0,K
1140, 9760,0,K
1140,10110,0,K
1200, 1730,0,K
1200, 1790,0,K
1200, 1890,0,K
1200, 2060,0,K
1200, 2210,0,K
1200, 2600,0,K
1200, 2610,0,K
1200, 2630,0,K
1200, 3040,0,K
1200, 3670,0,K
1200, 3940,0,K
1200, 4210,0,K
1200, 4330,0,K
1200, 4500,0,K
1200, 4560,0,K
1200, 4700,0,K
1200, 4770,0,K
1200, 4930,0,K
1200, 5120,0,K
1200, 5170,0,K
1200, 5190,0,K
1200, 5320,0,K
1200, 5460,0,K
1200, 5750,0,K
1200, 5820,0,K
1200, 5920,0,K
1200, 6050,0,K
1200, 6110,0,K
1200, 6150,0,K
1200, 6160,0,K
1200, 6240,0,K
1200, 7680,0,K
1200, 9760,0,K
1200,10110,0,K
1200,11040,0,K
1200,11060,0,K
1200,11370,0,K
1200,11390,0,K
1200,12260,0,K
1200,12360,0,K
1200,12380,0,K
1200,12430,0,K
1200,12500,0,K
1200,12510,0,K
1200,12750,0,K
1200,15150,0,K
1200,16600,0,K
1200,16790,0,K
1200,18770,0,K
1210, 1730,0,K
1210, 1790,0,K
1210, 1890,0,K
1210, 2060,0,K
1210, 2210,0,K
1210, 2600,0,K
1210, 2610,0,K
1210, 2630,0,K
1210, 3040,0,K
1210, 3670,0,K
1210, 3940,0,K
1210, 4210,0,K
1210, 4330,0,K
1210, 4500,0,K
1210, 4560,0,K
1210, 4700,0,K
1210, 4770,0,K
1210, 4930,0,K
1210, 5120,0,K
1210, 5170,0,K
1210, 5190,0,K
1210, 5320,0,K
1210, 5460,0,K
1210, 5750,0,K
1210, 5820,0,K
1210, 5920,0,K
1210, 6050,0,K
1210, 6110,0,K
1210, 6150,0,K
1210, 6160,0,K
1210, 6240,0,K
1210, 7680,0,K
1210, 9760,0,K
1210,10110,0,K
1210,11040,0,K
1210,11060,0,K
1210,11370,0,K
1210,11390,0,K
1210,12260,0,K
1210,12360,0,K
1210,12380,0,K
1210,12430,0,K
1210,12500,0,K
1210,12510,0,K
1210,12750,0,K
1210,15150,0,K
1210,16600,0,K
1210,16790,0,K
1210,18770,0,K
1211, 1730,0,K
1211, 1790,0,K
1211, 1820,0,K
1211, 1860,0,K
1211, 1890,0,K
1211, 1910,0,K
1211, 1940,0,K
1211, 2060,0,K
1211, 2210,0,K
1211, 3040,0,K
1211, 3670,0,K
