CHANGE,X,Y
0,220.0,400.0
2,0.0,400.0
2,0.0,350.0
2,160.0,350.0
2,160.0,300.0
2,220.0,300.0
2,220.0,625.0
2,260.0,625.0
2,260.0,425.0
2,20.0,425.0
2,20.0,350.0
0,40.0,425.0
2,40.0,450.0
2,280.0,450.0
2,280.0,600.0
2,100.0,600.0
2,100.0,350.0
0,60.0,350.0
2,60.0,475.0
2,280.0,475.0
0,80.0,475.0
2,80.0,500.0
2,280.0,500.0
0,220.0,625.0
2,140.0,625.0
2,140.0,350.0
2,220.0,350.0
0,160.0,325.0
2,220.0,325.0
0,180.0,300.0
2,180.0,625.0
0,0.0,375.0
2,220.0,375.0
0,100.0,575.0
2,280.0,575.0
2,280.0,550.0
2,100.0,550.0
2,100.0,525.0
2,280.0,525.0
0,0.0,372.9
1,2.5,374.0
1,7.5,375.3
1,12.5,377.0
1,14.1,377.9
1,17.5,379.3
1,22.5,380.5
1,27.5,380.5
1,30.0,379.0
1,33.0,377.9
1,36.7,377.2
1,39.0,374.6
1,42.3,373.5
1,42.3,374.7
1,47.0,373.2
1,49.1,373.0
1,51.7,375.3
1,55.5,376.3
1,56.6,380.7
1,59.9,380.0
1,61.8,376.1
1,67.0,375.6
1,71.3,377.1
1,73.3,376.5
1,74.7,373.8
1,76.7,371.8
1,77.4,368.4
1,80.3,366.5
1,79.0,364.0
1,81.0,367.0
1,78.2,369.0
1,77.9,372.4
1,75.8,375.0
1,75.3,376.8
1,72.3,380.4
1,69.2,379.2
1,64.0,380.7
1,59.1,384.4
1,56.9,386.8
1,53.4,385.0
1,51.6,379.5
1,45.4,378.6
1,41.4,381.9
1,40.0,381.5
1,38.6,383.4
1,35.5,386.5
1,33.0,385.1
1,28.7,385.0
1,25.5,388.0
1,23.6,391.3
1,19.5,394.8
1,19.8,396.7
1,25.3,400.0
1,30.0,402.3
1,33.0,401.3
1,33.1,399.9
1,35.1,397.1
1,37.8,393.2
1,40.3,395.8
1,41.7,396.6
1,44.5,396.0
1,46.9,396.7
1,48.5,395.6
1,53.7,396.0
1,54.6,394.0
1,56.0,394.4
1,60.0,393.0
