SDT_CODE0,SUBNHL,OMSCHRIJVI,ECOGROEP,GROEPNAAM,HABITAT,STATUS,ONDERGRENS,REFERENTIE
01.01,1.1,Kwelder,301,Strandplevier-groep,"schaars begroeide zandplaten, zout tot brak",Standaard,3.491,10.47
01.01,1.1,Kwelder,303,Scholekster-groep,open pioniervegetaties in kustduinen,Standaard,42.647,127.94
01.01,1.1,Kwelder,502,Grutto-groep,vochtig tot drassig grasland,Standaard,6.018,18.05
01.02,1.2,Zee,0,,,,0.0,0.0
01.03,1.3,Stuivend duin,301,Strandplevier-groep,"schaars begroeide zandplaten, zout tot brak",Standaard,0.0,0.0
01.03,1.3,Stuivend duin,303,Scholekster-groep,open pioniervegetaties in kustduinen,Standaard,0.0,0.0
01.03,1.3,Stuivend duin,501,Zomertaling-groep,"drassig, structuurrijk grasland. Plaatselijk open water",Standaard,0.0,0.0
01.03,1.3,Stuivend duin,502,Grutto-groep,vochtig tot drassig grasland,Standaard,0.0,0.0
01.03,1.3,Stuivend duin,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,0.0
01.03,1.3,Stuivend duin,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Facultatief,0.0,0.0
02.02,2.2,Beekboslandschap,0,,,,0.0,0.0
02.03,2.3,Moeras,102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,3.534,10.6
02.03,2.3,Moeras,204,Blauwborst-groep,verlande rietvegetaties met struiken,Facultatief,0.0,45.01
02.03,2.3,Moeras,211,Waterrietvogels,natte rietvegetaties,Standaard,8.792,26.38
02.03,2.3,Moeras,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,52.68
02.03,2.3,Moeras,701,Buidelmees-groep,"boomgroepen in rietland, rivierbegeleidend bos",Standaard,0.06,0.18
02.04,2.4,Afgesloten zoete zeearmen,102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,8.464,25.39
02.04,2.4,Afgesloten zoete zeearmen,211,Waterrietvogels,natte rietvegetaties,Standaard,10.863,32.59
02.04,2.4,Afgesloten zoete zeearmen,500,Weidevogels,grazige vegetaties,Standaard,11.065,33.2
02.04,2.4,Afgesloten zoete zeearmen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,23.146,69.44
02.04,2.4,Afgesloten zoete zeearmen,812,Holenbroeders,"oud bos, dode bomen",Facultatief,0.0,1.16
02.05,2.5,Iepen-Essenwoud,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,0.0,0.0
02.05,2.5,Iepen-Essenwoud,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,0.0,0.0
02.05,2.5,Iepen-Essenwoud,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,0.0,0.0
02.05,2.5,Iepen-Essenwoud,812,Holenbroeders,"oud bos, dode bomen",Standaard,0.0,0.0
02.06,2.6,Rivierboslandschap,102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,0.0,0.0
02.06,2.6,Rivierboslandschap,211,Waterrietvogels,natte rietvegetaties,Standaard,0.0,0.0
02.06,2.6,Rivierboslandschap,701,Buidelmees-groep,"boomgroepen in rietland, rivierbegeleidend bos",Standaard,0.0,0.0
02.06,2.6,Rivierboslandschap,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,0.0,0.0
02.06,2.6,Rivierboslandschap,803,Appelvink-groep,opgaand bos met loofbomen,Facultatief,0.0,0.0
02.06,2.6,Rivierboslandschap,812,Holenbroeders,"oud bos, dode bomen",Facultatief,0.0,0.0
02.07,2.7,Dynamisch duinlandschap,301,Strandplevier-groep,"schaars begroeide zandplaten, zout tot brak",Standaard,0.0,0.0
02.07,2.7,Dynamisch duinlandschap,303,Scholekster-groep,open pioniervegetaties in kustduinen,Standaard,0.0,0.0
03.01,3.1,Dennenbossen op kalkarme (land)duinen,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,8.867,26.6
03.01,3.1,Dennenbossen op kalkarme (land)duinen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,12.766,38.3
03.01,3.1,Dennenbossen op kalkarme (land)duinen,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,3.941,11.82
03.01,3.1,Dennenbossen op kalkarme (land)duinen,812,Holenbroeders,"oud bos, dode bomen",Standaard,20.395,61.18
03.02,3.2,Broekbossen op zure venen,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,29.567,88.7
03.02,3.2,Broekbossen op zure venen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,7.421,22.26
03.02,3.2,Broekbossen op zure venen,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,4.13,12.39
03.02,3.2,Broekbossen op zure venen,812,Holenbroeders,"oud bos, dode bomen",Standaard,4.52,13.56
03.03,3.3,Loofbossen op arme zandgronden,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,42.6,127.8
03.03,3.3,Loofbossen op arme zandgronden,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,10.563,31.69
03.03,3.3,Loofbossen op arme zandgronden,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,10.873,32.62
03.03,3.3,Loofbossen op arme zandgronden,812,Holenbroeders,"oud bos, dode bomen",Standaard,43.262,129.79
03.04,3.4,Loofbossen op lemige zandgronden,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,21.433,64.3
03.04,3.4,Loofbossen op lemige zandgronden,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,6.654,19.96
03.04,3.4,Loofbossen op lemige zandgronden,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,10.589,31.77
03.04,3.4,Loofbossen op lemige zandgronden,812,Holenbroeders,"oud bos, dode bomen",Standaard,82.882,248.65
03.05,3.5,Loofbossen op kalkrijke (zee)duinen,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,12.467,37.4
03.05,3.5,Loofbossen op kalkrijke (zee)duinen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,14.965,44.9
03.05,3.5,Loofbossen op kalkrijke (zee)duinen,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,1.643,4.93
03.05,3.5,Loofbossen op kalkrijke (zee)duinen,812,Holenbroeders,"oud bos, dode bomen",Standaard,25.208,75.62
03.06,3.6,Loofbossen op lemen en kalkrijke zandgronden,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,58.733,176.2
03.06,3.6,Loofbossen op lemen en kalkrijke zandgronden,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,7.054,21.16
03.06,3.6,Loofbossen op lemen en kalkrijke zandgronden,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,25.099,75.3
03.06,3.6,Loofbossen op lemen en kalkrijke zandgronden,812,Holenbroeders,"oud bos, dode bomen",Standaard,101.872,305.62
03.07,3.7,Loofbossen op kalkrijke bodems,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,6.6,19.8
03.07,3.7,Loofbossen op kalkrijke bodems,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,6.614,19.84
03.07,3.7,Loofbossen op kalkrijke bodems,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,30.952,92.86
03.07,3.7,Loofbossen op kalkrijke bodems,812,Holenbroeders,"oud bos, dode bomen",Standaard,123.016,369.05
03.08,3.8,Loofbossen op klei- en zavelgronden,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,38.0,114.0
03.08,3.8,Loofbossen op klei- en zavelgronden,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,29.003,87.01
03.08,3.8,Loofbossen op klei- en zavelgronden,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,2.663,7.99
03.08,3.8,Loofbossen op klei- en zavelgronden,812,Holenbroeders,"oud bos, dode bomen",Standaard,34.707,104.12
03.09,3.9,Beekbegleidende loofbossen,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,116.3,348.9
03.09,3.9,Beekbegleidende loofbossen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,14.881,44.64
03.09,3.9,Beekbegleidende loofbossen,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,15.625,46.88
03.09,3.9,Beekbegleidende loofbossen,812,Holenbroeders,"oud bos, dode bomen",Standaard,102.679,308.04
03.10,3.10,Broekbossen op laagveen,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,37.8,113.4
03.10,3.10,Broekbossen op laagveen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,8.321,24.96
03.10,3.10,Broekbossen op laagveen,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,10.079,30.24
03.10,3.10,Broekbossen op laagveen,812,Holenbroeders,"oud bos, dode bomen",Standaard,20.813,62.44
04.01,4.1,Eiken-hakhout,0,,,,0.0,0.0
04.02,4.2,Grienden & essen/elzenhakhout,0,,,,0.0,0.0
04.03,4.3,Middenbos,0,,,,0.0,0.0
04.04,4.4,Park- en stinse bos,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,20.3,60.9
04.04,4.4,Park- en stinse bos,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,6.556,19.67
04.04,4.4,Park- en stinse bos,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,2.025,6.07
04.04,4.4,Park- en stinse bos,812,Holenbroeders,"oud bos, dode bomen",Standaard,67.398,202.19
04.05,4.5,Overige natuurbossen,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,0.0,0.0
04.05,4.5,Overige natuurbossen,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,0.0,0.0
04.05,4.5,Overige natuurbossen,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,0.0,0.0
04.05,4.5,Overige natuurbossen,812,Holenbroeders,"oud bos, dode bomen",Standaard,0.0,0.0
05.01,5.1,Natte duinvalleien,203,Porseleinhoen-groep,"natte, lage vegetaties (vnl. zeggen; incl. gemaaid riet) met",Standaard,0.0,0.0
05.01,5.1,Natte duinvalleien,301,Strandplevier-groep,"schaars begroeide zandplaten, zout tot brak",Standaard,0.0,0.0
05.01,5.1,Natte duinvalleien,500,Weidevogels,grazige vegetaties,Facultatief,0.0,33.23
05.01,5.1,Natte duinvalleien,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Facultatief,0.0,72.2
05.02,5.2,Hoogveen,401,Korhoen-groep,"open, structuurrrijke heide en hoogveen grenzend aan cultuur",Facultatief,0.0,2.66
05.02,5.2,Hoogveen,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Standaard,5.177,15.53
05.02,5.2,Hoogveen,602,Roodborsttapuit-groep,"lage struwelen en heggen, hoge ruigten (heide, stuifzand en",Standaard,6.661,19.98
05.02,5.2,Hoogveen,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Facultatief,0.0,6.01
05.03,5.3,Hoogveenvennen,101,Dodaars-groep,voedselarm-matig voedselrijk open water,Facultatief,0.0,0.0
05.03,5.3,Hoogveenvennen,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Standaard,0.0,0.0
05.04,5.4,Natte heide,101,Dodaars-groep,voedselarm-matig voedselrijk open water,Facultatief,0.0,10.62
05.04,5.4,Natte heide,401,Korhoen-groep,"open, structuurrrijke heide en hoogveen grenzend aan cultuur",Facultatief,0.0,3.36
05.04,5.4,Natte heide,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Standaard,2.151,6.45
05.04,5.4,Natte heide,602,Roodborsttapuit-groep,"lage struwelen en heggen, hoge ruigten (heide, stuifzand en",Standaard,4.803,14.41
05.04,5.4,Natte heide,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Facultatief,0.0,5.81
06.01,6.1,Open duin,303,Scholekster-groep,open pioniervegetaties in kustduinen,Standaard,5.894,17.68
06.01,6.1,Open duin,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Facultatief,0.0,48.92
06.02,6.2,Duinstruweel,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,29.18,87.54
06.02,6.2,Duinstruweel,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Facultatief,0.0,12.0
06.02,6.2,Duinstruweel,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,1.743,5.23
06.03,6.3,"Droge, open heide",304,Tapuit-groep,"open zandige plekken en zeer korte, schrale vegetaties (heid",Standaard,2.169,6.51
