SUBNHLVOLG,SUBNHLCODE,SUBNHLOMS,GROEPNR,GROEPNAAM,REFERENTIE,ONDERGRENS,REF_KLAS,ONDER_KLAS
1.0,1.1,Kwelders,100.0,Watervogels,0.5924,0.1955,0.8,0.264
1.0,1.1,Kwelders,102.0,Slobeend-groep,0.401,0.1323,0.6,0.198
1.0,1.1,Kwelders,103.0,Kuifeend-groep,0.1914,0.0632,0.2,0.066
1.0,1.1,Kwelders,200.0,Rietvogels,3.8552,1.2722,5.3,1.749
1.0,1.1,Kwelders,201.0,Roerdomp-groep,0.3554,0.1173,0.4,0.132
1.0,1.1,Kwelders,202.0,Rietzanger-groep,1.7499,0.5775,2.45,0.8085
1.0,1.1,Kwelders,203.0,Porseleinhoen-groep,0.0273,0.009,0.2,0.066
1.0,1.1,Kwelders,204.0,Blauwborst-groep,1.7225,0.5684,2.25,0.7425
1.0,1.1,Kwelders,211.0,Waterrietvogels,2.1327,0.7038,3.05,1.0065
1.0,1.1,Kwelders,300.0,Pioniervogels,139.4251,46.0103,124.55,41.1015
1.0,1.1,Kwelders,301.0,Strandplevier-groep,10.4719,3.4557,13.5,4.455
1.0,1.1,Kwelders,302.0,Kleine Plevier-groep,9.041,2.9835,12.0,3.96
1.0,1.1,Kwelders,303.0,Scholekster-groep,127.9415,42.2207,110.1,36.333
1.0,1.1,Kwelders,304.0,Tapuit-groep,0.3008,0.0993,0.2,0.066
1.0,1.1,Kwelders,305.0,Fazant-groep,1.6679,0.5504,2.1,0.693
1.0,1.1,Kwelders,306.0,Kievit-groep,2.4061,0.794,2.25,0.7425
1.0,1.1,Kwelders,400.0,Vogels van open heide,21.518,7.1009,28.7,9.471
1.0,1.1,Kwelders,401.0,Korhoen-groep,1.7499,0.5775,2.25,0.7425
1.0,1.1,Kwelders,402.0,Wulp-groep,19.7681,6.5235,26.45,8.7285
1.0,1.1,Kwelders,500.0,Weidevogels,21.9008,7.2273,29.1,9.603
1.0,1.1,Kwelders,501.0,Zomertaling-groep,1.276,0.4211,1.15,0.3795
