EURING,VARIABELE,WAARDE,VARNR
20,AORO_LIJST,-,36
20,APBL_LIJST,-,37
20,AQNBP,-,38
20,ARBMP,-,39
20,ASPTT,-,40
20,ATOE_GROEP,I,41
20,AUPMI73_77,      -,42
20,AVPMA73_77,      -,43
20,AWPMI79_85,     -,44
20,AXPMA79_85,     -,45
20,AYTRST_BR,-,46
20,AZTRST_NBR,WDo,47
20,BAWINT_GEB,-,48
20,BBBROEDGEB,123,49
20,BCBRV_NED,-,50
20,BDPRESENT,-,51
20,BEBROEDBIO,d1,52
20,BFBRTYBEG,5,53
20,BGBRTYEND,9,54
20,BHBRDUUR,27,55
20,BIEI_MIN, 1,56
20,BJEI_NORM, 2,57
20,BKEI_MAX, 3,58
20,BLLEG_MIN,1,59
20,BMLEG_NORM,1,60
20,BNLEG_MAX,1,61
20,BONESTH,1,62
20,BPHOLBROED,-,63
20,BQKOLBROED,-,64
20,BRNESTPER, 43,65
20,BSNESTVLIE,*,66
20,BTGESLRIJP,2,67
20,BULEEF_MAX,24,68
20,BVOVERLEV,-,69
20,BWONVKLEED,4,70
20,BXGEW_MAN, 1729,71
20,BYGEW_VR,1477,72
20,BZLENG_MAN,283,73
20,CALENG_VR,275,74
30,AORO_LIJST,-,36
30,APBL_LIJST,-,37
30,AQNBP,-,38
30,ARBMP,-,39
30,ASPTT,-,40
30,ATOE_GROEP,I,41
30,AUPMI73_77,      -,42
30,AVPMA73_77,      -,43
30,AWPMI79_85,     -,44
30,AXPMA79_85,     -,45
30,AYTRST_BR,-,46
30,AZTRST_NBR,WDo,47
30,BAWINT_GEB,-,48
30,BBBROEDGEB,23,49
30,BCBRV_NED,-,50
30,BDPRESENT,-,51
30,BEBROEDBIO,d1,52
30,BFBRTYBEG,5,53
30,BGBRTYEND,6,54
30,BHBRDUUR,28,55
30,BIEI_MIN, 2,56
30,BJEI_NORM, 2,57
30,BKEI_MAX, 3,58
30,BLLEG_MIN,1,59
30,BMLEG_NORM,1,60
30,BNLEG_MAX,1,61
30,BONESTH,1,62
30,BPHOLBROED,-,63
30,BQKOLBROED,-,64
30,BRNESTPER, 62,65
30,BSNESTVLIE,*,66
30,BTGESLRIJP,2,67
30,BULEEF_MAX,27,68
30,BVOVERLEV,90,69
30,BWONVKLEED,4,70
30,BXGEW_MAN, 2358,71
30,BYGEW_VR,2080,72
30,BZLENG_MAN,324,73
30,CALENG_VR,309,74
40,AORO_LIJST,-,36
40,APBL_LIJST,-,37
40,AQNBP,-,38
40,ARBMP,-,39
40,ASPTT,-,40
40,ATOE_GROEP,I,41
40,AUPMI73_77,      -,42
40,AVPMA73_77,      -,43
40,AWPMI79_85,     -,44
40,AXPMA79_85,     -,45
40,AYTRST_BR,-,46
40,AZTRST_NBR,WDo,47
40,BAWINT_GEB,-,48
40,BBBROEDGEB,1,49
40,BCBRV_NED,-,50
40,BDPRESENT,-,51
40,BEBROEDBIO,d1,52
40,BFBRTYBEG,5,53
40,BGBRTYEND,9,54
40,BHBRDUUR,30,55
40,BIEI_MIN, 1,56
40,BJEI_NORM, 2,57
40,BKEI_MAX, 3,58
40,BLLEG_MIN,1,59
40,BMLEG_NORM,1,60
40,BNLEG_MAX,1,61
40,BONESTH,1,62
40,BPHOLBROED,-,63
40,BQKOLBROED,-,64
40,BRNESTPER, 73,65
40,BSNESTVLIE,*,66
40,BTGESLRIJP,2,67
40,BULEEF_MAX,8,68
40,BVOVERLEV,-,69
40,BWONVKLEED,4,70
40,BXGEW_MAN, 4480,71
40,BYGEW_VR,4480,72
40,BZLENG_MAN,360,73
40,CALENG_VR,353,74
50,AORO_LIJST,-,36
50,APBL_LIJST,-,37
50,AQNBP,-,38
50,ARBMP,-,39
50,ASPTT,-,40
50,ATOE_GROEP,I,41
50,AUPMI73_77,      -,42
50,AVPMA73_77,      -,43
50,AWPMI79_85,     -,44
50,AXPMA79_85,     -,45
50,AYTRST_BR,-,46
