N1,OOSTERENG_,N3,N4,N5,WILDE_EEND,N7
10000001,Oostereng BN2,110,1990,2310,Wespendief,1
10000001,Oostereng BN2,110,1990,2670,Havik,1
10000001,Oostereng BN2,110,1990,2690,Sperwer,2
10000001,Oostereng BN2,110,1990,2870,Buizerd,3
10000001,Oostereng BN2,110,1990,3100,Boomvalk,2
10000001,Oostereng BN2,110,1990,3940,Fazant,-1
10000001,Oostereng BN2,110,1990,4240,Waterhoen,-1
10000001,Oostereng BN2,110,1990,4290,Meerkoet,-1
10000001,Oostereng BN2,110,1990,5290,Houtsnip,2
10000001,Oostereng BN2,110,1990,6680,Holenduif,12
10000001,Oostereng BN2,110,1990,6700,Houtduif,-1
10000001,Oostereng BN2,110,1990,6840,Turkse Tortel,-1
10000001,Oostereng BN2,110,1990,6870,Tortelduif,-1
10000001,Oostereng BN2,110,1990,7240,Koekoek,-1
10000001,Oostereng BN2,110,1990,7610,Bosuil,8
10000001,Oostereng BN2,110,1990,7670,Ransuil,2
10000001,Oostereng BN2,110,1990,7950,Gierzwaluw,-1
10000001,Oostereng BN2,110,1990,8560,Groene Specht,2
10000001,Oostereng BN2,110,1990,8630,Zwarte Specht,2
10000001,Oostereng BN2,110,1990,8760,Grote Bonte Specht,-1
10000001,Oostereng BN2,110,1990,8870,Kleine Bonte Spech,7
10000001,Oostereng BN2,110,1990,9760,Veldleeuwerik,-1
10000001,Oostereng BN2,110,1990,9920,Boerenzwaluw,-1
10000001,Oostereng BN2,110,1990,10010,Huiszwaluw,-1
10000001,Oostereng BN2,110,1990,10090,Boompieper,-1
10000001,Oostereng BN2,110,1990,10110,Graspieper,-1
10000001,Oostereng BN2,110,1990,10171,Gele Kwikstaart,-1
10000001,Oostereng BN2,110,1990,10201,Witte Kwikstaart,-1
10000001,Oostereng BN2,110,1990,10660,Winterkoning,-1
10000001,Oostereng BN2,110,1990,10840,Heggemus,-1
10000001,Oostereng BN2,110,1990,10990,Roodborst,-1
10000001,Oostereng BN2,110,1990,11210,Zwarte Roodstaart,-1
10000001,Oostereng BN2,110,1990,11220,Gekraagde Roodstaa,7
10000001,Oostereng BN2,110,1990,11870,Merel,-1
10000001,Oostereng BN2,110,1990,12000,Zanglijster,-1
10000001,Oostereng BN2,110,1990,12020,Grote Lijster,-1
10000001,Oostereng BN2,110,1990,12500,Bosrietzanger,-1
10000001,Oostereng BN2,110,1990,12510,Kleine Karekiet,-1
10000001,Oostereng BN2,110,1990,12590,Spotvogel,-1
10000001,Oostereng BN2,110,1990,12740,Braamsluiper,-1
10000001,Oostereng BN2,110,1990,12760,Tuinfluiter,-1
10000001,Oostereng BN2,110,1990,12770,Zwartkop,-1
10000001,Oostereng BN2,110,1990,13080,Fluiter,7
10000001,Oostereng BN2,110,1990,13110,Tjiftjaf,-1
10000001,Oostereng BN2,110,1990,13120,Fitis,-1
10000001,Oostereng BN2,110,1990,13140,Goudhaantje,-1
10000001,Oostereng BN2,110,1990,13150,Vuurgoudhaantje,4
10000001,Oostereng BN2,110,1990,13350,Grauwe Vliegenvang,-1
10000001,Oostereng BN2,110,1990,13490,Bonte Vliegenvange,-1
10000001,Oostereng BN2,110,1990,14370,Staartmees,-1
10000001,Oostereng BN2,110,1990,14400,Glanskop,-1
10000001,Oostereng BN2,110,1990,14420,Matkop,-1
10000001,Oostereng BN2,110,1990,14540,Kuifmees,-1
10000001,Oostereng BN2,110,1990,14610,Zwarte Mees,-1
10000001,Oostereng BN2,110,1990,14620,Pimpelmees,-1
10000001,Oostereng BN2,110,1990,14640,Koolmees,-1
10000001,Oostereng BN2,110,1990,14790,Boomklever,28
10000001,Oostereng BN2,110,1990,14870,Boomkruiper,-1
10000001,Oostereng BN2,110,1990,15080,Wielewaal,1
10000001,Oostereng BN2,110,1990,15390,Vlaamse Gaai,-1
10000001,Oostereng BN2,110,1990,15490,Ekster,-1
10000001,Oostereng BN2,110,1990,15600,Kauw,-1
10000001,Oostereng BN2,110,1990,15671,Zwarte Kraai,-1
10000001,Oostereng BN2,110,1990,15820,Spreeuw,-1
10000001,Oostereng BN2,110,1990,15910,Huismus,-1
10000001,Oostereng BN2,110,1990,15980,Ringmus,-1
10000001,Oostereng BN2,110,1990,16360,Vink,-1
10000001,Oostereng BN2,110,1990,16490,Groenling,-1
10000001,Oostereng BN2,110,1990,16540,Sijs,1
10000001,Oostereng BN2,110,1990,16600,Kneu,-1
10000001,Oostereng BN2,110,1990,17100,Goudvink,-1
10000001,Oostereng BN2,110,1990,17170,Appelvink,14
10000001,Oostereng BN2,110,1990,18770,Rietgors,-1
10000002,Oostereng BG1,17,1990,1780,Mandarijneend,6
10000002,Oostereng BG1,17,1990,1860,Wilde Eend,-1
10000002,Oostereng BG1,17,1990,3940,Fazant,-1
10000002,Oostereng BG1,17,1990,4240,Waterhoen,-1
10000002,Oostereng BG1,17,1990,4290,Meerkoet,-1
10000002,Oostereng BG1,17,1990,6680,Holenduif,5
10000002,Oostereng BG1,17,1990,6700,Houtduif,-1
10000002,Oostereng BG1,17,1990,6840,Turkse Tortel,-1
10000002,Oostereng BG1,17,1990,6870,Tortelduif,-1
10000002,Oostereng BG1,17,1990,7240,Koekoek,-1
10000002,Oostereng BG1,17,1990,7610,Bosuil,1
10000002,Oostereng BG1,17,1990,7670,Ransuil,1
10000002,Oostereng BG1,17,1990,7950,Gierzwaluw,-1
10000002,Oostereng BG1,17,1990,8630,Zwarte Specht,1
10000002,Oostereng BG1,17,1990,8760,Grote Bonte Specht,-1
10000002,Oostereng BG1,17,1990,8870,Kleine Bonte Spech,5
10000002,Oostereng BG1,17,1990,9760,Veldleeuwerik,-1
10000002,Oostereng BG1,17,1990,9920,Boerenzwaluw,-1
10000002,Oostereng BG1,17,1990,10010,Huiszwaluw,-1
10000002,Oostereng BG1,17,1990,10090,Boompieper,-1
10000002,Oostereng BG1,17,1990,10110,Graspieper,-1
10000002,Oostereng BG1,17,1990,10171,Gele Kwikstaart,-1
10000002,Oostereng BG1,17,1990,10201,Witte Kwikstaart,-1
10000002,Oostereng BG1,17,1990,10660,Winterkoning,-1
10000002,Oostereng BG1,17,1990,10840,Heggemus,-1
10000002,Oostereng BG1,17,1990,10990,Roodborst,-1
10000002,Oostereng BG1,17,1990,11210,Zwarte Roodstaart,-1
10000002,Oostereng BG1,17,1990,11220,Gekraagde Roodstaa,1
10000002,Oostereng BG1,17,1990,11870,Merel,-1
10000002,Oostereng BG1,17,1990,12000,Zanglijster,-1
10000002,Oostereng BG1,17,1990,12020,Grote Lijster,-1
10000002,Oostereng BG1,17,1990,12500,Bosrietzanger,-1
10000002,Oostereng BG1,17,1990,12510,Kleine Karekiet,-1
10000002,Oostereng BG1,17,1990,12590,Spotvogel,-1
10000002,Oostereng BG1,17,1990,12740,Braamsluiper,-1
10000002,Oostereng BG1,17,1990,12760,Tuinfluiter,-1
10000002,Oostereng BG1,17,1990,12770,Zwartkop,-1
10000002,Oostereng BG1,17,1990,13080,Fluiter,1
10000002,Oostereng BG1,17,1990,13110,Tjiftjaf,-1
10000002,Oostereng BG1,17,1990,13120,Fitis,-1
10000002,Oostereng BG1,17,1990,13140,Goudhaantje,-1
10000002,Oostereng BG1,17,1990,13350,Grauwe Vliegenvang,-1
10000002,Oostereng BG1,17,1990,13490,Bonte Vliegenvange,-1
10000002,Oostereng BG1,17,1990,14370,Staartmees,-1
10000002,Oostereng BG1,17,1990,14420,Matkop,-1
10000002,Oostereng BG1,17,1990,14540,Kuifmees,-1
10000002,Oostereng BG1,17,1990,14610,Zwarte Mees,-1
10000002,Oostereng BG1,17,1990,14620,Pimpelmees,-1
10000002,Oostereng BG1,17,1990,14640,Koolmees,-1
10000002,Oostereng BG1,17,1990,14790,Boomklever,12
10000002,Oostereng BG1,17,1990,14870,Boomkruiper,-1
10000002,Oostereng BG1,17,1990,15080,Wielewaal,1
10000002,Oostereng BG1,17,1990,15390,Vlaamse Gaai,-1
10000002,Oostereng BG1,17,1990,15490,Ekster,-1
10000002,Oostereng BG1,17,1990,15600,Kauw,-1
10000002,Oostereng BG1,17,1990,15671,Zwarte Kraai,-1
10000002,Oostereng BG1,17,1990,15820,Spreeuw,-1
10000002,Oostereng BG1,17,1990,15910,Huismus,-1
10000002,Oostereng BG1,17,1990,15980,Ringmus,-1
10000002,Oostereng BG1,17,1990,16360,Vink,-1
10000002,Oostereng BG1,17,1990,16490,Groenling,-1
10000002,Oostereng BG1,17,1990,16600,Kneu,-1
10000002,Oostereng BG1,17,1990,17100,Goudvink,-1
10000002,Oostereng BG1,17,1990,17170,Appelvink,5
10000002,Oostereng BG1,17,1990,18770,Rietgors,-1
10000003,Oostereng BN 3.4,12,1990,1780,Mandarijneend,6
10000003,Oostereng BN 3.4,12,1990,1860,Wilde Eend,-1
10000003,Oostereng BN 3.4,12,1990,3940,Fazant,-1
