LANDSCHAP,ECOCODE,LAND,DISTRICT,PERIODE
1100,, NL,,1990
1120,, NL, 1,1990
1130,, NL, 1,1990
1140,, NL, 1,1990
1210,, NL,12,1990
1211,, NL,12,1980
1221,, NL,,1990
1222,, NL,,1990
2100,, NL,,1990
2210,, NL,,1990
2220,, NL, 6,1990
2240,, NL, 6,1990
2250,, NL, 6,1990
2300,, NL,,1990
2310,, NL,,1990
2320,, NL,,1990
2330,, NL, 6,1990
2340,, NL, 6,1990
3200,, NL,,1990
3400,, NL,,1990
3600,, NL,,1990
4110,, NL,,1990
4120,, NL,,1990
4130,, NL,,1990
4140,, NL,,1990
4141,, NL,,1990
4160,, NL,,1990
4210,, NL,,1990
4220,, NL,,1990
4300,, NL,,1990
5120,, NL,,1990
5130,, NL,,1990
5200,, NL,,1990
5222,, NL,,1990
5310,, NL, 1,1990
5330,, NL,12,1990
5332,, NL,12,1990
5400,, NL,,1990
5412,, NL,,1990
5500,, NL,,1990
5522,, NL,,1990
5600,, NL,,1990
5612,, NL,,1990
5700,, NL,,1990
5712,, NL,,1990
5810,, NL,,1990
5820,, NL,,1990
6110,, NL,,1990
6120,, NL,,1990
6131,, NL,,1990
6132,, NL,,1990
6140,, NL,,1990
6161,, NL,,1990
6420,, NL,,1990
6440,, NL, 4,1990
6500,, NL,,1990
6600,, NL,,1990
6700,, NL,,1990
7101,, NL,,1990
7204,, NL, 6,1990
7205,, NL,,1990
7206,, NL,,1990
7207,, NL,,1990
7208,, NL,,1990
7209,, NL,,1990
7210,, NL,,1990
7211,, NL, 6,1990
7214,, NL,16,1990
7218,, NL,,1990
7219,, NL, 6,1990
7221,, NL,,1990
7223,, NL,16,1990
7227,, NL,,1990
7230,, NL,,1990
7233,, NL,,1990
7242,, NL,,1990
7245,, NL, 6,1990
7251,, NL,,1990
7252,, NL,,1990
7253,, NL,,1990
7256,, NL,,1990
7351,, NL,,1990
7352,, NL,,1990
7353,, NL,,1990
7354,, NL,,1990
7355,, NL,,1990
7356,, NL,,1990
7357,, NL,,1990
7403,, NL,,1990
7410,, NL,,1990
7422,, NL,,1990
9310,, NL,,1990
9411,, NL,,1990
9511,, NL,,1990
9513,, NL,,1990
9514,, NL,,1990
9611,, NL,,1990
9612,, NL,,1990
9613,, NL,,1990
9614,, NL,,1990
9621,, NL,,1990
9622,, NL,,1990
9623,, NL,,1990
9624,, NL,,1990
9625,, NL,,1990
9626,, NL,,1990
9631,, NL,,1990
9632,, NL,,1990
9634,, NL,,1990
9711,, NL,,1990
9712,, NL,,1990
9714,, NL,,1990
9721,, NL,,1990
9722,, NL,,1990
9723,, NL,,1990
9724,, NL,,1990
9725,, NL,,1990
9731,, NL,,1990
9732,, NL,,1990
9734,, NL,,1990
9742,, NL,,1990
9744,, NL,,1990
9747,, NL,,1990
9751,, NL,,1990
9761,, NL,,1990
9762,, NL,,1990
9763,, NL,,1990
9811,, NL,,1990
9812,, NL,,1990
9813,, NL,,1990
9814,, NL,,1990
9815,, NL,,1990
9816,, NL,,1990
9817,, NL,,1990
9818,, NL,,1990
9819,, NL,,1990
9821,, NL,,1990
9822,, NL,,1990
9823,, NL,,1990
9824,, NL,,1990
9825,, NL,,1990
9826,, NL,,1990
9841,, NL,,1990
9851,, NL,,1990
9911,, NL,,1990
9921,, NL,,1990
