REFERENTIE,TERREINTYP,PLOTNR,JAAR,PLOTNAAM,OPPERVLAK,ECOTOOP,KWALITEIT,X,Y
1120,1120,1231.0,1991,Rottumerplaat,418.1,,9,226900.0,618000.0
1120,1120,1286.0,1991,Rottumeroog,275.0,,9,234600.0,617500.0
1120,1134,14543.0,1994,Vierde duintjes duinen,106.0,,8,164084.5,605354.0
1120,1120,1287.0,1991,Griend,75.0,,10,146100.0,585000.0
1130,1135,1299.0,1995,Oosterkwelder NM 13,275.4,,9,212500.0,612000.0
1130,1133,14542.0,1994,Vierde Duintjes kwelder,127.0,,8,164239.27,605497.0
1130,1135,1335.0,1994,4e Duintjes/Helmp31+35,233.0,,8,163900.0,605400.0
1130,1130,1293.0,1995,Dollard RIN WB,19.2,,9,269000.0,586500.0
1130,1130,1291.0,1995,Dollard RIN IF,18.4,,8,273300.0,585400.0
1130,1130,1290.0,1995,Dollard RIN 2B,16.9,,9,274700.0,584800.0
1130,1130,1288.0,1995,De Schorren Texel,76.0,,8,122600.0,572000.0
1140,1140,1295.0,1995,Lauwerpolder,23.0,,7,237600.0,607800.0
1140,1140,1296.0,1995,Noordpolder-west,36.0,,7,233500.0,605700.0
1140,1140,1297.0,1994,Linthorst Homanpolder,36.0,,7,228300.0,605100.0
1140,1140,1298.0,1995,Julianapolder-west,53.0,,9,219500.0,603000.0
1210,1210,421741.0,1994,Hompelvoet,311.0,,9,54605.37,422198.0
1211,1211,421741.0,1979,Hompelvoet,311.0,110,9,54605.37,422198.0
1220,1220,431321.0,1993,Beuningerslikken,245.6,,8,74440.5,423862.0
1221,1221,587.0,1990,Schildhoek,162.0,,9,212000.0,596000.0
1221,1221,431322.0,1993,Beuningerslikken 1,104.4,420,6,74718.47,423884.0
1222,1222,585.0,1988,Pompsterplaat,32.0,722,8,209500.0,593500.0
1222,1222,1092.0,1995,Rand Scheelhoek,80.0,,7,63500.0,425500.0
1222,1222,431323.0,1993,Beuningerslikken 2,141.2,720,8,75664.43,422888.0
2000,2000,31.0,1986,De Nederlanden,120.0,,6,114000.0,569000.0
2000,2000,568.0,1991,Westerduinen/Bleekersv,223.3,,8,110000.0,563000.0
2100,2100,191141.0,1993,Fortblink,134.3,435,9,104321.17,522488.0
2100,2100,242821.0,1988,Zeereep Duin en Kruidberg,21.2,435,7,99060.9,494662.0
2100,2100,693.0,1992,De Pan eo.,55.0,,6,99000.0,494000.0
2100,2100,421.0,1992,AWD Mussenveld,60.0,,6,95000.0,484000.0
2100,2100,209.0,1989,Berkheide k XII A,70.0,,6,86500.0,467500.0
2100,2100,201.0,1989,Berkheide k V A,54.2,,8,85000.0,465400.0
2100,2100,61.0,1992,Meijendel k 13s,49.8,,6,83600.0,464000.0
2100,2100,70.0,1986,Meijendel k 35,21.0,,6,81500.0,461000.0
2200,2200,554.0,1992,Kooisplek 31,51.0,,7,131900.0,589700.0
2210,2214,43622.0,1994,Vlakte van het Veen,255.6,,7,130000.0,588900.0
2210,2214,821.0,1991,De Noordwesthoek,27.4,,6,104000.0,521000.0
2210,2214,346.0,1991,Zuiderachterveld open,30.0,,7,104000.0,518000.0
2210,2213,116.0,1991,Soeckebacker noord,20.0,,9,103500.0,514000.0
2210,2213,191.0,1989,Reggersvlak,24.6,,7,103000.0,512000.0
