LANDSCHAP,LAND,ECOCODE,DISTRICT,PERIODE,EURING,MEDIAAN,MAX_DICHT,PRESENTIE
1120, NL,, 1,1990, 1730,6,13.3,86
1120, NL,, 1,1990, 1860,3,25.8,100
1120, NL,, 1,1990, 1890,1,0.4,6
1120, NL,, 1,1990, 2060,8,117.6,66
1120, NL,, 1,1990, 2600,1,1.9,26
1120, NL,, 1,1990, 2610,1,0.9,26
1120, NL,, 1,1990, 3940,1,3.8,26
1120, NL,, 1,1990, 4070,1,0.2,13
1120, NL,, 1,1990, 4240,1,0.2,6
1120, NL,, 1,1990, 4500,7,460.0,100
1120, NL,, 1,1990, 4560,-9,0.0,0
1120, NL,, 1,1990, 4700,2,2.7,26
1120, NL,, 1,1990, 4770,2,4.0,33
1120, NL,, 1,1990, 4930,1,0.9,66
1120, NL,, 1,1990, 5410,2,7.5,26
1120, NL,, 1,1990, 5460,4,14.2,100
1120, NL,, 1,1990, 5820,3,27778.0,80
1120, NL,, 1,1990, 5900,5,25.3,60
1120, NL,, 1,1990, 5910,5,16.4,46
1120, NL,, 1,1990, 5920,10,362.4,66
1120, NL,, 1,1990, 6110,11,10000.0,6
1120, NL,, 1,1990, 6150,7,3556.0,73
1120, NL,, 1,1990, 6160,6,1378.0,33
1120, NL,, 1,1990, 6240,3,4.4,13
1120, NL,, 1,1990, 6680,3,2.9,33
1120, NL,, 1,1990, 6700,2,1.9,33
1120, NL,, 1,1990, 6870,1,1.9,20
1120, NL,, 1,1990, 7240,1,0.9,26
1120, NL,, 1,1990, 7680,1,0.4,13
1120, NL,, 1,1990, 9760,3,12.3,80
1120, NL,, 1,1990, 9920,1,0.1,13
1120, NL,, 1,1990,10110,6,57.8,100
1120, NL,, 1,1990,10201,1,0.4,33
1120, NL,, 1,1990,10660,2,6.6,26
1120, NL,, 1,1990,10840,1,0.9,26
1120, NL,, 1,1990,10990,1,0.9,13
1120, NL,, 1,1990,11220,1,0.9,13
1120, NL,, 1,1990,11460,1,0.9,20
1120, NL,, 1,1990,12360,1,3.8,26
1120, NL,, 1,1990,12430,1,0.9,33
1120, NL,, 1,1990,12500,1,0.9,20
1120, NL,, 1,1990,12510,1,0.1,33
1120, NL,, 1,1990,12590,1,0.1,20
1120, NL,, 1,1990,12740,1,1.9,26
1120, NL,, 1,1990,12750,2,4.7,33
1120, NL,, 1,1990,12760,1,0.1,13
1120, NL,, 1,1990,12770,1,0.1,6
1120, NL,, 1,1990,13110,1,1.9,26
1120, NL,, 1,1990,13120,3,7.5,33
1120, NL,, 1,1990,15490,2,2.8,33
1120, NL,, 1,1990,15600,1,0.9,13
1120, NL,, 1,1990,15671,2,3.8,33
1120, NL,, 1,1990,15820,1,1.8,6
1120, NL,, 1,1990,16600,1,0.5,26
1120, NL,, 1,1990,16790,1,0.1,15
1120, NL,, 1,1990,18770,1,2.8,73
1130, NL,, 1,1990, 1440,5,72.4,13
1130, NL,, 1,1990, 1730,5,11.8,86
1130, NL,, 1,1990, 1820,1,3.0,20
1130, NL,, 1,1990, 1860,4,46.1,100
1130, NL,, 1,1990, 1940,1,2.7,26
1130, NL,, 1,1990, 2030,2,3.0,33
1130, NL,, 1,1990, 2060,6,130.7,66
1130, NL,, 1,1990, 2600,1,2.7,26
1130, NL,, 1,1990, 2610,1,0.4,26
1130, NL,, 1,1990, 3940,1,2.1,26
1130, NL,, 1,1990, 4070,1,3.0,13
1130, NL,, 1,1990, 4500,8,124.4,100
1130, NL,, 1,1990, 4560,4,119.8,73
1130, NL,, 1,1990, 4700,1,3.9,26
1130, NL,, 1,1990, 4770,1,1.6,33
1130, NL,, 1,1990, 4930,4,19.0,66
1130, NL,, 1,1990, 5320,3,11.8,46
1130, NL,, 1,1990, 5410,2,4.1,26
1130, NL,, 1,1990, 5460,8,212.0,100
1130, NL,, 1,1990, 5820,4,7895.0,80
1130, NL,, 1,1990, 5900,5,10.2,60
1130, NL,, 1,1990, 5910,7,390.9,46
1130, NL,, 1,1990, 5920,8,452.4,66
1130, NL,, 1,1990, 6150,5,52.6,73
1130, NL,, 1,1990, 6160,3,15.8,33
1130, NL,, 1,1990, 6240,-9,0.0,0
1130, NL,, 1,1990, 6680,1,2.4,33
1130, NL,, 1,1990, 6700,1,1.5,33
1130, NL,, 1,1990, 6870,1,0.4,20
1130, NL,, 1,1990, 7240,1,0.4,26
1130, NL,, 1,1990, 7680,1,0.2,13
1130, NL,, 1,1990, 9760,6,34.6,80
1130, NL,, 1,1990,10110,7,70.7,100
1130, NL,, 1,1990,10171,4,11.8,66
1130, NL,, 1,1990,10201,2,6.6,33
1130, NL,, 1,1990,10660,1,3.4,26
1130, NL,, 1,1990,10840,1,0.4,26
1130, NL,, 1,1990,10990,1,0.2,13
1130, NL,, 1,1990,11060,2,8.9,6
1130, NL,, 1,1990,11220,1,0.2,13
1130, NL,, 1,1990,11460,1,1.5,20
1130, NL,, 1,1990,12360,1,1.8,26
1130, NL,, 1,1990,12380,1,3.0,6
1130, NL,, 1,1990,12430,4,35.5,33
1130, NL,, 1,1990,12500,1,0.2,20
1130, NL,, 1,1990,12510,5,50.3,33
1130, NL,, 1,1990,12590,1,0.2,20
1130, NL,, 1,1990,12740,1,0.4,26
1130, NL,, 1,1990,12750,1,1.5,33
1130, NL,, 1,1990,13110,1,0.4,26
1130, NL,, 1,1990,13120,1,3.0,33
1130, NL,, 1,1990,15490,1,1.1,33
1130, NL,, 1,1990,15600,1,4.7,13
1130, NL,, 1,1990,15671,1,1.3,33
1130, NL,, 1,1990,16600,1,0.4,26
1130, NL,, 1,1990,18770,4,71.0,73
1140, NL,, 1,1990, 1730,5,9.7,86
1140, NL,, 1,1990, 1820,1,1.9,20
1140, NL,, 1,1990, 1860,6,17.4,100
1140, NL,, 1,1990, 1940,1,1.9,26
