INDEX,SOM,SOM_D,TEL_G,SOM_G,TEL_K,SOM_K,TEL_G_K,SOM_D_K
1,2.0,18.42,2.0,18.42,1.0,2.63,1.0,2.63
1,5.0,7.9,5.0,7.9,4.0,4.9,4.0,4.9
2,2.0,6.58,0.0,0.0,2.0,6.58,0.0,0.0
2,2.0,0.4,2.0,0.4,2.0,0.4,2.0,0.4
3,2.0,7.89,0.0,0.0,2.0,7.89,0.0,0.0
3,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2
4,3.0,13.16,1.0,2.63,1.0,2.63,1.0,2.63
4,5.0,8.4,5.0,8.4,2.0,4.5,2.0,4.5
5,8.0,167.11,7.0,114.47,5.0,38.16,5.0,38.16
5,8.0,66.0,8.0,66.0,5.0,37.5,5.0,37.5
6,1.0,6.58,0.0,0.0,1.0,6.58,0.0,0.0
6,2.0,12.2,2.0,12.2,2.0,12.2,2.0,12.2
7,4.0,23.68,4.0,23.68,2.0,10.53,2.0,10.53
7,3.0,12.2,3.0,12.2,1.0,0.2,1.0,0.2
8,2.0,2.63,2.0,2.63,2.0,2.63,2.0,2.63
8,1.0,0.7,1.0,0.7,1.0,0.7,1.0,0.7
9,4.0,31.58,2.0,13.16,3.0,19.74,1.0,1.32
9,4.0,31.5,4.0,31.5,2.0,6.0,2.0,6.0
10,2.0,19.7,1.0,7.58,1.0,7.58,1.0,7.58
10,4.0,1.3,4.0,1.3,3.0,1.1,3.0,1.1
11,2.0,28.79,2.0,28.79,2.0,28.79,2.0,28.79
11,7.0,6.3,7.0,6.3,7.0,6.3,7.0,6.3
12,2.0,77.27,2.0,77.27,2.0,77.27,2.0,77.27
12,4.0,61.7,4.0,61.7,4.0,61.7,4.0,61.7
13,4.0,119.7,4.0,119.7,2.0,59.09,2.0,59.09
13,6.0,66.6,6.0,66.6,4.0,48.6,4.0,48.6
14,5.0,24.24,0.0,0.0,2.0,12.12,0.0,0.0
14,7.0,1.4,7.0,1.4,3.0,0.6,3.0,0.6
