TERCODE,GROEP
1000,301
1000,303
1000,501
1000,502
1000,503
1000,601
1000,921
1120,301
1120,303
1120,501
1120,502
1120,503
1120,601
1120,921
1130,301
1130,303
1130,501
1130,502
1130,503
1130,601
1130,921
1140,301
1140,303
1140,501
1140,502
1140,503
1140,601
1140,921
1200,100
1200,200
1200,301
1200,305
1200,500
1200,603
1200,604
1200,701
1200,703
1200,800
1200,921
1210,100
1210,200
1210,301
1210,305
1210,500
1210,603
1210,604
1210,701
1210,703
1210,800
1210,921
1210,921
1211,301
1211,303
1211,501
1211,502
1211,503
1211,601
1211,921
1212,200
1212,305
1212,603
1212,604
1212,701
1212,703
1212,800
1212,921
1220,100
1220,200
1220,301
1220,305
1220,500
1220,603
1220,604
1220,701
1220,703
1220,800
1220,921
1221,301
1221,303
1221,501
1221,502
1221,503
1221,601
1221,921
1222,200
1222,305
1222,603
1222,604
1222,701
1222,703
1222,800
1222,921
2000,100
2000,200
2000,301
2000,303
2000,601
2000,603
2000,604
2000,702
2000,703
2000,921
2100,100
2100,301
2100,303
2100,601
2100,603
2100,604
2100,702
2100,703
2100,921
2200,100
2200,301
2200,303
2200,601
2200,603
2200,604
2200,702
2200,703
2200,921
2210,100
2210,301
2210,303
2210,601
2210,603
2210,604
2210,702
2210,703
2210,921
2220,100
2220,301
2220,303
2220,304
2220,601
2220,603
2220,604
2220,702
2220,703
2220,921
2230,100
2230,301
2230,303
2230,601
2230,603
2230,604
2230,702
2230,703
2230,921
2240,100
2240,301
2240,303
2240,601
2240,603
2240,604
2240,702
2240,703
2240,921
2250,100
2250,301
2250,303
2250,601
2250,603
2250,604
2250,702
2250,703
2250,921
2300,100
2300,200
2300,301
2300,303
2300,601
2300,603
2300,604
2300,702
2300,703
2300,921
2310,100
2310,200
2310,301
2310,303
2310,601
2310,603
2310,604
2310,702
2310,703
2310,921
2320,100
2320,200
2320,301
2320,303
2320,601
2320,603
2320,604
2320,702
2320,703
2320,921
2330,100
2330,200
2330,301
2330,303
2330,601
2330,603
2330,604
2330,702
2330,703
2330,921
2340,100
2340,200
2340,301
2340,303
2340,601
2340,603
2340,604
2340,702
2340,703
2340,921
2350,100
2350,200
2350,301
2350,303
2350,601
2350,603
2350,604
2350,702
2350,703
2350,921
3000,101
3000,102
3000,103
3000,304
3000,401
3000,402
3000,601
3000,602
3000,604
3000,702
3000,808
3200,101
3200,102
3200,103
3200,304
3200,401
3200,402
3200,601
3200,602
3200,604
3200,702
3200,808
3400,101
3400,102
3400,103
3400,304
3400,401
3400,402
3400,601
3400,602
3400,604
3400,702
3400,808
3600,101
3600,102
3600,103
3600,304
3600,401
3600,402
3600,601
3600,602
3600,604
3600,702
3600,808
4000,101
4000,102
4000,103
4000,304
4000,401
4000,402
4000,601
4000,602
4000,604
4000,702
4000,808
4100,101
4100,102
4100,103
4100,304
4100,401
4100,402
4100,601
4100,602
4100,604
4100,702
4100,808
4110,101
4110,102
4110,103
4110,304
4110,401
4110,402
4110,601
4110,602
4110,604
4110,702
4110,808
4120,101
4120,102
4120,103
4120,304
4120,401
4120,402
4120,601
4120,602
4120,604
4120,702
4120,808
4130,101
4130,102
4130,103
4130,304
4130,401
4130,402
4130,601
4130,602
4130,604
4130,702
4130,808
4140,101
4140,102
4140,103
4140,304
4140,401
4140,402
4140,601
4140,602
4140,604
4140,702
4140,808
4141,101
4141,102
4141,103
4141,304
4141,401
4141,402
4141,601
4141,602
4141,604
4141,702
4141,808
4160,101
4160,102
4160,103
4160,304
4160,401
4160,402
4160,601
4160,602
4160,604
4160,702
4160,808
4200,101
4200,102
4200,103
4200,304
4200,401
4200,402
4200,601
4200,602
4200,604
4200,702
4200,808
4210,101
4210,102
4210,103
4210,304
4210,401
4210,402
4210,601
4210,602
4210,604
4210,702
4210,808
4220,101
4220,102
4220,103
4220,304
4220,401
4220,402
4220,601
4220,602
4220,604
4220,702
4220,808
4300,101
4300,102
4300,103
4300,304
4300,401
4300,402
4300,601
4300,602
4300,604
4300,702
4300,808
5000,101
5000,102
5000,103
5000,201
5000,202
5000,203
5000,204
5000,302
5000,305
5000,603
5000,604
5000,701
5000,703
5000,921
5100,101
5100,102
5100,103
5100,201
5100,202
5100,203
5100,204
5100,302
5100,305
5100,603
5100,604
5100,701
5100,703
5100,921
5110,101
5110,102
5110,103
5110,201
5110,202
5110,203
5110,204
5110,302
5110,305
5110,603
5110,604
5110,701
5110,703
5110,921
5120,101
5120,102
5120,103
5120,201
5120,202
5120,203
5120,204
5120,302
5120,305
5120,603
5120,604
5120,701
5120,703
5120,921
5130,101
5130,102
5130,103
5130,201
5130,202
5130,203
5130,204
5130,302
5130,305
5130,603
5130,604
5130,701
5130,703
5130,921
5140,101
5140,102
5140,103
5140,201
5140,202
5140,203
5140,204
5140,302
5140,305
5140,603
5140,604
5140,701
5140,703
5140,921
5150,101
5150,102
5150,103
5150,201
5150,202
5150,203
5150,204
5150,302
5150,305
5150,603
5150,604
5150,701
5150,703
5150,921
5160,101
5160,102
5160,103
5160,201
5160,202
5160,203
5160,204
5160,302
5160,305
5160,603
5160,604
5160,701
5160,703
5160,921
5170,101
5170,102
5170,103
5170,201
5170,202
5170,203
5170,204
5170,302
5170,305
5170,603
5170,604
5170,701
5170,703
5170,921
5180,101
5180,102
5180,103
5180,201
5180,202
5180,203
5180,204
5180,302
5180,305
5180,603
5180,604
5180,701
5180,703
5180,921
5200,101
5200,102
5200,103
5200,201
5200,202
5200,203
5200,204
5200,302
5200,305
5200,603
5200,604
5200,701
5200,703
5200,921
5222,101
5222,102
5222,103
5222,201
5222,202
5222,203
5222,204
5222,302
5222,305
5222,603
5222,604
5222,701
5222,703
5222,921
5300,101
5300,102
5300,103
5300,201
5300,202
5300,203
5300,204
5300,302
5300,305
5300,603
5300,604
5300,701
5300,703
5300,921
5310,101
5310,102
5310,103
5310,201
5310,202
5310,203
5310,204
5310,302
5310,305
5310,603
5310,604
5310,701
5310,703
5310,921
5330,101
5330,102
5330,103
5330,201
5330,202
5330,203
5330,204
5330,302
5330,305
5330,603
5330,604
5330,701
5330,703
5330,921
5332,101
5332,102
5332,103
5332,201
5332,202
5332,203
5332,204
5332,302
5332,305
5332,603
5332,604
5332,701
5332,703
5332,921
5400,101
5400,102
5400,103
5400,201
5400,202
5400,203
5400,204
5400,302
5400,305
5400,603
5400,604
5400,701
5400,703
5400,921
5412,101
5412,102
5412,103
5412,201
5412,202
5412,203
5412,204
5412,302
5412,305
5412,603
5412,604
5412,701
5412,703
5412,921
5500,101
5500,102
5500,103
5500,201
5500,202
5500,203
5500,204
5500,302
5500,305
5500,603
5500,604
5500,701
5500,703
5500,921
5522,101
5522,102
5522,103
5522,201
5522,202
5522,203
5522,204
5522,302
5522,305
5522,603
5522,604
5522,701
5522,703
5522,921
5600,101
5600,102
5600,103
5600,201
5600,202
5600,203
5600,204
5600,302
5600,305
5600,603
5600,604
5600,701
5600,703
5600,921
5612,101
5612,102
5612,103
5612,201
5612,202
5612,203
5612,204
5612,302
5612,305
5612,603
5612,604
5612,701
5612,703
5612,921
5700,101
5700,102
5700,103
5700,201
5700,202
5700,203
5700,204
5700,302
5700,305
5700,603
5700,604
5700,701
5700,703
5700,921
5712,101
5712,102
5712,103
5712,201
5712,202
5712,203
5712,204
5712,302
5712,305
5712,603
5712,604
5712,701
5712,703
5712,921
5810,101
5810,102
5810,103
5810,201
5810,202
5810,203
5810,204
5810,302
5810,305
5810,603
5810,604
5810,701
5810,703
5810,921
5812,101
5812,102
5812,103
5812,201
5812,202
5812,203
5812,204
5812,302
5812,305
5812,603
5812,604
5812,701
5812,703
5812,921
5820,101
5820,102
5820,103
5820,201
5820,202
5820,203
5820,204
5820,302
5820,305
5820,603
5820,604
5820,701
5820,703
5820,921
5822,101
5822,102
5822,103
5822,201
5822,202
5822,203
5822,204
5822,302
5822,305
5822,603
5822,604
5822,701
5822,703
5822,921
5890,101
5890,102
5890,103
5890,201
5890,202
5890,203
5890,204
5890,302
5890,305
5890,603
5890,604
5890,701
5890,703
5890,921
5900,101
5900,102
5900,103
5900,201
5900,202
5900,203
5900,204
5900,302
5900,305
5900,603
5900,604
5900,701
5900,703
5900,921
5910,101
5910,102
5910,103
5910,201
5910,202
5910,203
5910,204
5910,302
5910,305
5910,603
5910,604
5910,701
5910,703
5910,921
5920,101
5920,102
5920,103
5920,201
5920,202
5920,203
5920,204
5920,302
5920,305
5920,603
5920,604
5920,701
5920,703
5920,921
5930,101
5930,102
5930,103
5930,201
5930,202
5930,203
5930,204
5930,302
5930,305
5930,603
5930,604
5930,701
5930,703
5930,921
5940,101
5940,102
5940,103
5940,201
5940,202
5940,203
5940,204
5940,302
5940,305
5940,603
5940,604
5940,701
5940,703
5940,921
6000,305
6000,501
6000,502
6000,503
6000,603
6000,702
6000,703
6000,808
6000,901
6100,305
6100,501
6100,502
6100,503
6100,603
6100,702
6100,703
6100,808
6100,901
6110,305
6110,501
6110,502
6110,503
6110,603
6110,702
6110,703
6110,808
6110,901
6120,305
6120,501
6120,502
6120,503
6120,603
6120,702
6120,703
6120,808
6120,901
6130,305
6130,501
6130,502
6130,503
6130,603
6130,702
6130,703
6130,808
6130,901
6131,305
6131,501
6131,502
6131,503
6131,603
6131,702
6131,703
6131,808
6131,901
6132,305
6132,501
6132,502
6132,503
6132,603
6132,702
6132,703
6132,808
6132,901
6140,305
6140,501
6140,502
6140,503
6140,603
6140,702
6140,703
6140,808
6140,901
6150,305
6150,501
6150,502
6150,503
6150,603
6150,702
6150,703
6150,808
6150,901
6160,305
6160,501
6160,502
6160,503
6160,603
6160,702
6160,703
6160,808
6160,901
6161,305
6161,501
6161,502
6161,503
6161,603
6161,702
6161,703
6161,808
6161,901
6200,305
6200,306
6200,603
6200,702
6200,703
6200,808
6200,901
6210,305
6210,306
6210,603
6210,702
6210,703
6210,808
6210,901
6211,305
6211,306
6211,603
6211,702
6211,703
6211,808
6211,901
6212,305
6212,306
6212,603
6212,702
6212,703
6212,808
6212,901
6220,305
6220,306
6220,603
6220,702
6220,703
6220,808
6220,901
6300,305
6300,306
6300,603
6300,702
6300,703
6300,808
6300,901
6400,305
6400,501
6400,502
6400,503
6400,603
6400,702
6400,703
6400,808
6400,901
6420,305
6420,501
6420,502
6420,503
6420,603
6420,702
6420,703
6420,808
6420,901
6440,305
6440,501
6440,502
6440,503
6440,603
6440,702
6440,703
6440,808
6440,901
6500,305
6500,501
6500,502
6500,503
6500,603
6500,702
6500,703
