VARNR,VARIABELE,WAARDE,OMSCHRIJVI,REKENWAARD
1,Broedvogel,1,regelmatige broedvogel,0.0
1,Broedvogel,2,zeer zeldzame of onregelmatige broedvogel,0.0
1,Broedvogel,3,voormalige broedvogel,0.0
1,Broedvogel,4,(mogelijk) toekomstige broedvogel,0.0
2,Broed-eco1,1,open water,0.0
2,Broed-eco1,10,open gebied,0.0
2,Broed-eco1,2,rietvegetaties,0.0
2,Broed-eco1,3,ruigten,0.0
2,Broed-eco1,3b,"zandige, open ruigten; pioniervegetaties",0.0
2,Broed-eco1,4,heide en stuifzand; veen; open duin,0.0
2,Broed-eco1,5,grasland,0.0
2,Broed-eco1,6,akkers,0.0
2,Broed-eco1,7,struwelen,0.0
2,Broed-eco1,8,bos,0.0
2,Broed-eco1,9,bebouwd gebied,0.0
2,Broed-eco1,x,indifferent,0.0
3,Broed-eco2,1,open water,0.0
3,Broed-eco2,10,open gebied,0.0
3,Broed-eco2,2,rietvegetaties,0.0
3,Broed-eco2,3,ruigten,0.0
3,Broed-eco2,3b,"zandige, open ruigten; pioniervegetaties",0.0
3,Broed-eco2,4,heide en stuifzand; veen; open duin,0.0
3,Broed-eco2,5,grasland,0.0
3,Broed-eco2,6,akkers,0.0
3,Broed-eco2,7,struwelen,0.0
3,Broed-eco2,8,bos,0.0
3,Broed-eco2,9,bebouwd gebied,0.0
3,Broed-eco2,9?,bebouwd gebied ?,0.0
3,Broed-eco2,?,?,0.0
4,Nest-pl1,1,onder water,0.0
4,Nest-pl1,10,gebouwen,0.0
4,Nest-pl1,11,"holten (vnl. in de bodem, boomstronken)",0.0
4,Nest-pl1,2,wateroppervlak/waterkant,0.0
4,Nest-pl1,2?,wateroppervlak/waterkant ?,0.0
4,Nest-pl1,3,bodem,0.0
4,Nest-pl1,4,kruidlaag (10 - 50 cm),0.0
4,Nest-pl1,5,struiklaag (0.5 - 6 m),0.0
4,Nest-pl1,5a,lage struiklaag (0.5 - 2 m),0.0
4,Nest-pl1,5b,hoge struiklaag (2 - 6 m),0.0
4,Nest-pl1,6,stam (holten),0.0
4,Nest-pl1,7,kroon (hoger dan 6 m),0.0
4,Nest-pl1,9,riet,0.0
4,Nest-pl1,?,?,0.0
4,Nest-pl1,x,indifferent,0.0
5,Nest-pl2,10,gebouwen,0.0
5,Nest-pl2,11,"holten (vnl. in de bodem, boomstronken)",0.0
5,Nest-pl2,11?,"holten (vnl. in de bodem, boomstronken) ?",0.0
5,Nest-pl2,2,wateroppervlak/waterkant,0.0
5,Nest-pl2,2?,wateroppervlak/waterkant ?,0.0
5,Nest-pl2,3,bodem,0.0
5,Nest-pl2,3?,bodem ?,0.0
5,Nest-pl2,4,kruidlaag (10 - 50 cm),0.0
5,Nest-pl2,5,struiklaag (0.5 - 6 m),0.0
5,Nest-pl2,5a,lage struiklaag (0.5 - 2 m),0.0
5,Nest-pl2,5b,hoge struiklaag (2 - 6 m),0.0
5,Nest-pl2,5b?,hoge struiklaag (2 - 6 m) ?,0.0
5,Nest-pl2,6,stam (holten),0.0
5,Nest-pl2,7,kroon (hoger dan 6 m),0.0
5,Nest-pl2,?,?,0.0
6,Voedsel-eco1,1,open water,0.0
6,Voedsel-eco1,10,open gebied,0.0
6,Voedsel-eco1,2,rietvegetaties,0.0
6,Voedsel-eco1,3,ruigten,0.0
6,Voedsel-eco1,3?,ruigten ?,0.0
6,Voedsel-eco1,3b,"zandige, open ruigten; pioniervegetaties",0.0
6,Voedsel-eco1,4,heide en stuifzand; veen; open duin,0.0
6,Voedsel-eco1,5,grasland,0.0
6,Voedsel-eco1,6,akkers,0.0
6,Voedsel-eco1,7,struwelen,0.0
6,Voedsel-eco1,8,bos,0.0
6,Voedsel-eco1,8?,bos ?,0.0
6,Voedsel-eco1,9,bebouwd gebied,0.0
7,Voedsel-eco2,1,open water,0.0
7,Voedsel-eco2,10,open gebied,0.0
7,Voedsel-eco2,2,rietvegetaties,0.0
7,Voedsel-eco2,3,ruigten,0.0
7,Voedsel-eco2,3?,ruigten ?,0.0
7,Voedsel-eco2,3b,"zandige, open ruigten; pioniervegetaties",0.0
7,Voedsel-eco2,4,heide en stuifzand; veen; open duin,0.0
7,Voedsel-eco2,5,grasland,0.0
7,Voedsel-eco2,6,akkers,0.0
7,Voedsel-eco2,7,struwelen,0.0
7,Voedsel-eco2,8,bos,0.0
7,Voedsel-eco2,9,bebouwd gebied,0.0
7,Voedsel-eco2,x,indifferent,0.0
8,Voedsel-pl1,1,onder water,0.0
8,Voedsel-pl1,2,wateroppervlak/waterkant,0.0
8,Voedsel-pl1,3,bodem,0.0
8,Voedsel-pl1,3?,bodem ?,0.0
8,Voedsel-pl1,4,kruidlaag (10 - 50 cm),0.0
8,Voedsel-pl1,5,struiklaag (0.5 - 6 m),0.0
8,Voedsel-pl1,5a,lage struiklaag (0.5 - 2 m),0.0
8,Voedsel-pl1,5b,hoge struiklaag (2 - 6 m),0.0
8,Voedsel-pl1,6,stam,0.0
8,Voedsel-pl1,7,kroon (> 6 m),0.0
8,Voedsel-pl1,8,lucht,0.0
8,Voedsel-pl1,9,riet,0.0
8,Voedsel-pl1,x,indifferent,0.0
9,Voedsel-pl2,1,onder water,0.0
9,Voedsel-pl2,10,gebouwen,0.0
9,Voedsel-pl2,1?,onder water ?,0.0
9,Voedsel-pl2,2,wateroppervlak/waterkant,0.0
9,Voedsel-pl2,2?,wateroppervlak/waterkant ?,0.0
9,Voedsel-pl2,3,bodem,0.0
9,Voedsel-pl2,3?,bodem ?,0.0
9,Voedsel-pl2,4,kruidlaag (10 - 50 cm),0.0
9,Voedsel-pl2,5,struiklaag (0.5 - 6 m),0.0
9,Voedsel-pl2,5a,lage struiklaag (0.5 - 2 m),0.0
9,Voedsel-pl2,5b,hoge struiklaag (2 - 6 m),0.0
9,Voedsel-pl2,6,stam,0.0
9,Voedsel-pl2,7,kroon (> 6 m),0.0
9,Voedsel-pl2,7?,kroon (> 6 m) ?,0.0
9,Voedsel-pl2,8,lucht,0.0
9,Voedsel-pl2,8?,lucht ?,0.0
9,Voedsel-pl2,x,indifferent,0.0
10,Openh-opt.,1,< 2 ha;  zeer gesloten landschap,0.0
10,Openh-opt.,2,2 - 25 ha; gesloten landschap,0.0
10,Openh-opt.,2?,2 - 25 ha; gesloten landschap ?,0.0
10,Openh-opt.,3,25 -100 ha; halfopen landschap,0.0
10,Openh-opt.,3?,25 -100 ha; halfopen landschap ?,0.0
10,Openh-opt.,4,100 - 1000 ha; open landschap,0.0
10,Openh-opt.,4?,100 - 1000 ha; open landschap ?,0.0
10,Openh-opt.,5,> 1000 ha; zeer open landschap,0.0
10,Openh-opt.,5?,> 1000 ha; zeer open landschap ?,0.0
10,Openh-opt.,x,indifferent,0.0
11,Openh-min,1,< 2 ha;  zeer gesloten landschap,0.0
11,Openh-min,1?,< 2 ha; zeer gesloten landschap ?,0.0
11,Openh-min,2,2 - 25 ha; gesloten landschap,2.0
11,Openh-min,2?,2 - 25 ha; gesloten landschap ?,2.0
11,Openh-min,3,25 -100 ha; halfopen landschap,25.0
11,Openh-min,3?,25 -100 ha; halfopen landschap ?,25.0
11,Openh-min,4,100 - 1000 ha; open landschap,100.0
11,Openh-min,5,> 1000 ha; zeer open landschap,1000.0
12,Openh-max,1,< 2 ha;  zeer gesloten landschap,2.0
12,Openh-max,1?,< 2 ha; zeer gesloten landschap ?,2.0
12,Openh-max,2,2 - 25 ha; gesloten landschap,25.0
12,Openh-max,3,25 -100 ha; halfopen landschap,100.0
12,Openh-max,3?,25 -100 ha; halfopen landschap ?,100.0
12,Openh-max,4,100 - 1000 ha; open landschap,1000.0
12,Openh-max,4?,100 - 1000 ha; open landschap ?,1000.0
12,Openh-max,5,> 1000 ha; zeer open landschap,100000.0
12,Openh-max,5?,> 1000 ha; zeer open landschap ?,100000.0
13,Randvogel,o,regelmatig,0.0
13,Randvogel,x,vrijwel altijd,0.0
13,Randvogel,x?,vrijwel altijd ?,0.0
14,Pendelaar,?,?,0.0
14,Pendelaar,o,regelmatig,0.0
14,Pendelaar,o?,regelmatig ?,0.0
14,Pendelaar,x,vrijwel altijd,0.0
14,Pendelaar,x?,vrijwel altijd ?,0.0
15,Kolonievogel,o,regelmatig,0.0
