EURING,NEDERLANDS,SOORTGROEP,EURNUM
   70,Dodaars,3,70
   90,Fuut,3,90
  100,Roodhalsfuut,0,100
  110,Kuifduiker,0,110
  120,Geoorde Fuut,2,120
  720,Aalscholver,1,720
  950,Roerdomp,2,950
  980,Woudaapje,2,980
 1040,Kwak,1,1040
 1080,Ralreiger,0,1080
 1110,Koereiger,0,1110
 1190,Kleine Zilverreiger,1,1190
 1210,Grote Zilverreiger,1,1210
 1220,Blauwe Reiger,1,1220
 1240,Purperreiger,1,1240
 1310,Zwarte Ooievaar,0,1310
 1340,Ooievaar,2,1340
 1440,Lepelaar,1,1440
 1470,Flamingo,0,1470
 1520,Knobbelzwaan,3,1520
 1560,Zwaangans,0,1560
 1574,Toendrarietgans,0,1574
 1590,Kolgans,2,1590
 1610,Grauwe Gans,3,1610
 1620,Indische Gans,0,1620
 1630,Sneeuwgans,0,1630
 1660,Grote Canadese Gans,3,1660
 1670,Brandgans,2,1670
 1700,Nijlgans,3,1700
 1710,Casarca,0,1710
 1730,Bergeend,3,1730
 1750,Muskuseend,0,1750
 1770,Carolinaeend,0,1770
 1780,Mandarijneend,3,1780
 1790,Smient,2,1790
 1820,Krakeend,3,1820
 1840,Wintertaling,3,1840
 1860,Wilde Eend,4,1860
 1861,Soepeend,4,1861
 1890,Pijlstaart,2,1890
 1910,Zomertaling,3,1910
 1940,Slobeend,3,1940
 1960,Krooneend,2,1960
 1980,Tafeleend,3,1980
 2020,Witoogeend,0,2020
 2030,Kuifeend,3,2030
 2040,Toppereend,0,2040
 2060,Eider,2,2060
 2180,Brilduiker,2,2180
 2200,Nonnetje,0,2200
 2210,Middelste Zaagbek,2,2210
 2230,Grote Zaagbek,0,2230
 2250,Rosse Stekelstaart,0,2250
 2310,Wespendief,3,2310
 2380,Zwarte Wouw,0,2380
 2390,Rode Wouw,0,2390
 2430,Zeearend,0,2430
 2560,Slangenarend,0,2560
 2600,Bruine Kiekendief,2,2600
 2610,Blauwe Kiekendief,2,2610
 2630,Grauwe Kiekendief,2,2630
 2670,Havik,3,2670
 2690,Sperwer,3,2690
 2870,Buizerd,3,2870
 2920,Schreeuwarend,0,2920
 2930,Bastaardarend,0,2930
 2960,Steenarend,0,2960
 2980,Dwergarend,0,2980
 3010,Visarend,0,3010
 3040,Torenvalk,3,3040
 3070,Roodpootvalk,0,3070
 3100,Boomvalk,3,3100
 3200,Slechtvalk,2,3200
 3260,Hazelhoen,0,3260
 3290,Moerassneeuwhoen,0,3290
 3320,Korhoen,2,3320
 3350,Auerhoen,0,3350
 3580,Rode Patrijs,0,3580
 3670,Patrijs,3,3670
 3700,Kwartel,3,3700
 3940,Fazant,4,3940
 4070,Waterral,3,4070
 4080,Porseleinhoen,2,4080
 4100,Klein Waterhoen,2,4100
 4110,Kleinst Waterhoen,2,4110
 4210,Kwartelkoning,2,4210
 4240,Waterhoen,4,4240
 4290,Meerkoet,4,4290
 4330,Kraanvogel,2,4330
 4420,Kleine Trap,0,4420
 4460,Grote Trap,0,4460
 4500,Scholekster,3,4500
 4550,Steltkluut,2,4550
 4560,Kluut,2,4560
 4590,Griel,0,4590
 4690,Kleine Plevier,3,4690
 4700,Bontbekplevier,2,4700
 4770,Strandplevier,2,4770
 4820,Morinelplevier,0,4820
 4850,Goudplevier,0,4850
 4930,Kievit,3,4930
 5120,Bonte Strandloper,0,5120
 5170,Kemphaan,2,5170
 5190,Watersnip,3,5190
 5200,Poelsnip,0,5200
 5290,Houtsnip,3,5290
 5320,Grutto,3,5320
 5410,Wulp,3,5410
 5460,Tureluur,3,5460
 5530,Witgatje,0,5530
 5540,Bosruiter,0,5540
 5560,Oeverloper,2,5560
 5750,Zwartkopmeeuw,1,5750
 5780,Dwergmeeuw,0,5780
 5820,Kokmeeuw,1,5820
 5900,Stormmeeuw,1,5900
 5910,Kleine Mantelmeeuw,1,5910
 5920,Zilvermeeuw,1,5920
 5927,Geelpootmeeuw,0,5927
 6000,Grote Mantelmeeuw,2,6000
 6020,Drieteenmeeuw,0,6020
 6050,Lachstern,0,6050
 6060,Reuzenstern,0,6060
 6110,Grote Stern,1,6110
 6150,Visdief,1,6150
 6160,Noordse Stern,1,6160
 6240,Dwergstern,1,6240
 6260,Witwangstern,0,6260
 6270,Zwarte Stern,1,6270
 6280,Witvleugelstern,0,6280
 6650,Rotsduif,0,6650
