table,field,inferred_type,sample_nonempty,sample_empty,min,max,examples
AVISTE2,EURING,float,200,0,1730.0,18770.0,1730.0|4500.0|11390.0
AVISTE2,SOORT,string,200,0,,,Bergeend|Scholekster|Roodborsttapuit
AVISTE2,AANTAL,float,200,0,1.0,1.0,1.0
AVISTE2,XX,int,200,0,109897.0,120652.0,110474|111097|110840
AVISTE2,YY,int,200,0,561617.0,577170.0,562698|564433|564570
AVISTE2,ID,float,180,20,10011.1000413,10011.1005817,10011.1000422|10011.1000453|10011.1000459
AVISTE2,VAK,float,200,0,0.0,145.0,3.0|4.0|0.0
AVISTE2,AFD,string,177,23,,,G|M|S
AVISTE2,SDT_NO,float,177,23,3.1,99.4,5.1|6.1|5.4
AVISTE2,DIG_OPP,float,200,0,0.0,104.91771,4.98091|64.07441|47.55881
AVISTE2,SDT_OPP,float,200,0,0.0,345.7091,110.0706|345.7091|17.785
BROEDVOG,EURING,int,88,0,70.0,18770.0,1730|1860|1940
BROEDVOG,AANTAL,int,88,0,-1.0,54.0,7|-1|12
BROEDVOG,SOV_NDX,int,88,0,1.0,3.0,1|2|3
ECOGROEP,GROEP,int,55,0,100.0,999.0,100|101|102
ECOGROEP,NAAM,string,55,0,,,Watervogels|Dodaars-groep|Slobeend-groep
ECOGROEP,HABITAT,string,51,4,,,"open water|voedselarm-matig voedselrijk open water|kleinschalig, ondiep (matig) voedselrijk open wate"
ECOTOOP,ECOCODE,int,90,0,100.0,910.0,100|110|120
ECOTOOP,ECOTOOP,string,90,0,,,onbegroeid|kaal zand|kaal slik
Eco_pop,GROEP,int,200,0,100.0,301.0,100|101|102
Eco_pop,EURING,int,200,0,70.0,20040.0,70|90|100
Eco_pop,VEELEISEND,int,200,0,1.0,5.0,2|1|3
GEBIED,GEB_CODE,int,2,0,4753854.0,4833382.0,04833382|04753854
GEBIED,GEB_NAAM,string,2,0,,,ganzenreservaat|heggenreservaat
GEBIED,GEB_GROOT,float,2,0,66.0,76.0,66.0|76.0
Gistest,EURING,float,200,0,70.0,1730.0,70.0|90.0|120.0
Gistest,SOORT,string,200,0,,,Dodaars|Fuut|Geoorde Fuut
Gistest,AANTAL,float,200,0,1.0,1.0,1.0
Gistest,XX,int,200,0,109836.0,120837.0,110191|110396|110474
Gistest,YY,int,200,0,557189.0,574866.0,559926|559864|559340
Gistest,ID,empty,0,200,,,
Gistest,VAK,float,200,0,0.0,0.0,0.0
Gistest,AFD,empty,0,200,,,
Gistest,SDT_NO,empty,0,200,,,
Gistest,DIG_OPP,float,200,0,0.0,0.0,0.0
Gistest,SDT_OPP,float,200,0,0.0,0.0,0.0
HO9298,EURING,float,200,0,70.0,11390.0,70.0|120.0|1700.0
HO9298,JAAR,int,200,0,1992.0,1998.0,1992|1998
HO9298,AA_GEB,string,200,0,,,HO
HO9298,SUBDOELTYP,float,200,0,3.2,99.8,13.6|3.3|5.4
HO9298,AANTAL,float,200,0,1.0,56.0,1.0|11.0|8.0
HO9298,OPPERVLAKT,float,200,0,1.4265,459.3625,459.3625|73.4046|283.6797
Hz,EURING,float,101,0,70.0,18770.0,70.0|1840.0|1860.0
Hz,SOORT,empty,0,101,,,
Hz,AANTAL,float,101,0,1.0,19.0,1.0|9.0|2.0
Hz,XX,empty,0,101,,,
Hz,YY,empty,0,101,,,
Hz,ID,empty,0,101,,,
Hz,VAK,empty,0,101,,,
Hz,AFD,empty,0,101,,,
Hz,SDT_NO,float,101,0,3.3,99.4,5.4|13.6|3.3
Hz,DIG_OPP,empty,0,101,,,
Hz,SDT_OPP,float,101,0,0.785,61.508,18.604|60.667|61.508
Hz,JAAR,int,101,0,1992.0,1998.0,1998|1992
INDICAT,LANDSCHAP,int,200,0,1000.0,1000.0,1000
INDICAT,EURING,int,200,0,70.0,15630.0,70|90|100
INDICAT,CODE,int,200,0,1.0,5.0,2|1|3
KARAKTER,LANDSCHAP,int,200,0,1000.0,1211.0,1000|1120|1130
KARAKTER,EURING,int,200,0,1730.0,18770.0,1730|1790|1890
KARAKTER,DREMPEL,int,200,0,0.0,0.0,0
KARAKTER,CODE,string,200,0,,,K
KARTERIN,GEB_CODE,int,2,0,4753854.0,4833382.0,04833382|04753854
KARTERIN,SOV_NDX,int,2,0,1.0,2.0,1|2
KARTERIN,JAAR,int,2,0,1999.0,1999.0,1999
NEDERLND,CHANGE,int,200,0,0.0,2.0,0|2|1
NEDERLND,X,float,200,0,0.0,280.0,220.0|0.0|160.0
NEDERLND,Y,float,200,0,300.0,625.0,400.0|350.0|300.0
NHLGRP,SDT_CODE0,float,200,0,1.01,13.06,01.01|01.02|01.03
NHLGRP,SUBNHL,float,200,0,1.1,13.6,1.1|1.2|1.3
NHLGRP,OMSCHRIJVI,string,200,0,,,Kwelder|Zee|Stuivend duin
NHLGRP,ECOGROEP,int,200,0,0.0,812.0,301|303|502
NHLGRP,GROEPNAAM,string,194,6,,,Strandplevier-groep|Scholekster-groep|Grutto-groep
NHLGRP,HABITAT,string,194,6,,,"schaars begroeide zandplaten, zout tot brak|open pioniervegetaties in kustduinen|vochtig tot drassig grasland"
NHLGRP,STATUS,string,194,6,,,Standaard|Facultatief
NHLGRP,ONDERGRENS,float,200,0,0.0,123.016,3.491|42.647|6.018
NHLGRP,REFERENTIE,float,200,0,0.0,369.05,10.47|127.94|18.05
Normgrp,SUBNHLVOLG,float,200,0,1.0,13.0,1.0|4.0|6.0
Normgrp,SUBNHLCODE,float,200,0,1.1,3.1,1.1|2.1|2.3
Normgrp,SUBNHLOMS,string,200,0,,,Kwelders|Grote Stuifzanden|Klei-oermoeras
Normgrp,GROEPNR,float,200,0,100.0,999.0,100.0|102.0|103.0
Normgrp,GROEPNAAM,string,200,0,,,Watervogels|Slobeend-groep|Kuifeend-groep
Normgrp,REFERENTIE,float,200,0,0.0273,148.375,0.5924|0.401|0.1914
Normgrp,ONDERGRENS,float,200,0,0.009,48.9637,0.1955|0.1323|0.0632
Normgrp,REF_KLAS,float,200,0,0.2,137.15,0.8|0.6|0.2
Normgrp,ONDER_KLAS,float,200,0,0.066,45.2595,0.264|0.198|0.066
OBR,EURING,int,200,0,90.0,15910.0,90|100|120
OBR,VOGELNAAM,string,200,0,,,Fuut|Roodhalsfuut|Geoorde Fuut
OBR,_1,int,200,0,1.0,3.0,1|2|3
OBR,_2,int,200,0,1.0,10.0,1|8|2
OBR,_3,string,126,74,,,7|?|8
OBR,_4,string,199,1,,,2|7|3
OBR,_5,string,98,102,,,3|5b|7
OBR,_6,string,200,0,,,1|2|3
OBR,_7,string,148,52,,,1;3|3?|3
OBR,_8,string,199,1,,,1|3|3?
OBR,_9,string,146,54,,,2|1|3
OBR,_10,string,190,10,,,4|3|2
OBR,_11,string,197,3,,,2|3|4
OBR,_12,string,198,2,,,5|4|5?
OBR,_13,string,28,172,,,x|o|x?
OBR,_14,string,61,139,,,x|?|x?
OBR,_15,string,43,157,,,o|x
OBR,_16,string,198,2,,,2|6|3
OBR,_17,string,197,3,,,1|2|4
OBR,_18,string,197,3,,,3|6|4
OBR,_19,string,62,138,,,x|1|3
OBR,_20,string,10,190,,,2|1|3
OBR,_21,string,198,2,,,1|2|3
OBR,_22,string,135,65,,,1|2?|2
OBR,_23,int,133,67,1.0,4.0,1|2|3
OBR,_24,string,198,2,,,3|2|x?
OBR,_25,string,94,106,,,1|2|3
OBR,_26,string,92,108,,,3|x|1?
OBR,_27,string,198,2,,,3|2|x?
OBR,_28,string,117,83,,,2|3|2?
OBR,_29,string,114,86,,,3|x|2
OBR,_30,string,197,3,,,1|x|4
OBR,_31,int,109,91,1.0,5.0,1|5|2
OBR,_32,string,109,91,,,3|5|2
OBR,_33,int,74,126,0.0,5.0,1|2|0
OBR,_34,int,72,128,0.0,4.0,1|0|2
OBR,_35,string,72,128,,,3|2|1
OBR,_36,string,199,1,,,-|*
OBR,_37,string,199,1,,,-|*
OBR,_38,string,199,1,,,-|tz|itz
OBR,_39,string,199,1,,,*|-
OBR,_40,string,199,1,,,*|-
OBR,_41,string,199,1,,,II|III|IV
OBR,_42,string,199,1,,,5000|0|30
OBR,_43,string,199,1,,,7500|0|70
OBR,_44,string,199,1,,,7000|0|30
OBR,_45,string,199,1,,,10000|1|225
OBR,_46,string,199,1,,,SDe|Z|S
OBR,_47,string,199,1,,,WDo|Do|-
OBR,_48,string,199,1,,,12|1|2
OBR,_49,int,199,1,1.0,1234.0,1234|134|4
OBR,_50,string,199,1,,,*|i|-
OBR,_51,string,199,1,,,762|3|56
OBR,_52,string,199,1,,,d1e|d1|b1b2
OBR,_53,int,199,1,2.0,6.0,3|4|5
OBR,_54,int,199,1,4.0,10.0,7|6|9
OBR,_55,int,199,1,11.0,40.0,27|24|21
OBR,_56,int,199,1,1.0,9.0,3|2|4
OBR,_57,int,199,1,1.0,15.0,4|5|1
OBR,_58,int,199,1,2.0,24.0,6|7|8
OBR,_59,int,198,2,1.0,3.0,1|2|3
OBR,_60,int,198,2,1.0,3.0,1|2|3
