EURING,JAAR,AA_GEB,SUBDOELTYP,AANTAL,SDT_OPP,DIG_OPP
70.0,1998,HZ,5.4,1.0,18.604,
1840.0,1992,HZ,5.4,9.0,18.604,
1840.0,1998,HZ,5.4,2.0,18.604,
1860.0,1998,HZ,5.4,4.0,18.604,
2030.0,1998,HZ,5.4,2.0,18.604,
2670.0,1998,HZ,13.6,1.0,60.667,
2690.0,1992,HZ,13.6,2.0,60.667,
4070.0,1998,HZ,5.4,1.0,18.604,
4240.0,1992,HZ,5.4,1.0,18.604,
4290.0,1992,HZ,5.4,3.0,18.604,
4290.0,1998,HZ,5.4,1.0,18.604,
4930.0,1992,HZ,5.4,2.0,18.604,
5460.0,1992,HZ,13.6,1.0,60.667,
6680.0,1992,HZ,13.6,1.0,60.667,
6680.0,1992,HZ,3.3,1.0,61.508,
6680.0,1998,HZ,3.3,2.0,61.508,
6870.0,1998,HZ,3.3,2.0,61.508,
7240.0,1992,HZ,3.3,2.0,61.508,
7240.0,1992,HZ,5.4,1.0,18.604,
7240.0,1998,HZ,5.4,1.0,18.604,
7670.0,1992,HZ,13.6,2.0,60.667,
7670.0,1992,HZ,3.3,3.0,61.508,
7670.0,1998,HZ,13.6,1.0,60.667,
8630.0,1992,HZ,3.3,2.0,61.508,
8760.0,1992,HZ,13.6,4.0,60.667,
8760.0,1992,HZ,3.3,16.0,61.508,
8760.0,1992,HZ,6.3,2.0,10.2986,
8760.0,1998,HZ,13.6,7.0,60.667,
8760.0,1998,HZ,3.3,10.0,61.508,
8760.0,1998,HZ,6.3,1.0,10.2986,
8760.0,1998,HZ,99.4,1.0,0.785,
8870.0,1992,HZ,3.3,3.0,61.508,
8870.0,1992,HZ,6.3,1.0,10.2986,
8870.0,1998,HZ,3.3,2.0,61.508,
9740.0,1998,HZ,6.3,1.0,10.2986,
10090.0,1992,HZ,13.6,18.0,60.667,
10090.0,1992,HZ,3.3,19.0,61.508,
10090.0,1992,HZ,5.4,10.0,18.604,
10090.0,1992,HZ,6.3,5.0,10.2986,
10090.0,1998,HZ,13.6,12.0,60.667,
10090.0,1998,HZ,3.3,9.0,61.508,
10090.0,1998,HZ,5.4,12.0,18.604,
10090.0,1998,HZ,6.3,3.0,10.2986,
10840.0,1998,HZ,13.6,2.0,60.667,
10840.0,1998,HZ,3.3,2.0,61.508,
11220.0,1998,HZ,3.3,4.0,61.508,
11220.0,1998,HZ,6.3,3.0,10.2986,
11390.0,1998,HZ,5.4,3.0,18.604,
12020.0,1992,HZ,13.6,3.0,60.667,
12020.0,1992,HZ,3.3,2.0,61.508,
12020.0,1992,HZ,99.4,1.0,0.785,
12020.0,1998,HZ,13.6,1.0,60.667,
12020.0,1998,HZ,3.3,1.0,61.508,
12750.0,1998,HZ,5.4,3.0,18.604,
12760.0,1998,HZ,13.6,4.0,60.667,
12760.0,1998,HZ,3.3,2.0,61.508,
12760.0,1998,HZ,5.4,1.0,18.604,
12770.0,1998,HZ,13.6,4.0,60.667,
12770.0,1998,HZ,3.3,10.0,61.508,
13080.0,1992,HZ,13.6,2.0,60.667,
13080.0,1992,HZ,3.3,1.0,61.508,
13150.0,1998,HZ,13.6,2.0,60.667,
13150.0,1998,HZ,3.3,1.0,61.508,
13350.0,1992,HZ,13.6,1.0,60.667,
13350.0,1992,HZ,3.3,2.0,61.508,
13350.0,1998,HZ,13.6,1.0,60.667,
13490.0,1998,HZ,13.6,1.0,60.667,
13490.0,1998,HZ,3.3,4.0,61.508,
14400.0,1992,HZ,3.3,1.0,61.508,
14420.0,1998,HZ,13.6,3.0,60.667,
14420.0,1998,HZ,3.3,5.0,61.508,
14420.0,1998,HZ,6.3,2.0,10.2986,
14540.0,1992,HZ,13.6,6.0,60.667,
14540.0,1992,HZ,3.3,8.0,61.508,
14540.0,1992,HZ,6.3,1.0,10.2986,
14540.0,1998,HZ,13.6,1.0,60.667,
14540.0,1998,HZ,3.3,3.0,61.508,
14870.0,1992,HZ,13.6,9.0,60.667,
14870.0,1992,HZ,3.3,13.0,61.508,
14870.0,1992,HZ,6.3,2.0,10.2986,
14870.0,1992,HZ,99.4,1.0,0.785,
14870.0,1998,HZ,13.6,6.0,60.667,
14870.0,1998,HZ,3.3,11.0,61.508,
15080.0,1992,HZ,13.6,1.0,60.667,
15080.0,1992,HZ,3.3,1.0,61.508,
15600.0,1998,HZ,3.3,1.0,61.508,
15671.0,1998,HZ,13.6,3.0,60.667,
15671.0,1998,HZ,3.3,1.0,61.508,
16600.0,1998,HZ,5.4,2.0,18.604,
16660.0,1998,HZ,13.6,2.0,60.667,
16660.0,1998,HZ,3.3,2.0,61.508,
17100.0,1998,HZ,13.6,2.0,60.667,
17100.0,1998,HZ,3.3,1.0,61.508,
17170.0,1992,HZ,13.6,8.0,60.667,
17170.0,1992,HZ,3.3,4.0,61.508,
17170.0,1998,HZ,13.6,1.0,60.667,
17170.0,1998,HZ,3.3,3.0,61.508,
18570.0,1992,HZ,13.6,1.0,60.667,
18570.0,1992,HZ,3.3,1.0,61.508,
18770.0,1992,HZ,5.4,1.0,18.604,
18770.0,1998,HZ,5.4,5.0,18.604,
