GROEP,GROEP_NAAM,EURING,NEDERLANDS,VEELEISEND
100,Watervogels,1730,Bergeend,1
100,Watervogels,1670,Brandgans,1
100,Watervogels,1770,Carolinaeend,2
100,Watervogels,70,Dodaars,2
100,Watervogels,90,Fuut,1
100,Watervogels,120,Geoorde Fuut,3
100,Watervogels,1610,Grauwe Gans,2
100,Watervogels,1660,Grote Canadese Gans,1
100,Watervogels,1620,Indische Gans,1
100,Watervogels,1520,Knobbelzwaan,1
100,Watervogels,5820,Kokmeeuw,1
100,Watervogels,1590,Kolgans,1
100,Watervogels,1820,Krakeend,2
100,Watervogels,1960,Krooneend,3
100,Watervogels,2030,Kuifeend,2
100,Watervogels,1780,Mandarijneend,1
100,Watervogels,4290,Meerkoet,1
100,Watervogels,2210,Middelste Zaagbek,2
100,Watervogels,1750,Muskuseend,1
100,Watervogels,1700,Nijlgans,1
100,Watervogels,1890,Pijlstaart,3
100,Watervogels,100,Roodhalsfuut,2
100,Watervogels,1940,Slobeend,2
100,Watervogels,1790,Smient,3
100,Watervogels,1980,Tafeleend,2
100,Watervogels,6150,Visdief,2
100,Watervogels,4240,Waterhoen,1
100,Watervogels,1860,Wilde Eend,1
100,Watervogels,1840,Wintertaling,1
100,Watervogels,1910,Zomertaling,3
100,Watervogels,6270,Zwarte Stern,3
100,Watervogels,20040,Zwarte Zwaan,1
100,Watervogels,5750,Zwartkopmeeuw,2
200,Rietvogels,13640,Baardmannetje,3
200,Rietvogels,11060,Blauwborst,2
200,Rietvogels,2600,Bruine Kiekendief,3
200,Rietvogels,12530,Grote Karekiet,3
200,Rietvogels,1210,Grote Zilverreiger,4
200,Rietvogels,4100,Klein Waterhoen,3
200,Rietvogels,12510,Kleine Karekiet,1
200,Rietvogels,4110,Kleinst Waterhoen,3
200,Rietvogels,4330,Kraanvogel,5
200,Rietvogels,12370,Krekelzanger,2
200,Rietvogels,4210,Kwartelkoning,4
200,Rietvogels,1440,Lepelaar,3
200,Rietvogels,4080,Porseleinhoen,3
200,Rietvogels,1240,Purperreiger,3
200,Rietvogels,18770,Rietgors,1
200,Rietvogels,12430,Rietzanger,2
200,Rietvogels,950,Roerdomp,3
200,Rietvogels,12380,Snor,2
200,Rietvogels,12360,Sprinkhaanzanger,2
200,Rietvogels,4240,Waterhoen,1
200,Rietvogels,4070,Waterral,2
200,Rietvogels,12420,Waterrietzanger,5
200,Rietvogels,5190,Watersnip,3
200,Rietvogels,980,Woudaapje,4
300,Vogels van pionierbegroeiingen,1730,Bergeend,1
300,Vogels van pionierbegroeiingen,2610,Blauwe Kiekendief,3
300,Vogels van pionierbegroeiingen,4700,Bontbekplevier,2
300,Vogels van pionierbegroeiingen,5120,Bonte Strandloper,4
300,Vogels van pionierbegroeiingen,9740,Boomleeuwerik,2
300,Vogels van pionierbegroeiingen,10050,Duinpieper,3
300,Vogels van pionierbegroeiingen,6240,Dwergstern,3
300,Vogels van pionierbegroeiingen,2060,Eider,2
300,Vogels van pionierbegroeiingen,10172,Engelse Kwikstaart,1
300,Vogels van pionierbegroeiingen,3940,Fazant,1
300,Vogels van pionierbegroeiingen,1470,Flamingo,2
300,Vogels van pionierbegroeiingen,10171,Gele Kwikstaart,2
300,Vogels van pionierbegroeiingen,10110,Graspieper,1
300,Vogels van pionierbegroeiingen,12260,Graszanger (Waaierstaartzanger),2
300,Vogels van pionierbegroeiingen,18820,Grauwe Gors,3
300,Vogels van pionierbegroeiingen,2630,Grauwe Kiekendief,3
300,Vogels van pionierbegroeiingen,4590,Griel,4
300,Vogels van pionierbegroeiingen,6000,Grote Mantelmeeuw,2
300,Vogels van pionierbegroeiingen,6110,Grote Stern,3
300,Vogels van pionierbegroeiingen,6680,Holenduif,1
300,Vogels van pionierbegroeiingen,15600,Kauw,1
300,Vogels van pionierbegroeiingen,4930,Kievit,1
300,Vogels van pionierbegroeiingen,5910,Kleine Mantelmeeuw,2
300,Vogels van pionierbegroeiingen,4690,Kleine Plevier,2
300,Vogels van pionierbegroeiingen,4560,Kluut,2
300,Vogels van pionierbegroeiingen,9720,Kuifleeuwerik,4
300,Vogels van pionierbegroeiingen,3700,Kwartel,2
300,Vogels van pionierbegroeiingen,4210,Kwartelkoning,4
300,Vogels van pionierbegroeiingen,6050,Lachstern,5
300,Vogels van pionierbegroeiingen,2210,Middelste Zaagbek,2
300,Vogels van pionierbegroeiingen,6160,Noordse Stern,3
300,Vogels van pionierbegroeiingen,5560,Oeverloper,3
300,Vogels van pionierbegroeiingen,9810,Oeverzwaluw,2
300,Vogels van pionierbegroeiingen,11370,Paapje,3
300,Vogels van pionierbegroeiingen,3670,Patrijs,2
300,Vogels van pionierbegroeiingen,3580,Rode Patrijs,2
300,Vogels van pionierbegroeiingen,4500,Scholekster,1
300,Vogels van pionierbegroeiingen,7570,Steenuil,3
300,Vogels van pionierbegroeiingen,4550,Steltkluut,2
300,Vogels van pionierbegroeiingen,5900,Stormmeeuw,2
300,Vogels van pionierbegroeiingen,4770,Strandplevier,3
300,Vogels van pionierbegroeiingen,11460,Tapuit,2
300,Vogels van pionierbegroeiingen,9760,Veldleeuwerik,2
300,Vogels van pionierbegroeiingen,7680,Velduil,3
300,Vogels van pionierbegroeiingen,6150,Visdief,2
300,Vogels van pionierbegroeiingen,5190,Watersnip,3
300,Vogels van pionierbegroeiingen,10201,Witte Kwikstaart,1
300,Vogels van pionierbegroeiingen,6260,Witwangstern,5
300,Vogels van pionierbegroeiingen,5410,Wulp,2
300,Vogels van pionierbegroeiingen,5920,Zilvermeeuw,2
300,Vogels van pionierbegroeiingen,5750,Zwartkopmeeuw,2
400,Vogels van open heide,2610,Blauwe Kiekendief,3
400,Vogels van open heide,5540,Bosruiter,5
400,Vogels van open heide,10171,Gele Kwikstaart,3
400,Vogels van open heide,4850,Goudplevier,5
400,Vogels van open heide,10110,Graspieper,1
400,Vogels van open heide,2630,Grauwe Kiekendief,4
400,Vogels van open heide,5320,Grutto,2
