table,records,field_count,fields
AVISTE2.DBF,10567,11,EURING;SOORT;AANTAL;XX;YY;ID;VAK;AFD;SDT_NO;DIG_OPP;SDT_OPP
BROEDVOG.DBF,88,3,EURING;AANTAL;SOV_NDX
ECOGROEP.DBF,55,3,GROEP;NAAM;HABITAT
ECOTOOP.DBF,90,2,ECOCODE;ECOTOOP
Eco_pop.DBF,750,3,GROEP;EURING;VEELEISEND
GEBIED.DBF,2,3,GEB_CODE;GEB_NAAM;GEB_GROOT
Gistest.DBF,10567,11,EURING;SOORT;AANTAL;XX;YY;ID;VAK;AFD;SDT_NO;DIG_OPP;SDT_OPP
HO9298.DBF,388,6,EURING;JAAR;AA_GEB;SUBDOELTYP;AANTAL;OPPERVLAKT
Hz.DBF,101,12,EURING;SOORT;AANTAL;XX;YY;ID;VAK;AFD;SDT_NO;DIG_OPP;SDT_OPP;JAAR
INDICAT.DBF,53311,3,LANDSCHAP;EURING;CODE
KARAKTER.DBF,12751,4,LANDSCHAP;EURING;DREMPEL;CODE
KARTERIN.DBF,2,3,GEB_CODE;SOV_NDX;JAAR
NEDERLND.DBF,1144,3,CHANGE;X;Y
NHLGRP.DBF,277,9,SDT_CODE0;SUBNHL;OMSCHRIJVI;ECOGROEP;GROEPNAAM;HABITAT;STATUS;ONDERGRENS;REFERENTIE
Normgrp.DBF,2107,9,SUBNHLVOLG;SUBNHLCODE;SUBNHLOMS;GROEPNR;GROEPNAAM;REFERENTIE;ONDERGRENS;REF_KLAS;ONDER_KLAS
OBR.DBF,370,88,EURING;VOGELNAAM;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68;_69;_70;_71;_72;_73;_74;_75;_76;_77;_78;_79;_80;_81;_82;_83;_84;_85;_86
OBRTOT.DBF,19730,4,EURING;VARIABELE;WAARDE;VARNR
PROJECT2.DBF,339,7,N1;OOSTERENG_;N3;N4;N5;WILDE_EEND;N7
REFERENT.DBF,146,5,LANDSCHAP;ECOCODE;LAND;DISTRICT;PERIODE
REFGEB.DBF,1423,10,REFERENTIE;TERREINTYP;PLOTNR;JAAR;PLOTNAAM;OPPERVLAK;ECOTOOP;KWALITEIT;X;Y
REF_POP.DBF,10937,9,LANDSCHAP;LAND;ECOCODE;DISTRICT;PERIODE;EURING;MEDIAAN;MAX_DICHT;PRESENTIE
RES_KOP.DBF,52,9,INDEX;GEB_CODE;JAAR;LANDSCHAP;ECOCODE;LAND;DISTRICT;PERIODE;GROEP
RES_ROMP.DBF,104,9,INDEX;SOM;SOM_D;TEL_G;SOM_G;TEL_K;SOM_K;TEL_G_K;SOM_D_K
TER_GRO.DBF,2131,2,TERCODE;GROEP
VARIABEL.DBF,610,5,VARNR;VARIABELE;WAARDE;OMSCHRIJVI;REKENWAARD
VARNAAM.DBF,86,3,VARIABELE;VAR_OMSCHR;VARNR
VOGELS.DBF,281,4,EURING;NEDERLANDS;SOORTGROEP;EURNUM
Voorbeeld_niet_geteld.DBF,1,7,EURING;SOORT;AANTAL;XX;YY;SDT_NO;SDT_OPP
hz9298.DBF,101,7,EURING;JAAR;AA_GEB;SUBDOELTYP;AANTAL;SDT_OPP;DIG_OPP
