plot_id,jaar,bron,klasse,area_m2,pct
3490,2022,CBS_NBBG2022,Bos,42865.5643241221,12.622573761690125
3490,2022,CBS_NBBG2022,Hoofdweg,1635.8690210461232,0.4817124819933513
3490,2022,CBS_NBBG2022,Open droog natuurlijk terrein,264572.4350916313,77.90834274342626
3490,2022,CBS_NBBG2022,Openbare voorziening,1294.0548824636282,0.3810588630552673
3490,2022,CBS_NBBG2022,Overig binnenwater,29226.561398428163,8.606312149834979
3496,2022,CBS_NBBG2022,Bos,527.2419547817799,0.248560656693353
3496,2022,CBS_NBBG2022,Open droog natuurlijk terrein,211590.78259334026,99.75143934330664
3497,2022,CBS_NBBG2022,Bos,48295.051614091106,10.394706625721852
3497,2022,CBS_NBBG2022,Hoofdweg,4949.776782234964,1.0653571286199828
3497,2022,CBS_NBBG2022,Open droog natuurlijk terrein,411367.1453036753,88.53993624565817
3498,2022,CBS_NBBG2022,Bos,59206.955900644505,18.56508551431343
3498,2022,CBS_NBBG2022,Hoofdweg,3232.72779225999,1.0136624488601866
3498,2022,CBS_NBBG2022,Open droog natuurlijk terrein,231463.1465904373,72.57818012252774
3498,2022,CBS_NBBG2022,Overig binnenwater,25012.78071665466,7.843071914298651
3499,2022,CBS_NBBG2022,Bos,6987.044749904092,4.484732466624772
3499,2022,CBS_NBBG2022,Hoofdweg,16209.621958586587,10.404372731459171
3499,2022,CBS_NBBG2022,Open droog natuurlijk terrein,100069.61200083514,64.23108108315029
3499,2022,CBS_NBBG2022,Overig binnenwater,29656.938388147755,19.035720996611975
3499,2022,CBS_NBBG2022,Stedelijk groen,2540.4205306952763,1.6306044745234567
3499,2022,CBS_NBBG2022,Verblijfsrecreatief terrein,36.50883720516924,0.02343370815465128
3499,2022,CBS_NBBG2022,Woonterrein,296.09783462476184,0.190054539475676
3500,2022,CBS_NBBG2022,Bos,6035.149652952262,2.075083463951341
3500,2022,CBS_NBBG2022,Hoofdweg,2866.4053052558893,0.9855646656598228
3500,2022,CBS_NBBG2022,Open droog natuurlijk terrein,238996.91046638935,82.17501890805003
3500,2022,CBS_NBBG2022,Overig binnenwater,42940.42167540502,14.764332962338807
3501,2022,CBS_NBBG2022,Bos,65550.17030877799,13.525802493311062
3501,2022,CBS_NBBG2022,Open droog natuurlijk terrein,417223.0250765679,86.09094692301235
3501,2022,CBS_NBBG2022,Overig binnenwater,130.17170273646653,0.026859987291225525
3501,2022,CBS_NBBG2022,Sportterrein,385.2897253543931,0.07950174199849058
3501,2022,CBS_NBBG2022,Stedelijk groen,1103.7840624820476,0.2277578403544962
3501,2022,CBS_NBBG2022,Verblijfsrecreatief terrein,238.10390095947486,0.049131014032369094
3502,2022,CBS_NBBG2022,Bos,533.8684773894674,0.08583621918788885
3502,2022,CBS_NBBG2022,Hoofdweg,7292.045509022107,1.1724266240650503
3502,2022,CBS_NBBG2022,Open droog natuurlijk terrein,533167.7962457867,85.72356256406289
3502,2022,CBS_NBBG2022,Overig binnenwater,80968.07051780273,13.018174592684181
3503,2022,CBS_NBBG2022,Bos,7144.584546817885,1.2384243732897668
3503,2022,CBS_NBBG2022,Hoofdweg,288.9488855403513,0.05008567540116303
