groep_100,groep_titel,soort_id,euring_code,soort_naam,analyse_jaren_n,analyse_jaren_van,analyse_jaren_tot,positieve_jaren,geldige_jaarparen,nul_aandeel,pre_1984_aanwezig,post_1984_aanwezig,t0_soortanalyse,t0_msi,ecologische_beoordeling_t0_msi,ecologische_toelichting_t0_msi,t0_msi_eindselectie
100,Watervogels,29,1730,Bergeend,68,1958,2025,55,50,0.191176,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,1,70,Dodaars,68,1958,2025,68,67,0.000000,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,2,90,Fuut,68,1958,2025,62,61,0.088235,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,4,120,Geoorde Fuut,68,1958,2025,56,50,0.176471,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,21,1610,Grauwe Gans,68,1958,2025,30,29,0.558824,FALSE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
100,Watervogels,137,8310,IJsvogel,68,1958,2025,14,11,0.794118,FALSE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
100,Watervogels,17,1520,Knobbelzwaan,68,1958,2025,50,48,0.264706,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,105,5820,Kokmeeuw,68,1958,2025,14,9,0.794118,TRUE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
100,Watervogels,34,1820,Krakeend,68,1958,2025,56,55,0.176471,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,41,1960,Krooneend,68,1958,2025,28,23,0.588235,FALSE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
100,Watervogels,44,2030,Kuifeend,68,1958,2025,68,67,0.000000,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,78,4290,Meerkoet,68,1958,2025,68,67,0.000000,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,27,1700,Nijlgans,68,1958,2025,49,47,0.279412,TRUE,TRUE,TRUE,TRUE,twijfelgeval,exoot en mogelijk sterk bepaald door recente uitbreiding,FALSE
100,Watervogels,151,9810,Oeverzwaluw,68,1958,2025,12,4,0.823529,TRUE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
100,Watervogels,40,1940,Slobeend,68,1958,2025,63,60,0.073529,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,42,1980,Tafeleend,68,1958,2025,67,66,0.014706,TRUE,TRUE,TRUE,TRUE,houden,past inhoudelijk bij watervogels,TRUE
100,Watervogels,116,6150,Visdief,68,1958,2025,8,1,0.882353,FALSE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
100,Watervogels,77,4240,Waterhoen,68,1958,2025,68,67,0.000000,TRUE,TRUE,TRUE,TRUE,houden,voldoende passend als watervogel,TRUE
100,Watervogels,36,1860,Wilde Eend,68,1958,2025,68,67,0.000000,TRUE,TRUE,TRUE,TRUE,twijfelgeval,zeer algemene soort; trend is niet sterk habitatspecifiek,FALSE
100,Watervogels,35,1840,Wintertaling,68,1958,2025,46,35,0.323529,TRUE,TRUE,TRUE,TRUE,houden,voldoende passend als watervogelindicator,TRUE
100,Watervogels,39,1910,Zomertaling,68,1958,2025,19,10,0.720588,TRUE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
200,Rietvogels,168,11060,Blauwborst,68,1958,2025,37,35,0.455882,FALSE,TRUE,TRUE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
200,Rietvogels,189,12530,Grote Karekiet,68,1958,2025,9,1,0.867647,TRUE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
200,Rietvogels,188,12510,Kleine Karekiet,68,1958,2025,62,61,0.088235,TRUE,TRUE,TRUE,TRUE,houden,kernsoort van riet/moerasvegetatie,TRUE
200,Rietvogels,73,4080,Porseleinhoen,68,1958,2025,4,1,0.941176,FALSE,TRUE,FALSE,FALSE,niet_technisch_geselecteerd,voldoet niet aan de technische T0-MSI-criteria,FALSE
200,Rietvogels,251,18770,Rietgors,68,1958,2025,68,67,0.000000,TRUE,TRUE,TRUE,TRUE,houden,kernsoort van riet/moerasvegetatie,TRUE
200,Rietvogels,186,12430,Rietzanger,68,1958,2025,65,63,0.044118,TRUE,TRUE,TRUE,TRUE,houden,kernsoort van riet/moerasvegetatie,TRUE
