plot_id,jaar,bron,status_code,opmerking
3490,2024,HANDMATIG,beperkt,nog controleren
3496,2024,HANDMATIG,beperkt,nog controleren
3497,2024,HANDMATIG,beperkt,nog controleren
3498,2024,HANDMATIG,beperkt,nog controleren
3499,2024,HANDMATIG,beperkt,nog controleren
3500,2024,HANDMATIG,beperkt,nog controleren
3501,2024,HANDMATIG,beperkt,nog controleren
3502,2024,HANDMATIG,beperkt,nog controleren
3503,2024,HANDMATIG,beperkt,nog controleren
3504,2024,HANDMATIG,beperkt,nog controleren
3505,2024,HANDMATIG,beperkt,nog controleren
3506,2024,HANDMATIG,beperkt,nog controleren
3507,2024,HANDMATIG,beperkt,nog controleren
3508,2024,HANDMATIG,beperkt,nog controleren
3509,2024,HANDMATIG,beperkt,nog controleren
3510,2024,HANDMATIG,beperkt,nog controleren
3511,2024,HANDMATIG,beperkt,nog controleren
3512,2024,HANDMATIG,beperkt,nog controleren
3513,2024,HANDMATIG,beperkt,nog controleren
3514,2024,HANDMATIG,beperkt,nog controleren
3515,2024,HANDMATIG,beperkt,nog controleren
3516,2024,HANDMATIG,beperkt,nog controleren
3517,2024,HANDMATIG,beperkt,nog controleren
3518,2024,HANDMATIG,beperkt,nog controleren
3519,2024,HANDMATIG,beperkt,nog controleren
3520,2024,HANDMATIG,beperkt,nog controleren
3521,2024,HANDMATIG,beperkt,nog controleren
3522,2024,HANDMATIG,beperkt,nog controleren
3523,2024,HANDMATIG,beperkt,nog controleren
3524,2024,HANDMATIG,beperkt,nog controleren
3525,2024,HANDMATIG,beperkt,nog controleren
3526,2024,HANDMATIG,beperkt,nog controleren
3527,2024,HANDMATIG,beperkt,nog controleren
3528,2024,HANDMATIG,beperkt,nog controleren
3529,2024,HANDMATIG,beperkt,nog controleren
3530,2024,HANDMATIG,beperkt,nog controleren
3531,2024,HANDMATIG,beperkt,nog controleren
3532,2024,HANDMATIG,beperkt,nog controleren
3533,2024,HANDMATIG,beperkt,nog controleren
3534,2024,HANDMATIG,beperkt,nog controleren
3581,2024,HANDMATIG,beperkt,nog controleren
3583,2024,HANDMATIG,beperkt,nog controleren
9917,2024,HANDMATIG,beperkt,nog controleren
10626,2024,HANDMATIG,beperkt,nog controleren
12381,2024,HANDMATIG,beperkt,nog controleren
12382,2024,HANDMATIG,beperkt,nog controleren
20247,2024,HANDMATIG,beperkt,nog controleren
20758,2024,HANDMATIG,beperkt,nog controleren
27371,2024,HANDMATIG,beperkt,nog controleren
29455,2024,HANDMATIG,beperkt,nog controleren
29456,2024,HANDMATIG,beperkt,nog controleren
29457,2024,HANDMATIG,beperkt,nog controleren
29459,2024,HANDMATIG,beperkt,nog controleren
100425,2024,HANDMATIG,beperkt,nog controleren
112100,2024,HANDMATIG,beperkt,nog controleren
