plot_id,plotnummer,plot_naam
3497,296,Meijendel k 83
3498,63,Meijendel k 7
3499,3400,Meijendel k 105 Hertenkamp
3501,74,Meijendel k 71
3502,65,Meijendel k 10-12-76
3503,289,Meijendel k 66 HGC
3506,61,Meijendel k 13s
3507,458,Meijendel k 45
3509,857,Meijendel k 63
3510,463,Meijendel k 85
3511,773,Meijendel k 13
3512,355,Meijendel k 14
3514,1056,Meijendel k 91 Voorlinden
3516,67,Meijendel k 64
3517,572,Meijendel k 84
3518,75,Meijendel k 65
3519,243,Meijendel k 12a
3520,459,Meijendel k 62
3521,66,Meijendel k 6
3522,1055,Meijendel k 61
3524,279,Meijendel k 15
3525,280,Meijendel k 16
3526,72,Meijendel k 72
3527,71,Meijendel k 73
3528,73,Meijendel k 74
3530,125,Meijendel k 8
3531,244,Meijendel k 75
3532,977,Meijendel k 77
3581,68,Meijendel k 4-5
3583,3660,Meijendel k 75a
9917,247,Meijendel k 51
12381,464,Meijendel k 54a
12382,3197,Meijendel k 54b
20247,69,Meijendel k 52
20758,5756,Meijendel k 78/79
27371,1497,Meijendel k 53
29455,1960,Meijendel k 55
29456,62,Meijendel k 16s
112100,85985,Meijendel k 84s
