plot_id,plotnummer,plot_naam,status_opmerking
3531,244,Meijendel k 75,beperkt
3502,65,Meijendel k 10-12-76,beperkt
3530,125,Meijendel k 8,beperkt
3498,63,Meijendel k 7,beperkt
3521,66,Meijendel k 6,beperkt
3581,68,Meijendel k 4-5,deels beperkt
3522,1055,Meijendel k 61,beperkt
3520,459,Meijendel k 62,deels beperkt
3509,857,Meijendel k 63,beperkt
3516,67,Meijendel k 64,beperkt
3518,75,Meijendel k 65,beperkt
3501,74,Meijendel k 71,beperkt
3526,72,Meijendel k 72,beperkt
3519,243,Meijendel k 12a,beperkt
3527,71,Meijendel k 73,beperkt
3528,73,Meijendel k 74,beperkt
