plot_id,jaar,habitat_id,aandeel_m2_nieuw,habitat_code,habitat_code_raw,aandeel_m2_bestaand,verschil_m2
3490,2014,1.0,1697.5758956565605,H2110,H2110,,1697.5758956565605
3490,2014,2.0,37978.911293267796,H2120,H2120,,37978.911293267796
3490,2014,3.0,52931.68670811912,H2130A,H2130A,,52931.68670811912
3490,2014,4.0,10477.213280185417,H2130B,H2130B,339634.03,-329156.8167198146
3490,2014,5.0,92704.8273772624,H2160,H2160,,92704.8273772624
3490,2014,6.0,47640.47322127947,H2180A,H2180Ao,,47640.47322127947
3490,2014,7.0,24940.42361987093,H2180C,H2180C,,24940.42361987093
3490,2014,13.0,2240.448488809811,H2180B,H2180B,,2240.448488809811
3490,2014,,67015.1838108045,H0000,H0000,,67015.1838108045
3496,2014,1.0,3769.162092041803,H2110,H2110,,3769.162092041803
3496,2014,2.0,24683.659859807805,H2120,H2120,,24683.659859807805
3496,2014,3.0,90978.69292838352,H2130A,H2130A,,90978.69292838352
3496,2014,4.0,9280.972764173344,H2130B,H2130B,,9280.972764173344
3496,2014,5.0,47203.1362492355,H2160,H2160,,47203.1362492355
3496,2014,7.0,2121.361993703726,H2180C,H2180C,,2121.361993703726
3496,2014,9.0,724.034137791991,H2190B,H2190B,,724.034137791991
3496,2014,,33287.53179670365,H0000,H0000,,33287.53179670365
3497,2014,3.0,87814.26398796812,H2130A,H2130A,139400.29,-51586.026012031885
3497,2014,4.0,86035.45557169785,H2130B,H2130B,139400.29,-53364.83442830216
3497,2014,5.0,126149.7215529608,H2160,H2160,185867.05,-59717.328447039195
3497,2014,5.0,751.7117437760458,H2160,ZGH2160,185867.05,-185115.33825622394
3497,2014,6.0,119702.29796894678,H2180A,H2180Ao,,119702.29796894678
3497,2014,7.0,1105.4431118015875,H2180C,H2180C,,1105.4431118015875
3497,2014,11.0,4362.070034959192,H2190D,H2190D,,4362.070034959192
3497,2014,13.0,11792.089276626872,H2180B,H2180B,,11792.089276626872
3497,2014,,17592.487643020708,H0000,H0000,,17592.487643020708
3498,2014,3.0,46738.20783855854,H2130A,H2130A,,46738.20783855854
3498,2014,4.0,15756.924582067124,H2130B,H2130B,,15756.924582067124
3498,2014,5.0,97963.85476800911,H2160,H2160,318954.53,-220990.67523199093
3498,2014,6.0,68068.84597208428,H2180A,H2180Ao,,68068.84597208428
3498,2014,7.0,1162.8704312799537,H2180C,H2180C,,1162.8704312799537
3498,2014,11.0,547.2994987306437,H2190D,H2190D,,547.2994987306437
3498,2014,,37491.58983639761,H0000,H0000,,37491.58983639761
3499,2014,3.0,10404.344400223112,H2130A,H2130A,,10404.344400223112
3499,2014,4.0,3893.29609779942,H2130B,H2130B,,3893.29609779942
3499,2014,5.0,459.83243033620727,H2160,H2160,,459.83243033620727
3499,2014,6.0,1267.8664253109416,H2180A,H2180Ao,,1267.8664253109416
3499,2014,7.0,173.84988950817865,H2180C,H2180C,,173.84988950817865
3499,2014,8.0,5671.015594001161,H2190A,H2190Ae,,5671.015594001161
3499,2014,11.0,7199.754097656795,H2190D,H2190D,,7199.754097656795
3499,2014,13.0,5076.9447496084085,H2180B,H2180B,,5076.9447496084085
3499,2014,,107999.37022095158,H0000,H0000,,107999.37022095158
3500,2014,3.0,70485.13623279148,H2130A,H2130A,290873.56,-220388.42376720853
3500,2014,4.0,28240.683338424395,H2130B,H2130B,,28240.683338424395
3500,2014,5.0,52554.309937004444,H2160,H2160,,52554.309937004444
3500,2014,5.0,351.1837149837106,H2160,ZGH2160,,351.1837149837106
3500,2014,6.0,88265.14518689098,H2180A,H2180Ao,,88265.14518689098
3500,2014,13.0,1318.824431854845,H2180B,H2180B,,1318.824431854845
3500,2014,,46475.60074860959,H0000,H0000,,46475.60074860959
3501,2014,3.0,57731.17427660804,H2130A,H2130A,,57731.17427660804
3501,2014,4.0,164843.1965352276,H2130B,H2130B,339283.77,-174440.57346477243
3501,2014,5.0,106679.20870887376,H2160,H2160,145407.33,-38728.12129112623
3501,2014,6.0,2474.551937149792,H2180A,H2180Abe,,2474.551937149792
3501,2014,6.0,85288.97756584536,H2180A,H2180Ao,,85288.97756584536
3501,2014,7.0,20241.43458431394,H2180C,H2180C,,20241.43458431394
3501,2014,11.0,179.95086657786942,H2190D,H2190D,,179.95086657786942
3501,2014,13.0,9188.21729530182,H2180B,H2180B,,9188.21729530182
3501,2014,,28697.72472145805,H0000,H0000,,28697.72472145805
3502,2014,2.0,488.5063579998954,H2120,H2120,,488.5063579998954
3502,2014,3.0,144531.19588162508,H2130A,H2130A,,144531.19588162508
3502,2014,4.0,93890.65591989964,H2130B,H2130B,,93890.65591989964
3502,2014,5.0,178542.23209923125,H2160,H2160,,178542.23209923125
3502,2014,6.0,51688.5875530606,H2180A,H2180Ao,,51688.5875530606
3502,2014,8.0,209.76905470376406,H2190A,H2190Ae,,209.76905470376406
3502,2014,11.0,4148.5416532723875,H2190D,H2190D,,4148.5416532723875
3502,2014,12.0,428.2972240382792,H6430A,H6430A,,428.2972240382792
3502,2014,13.0,1058.7618295156847,H2180B,H2180B,,1058.7618295156847
3502,2014,,144786.73120670015,H0000,H0000,,144786.73120670015
3503,2014,3.0,53.06543775573551,H2130A,H2130A,,53.06543775573551
3503,2014,4.0,45.35988766364975,H2130B,H2130B,,45.35988766364975
3503,2014,5.0,222.134042736848,H2160,H2160,,222.134042736848
3503,2014,6.0,203.65654216686724,H2180A,H2180Ao,,203.65654216686724
3503,2014,7.0,21.5262619195566,H2180C,H2180C,,21.5262619195566
3503,2014,,4.945334795705838,H0000,H0000,,4.945334795705838
3504,2014,2.0,1232.6233313192752,H2120,H2120,,1232.6233313192752
3504,2014,3.0,79283.4506315694,H2130A,H2130A,318640.38,-239356.9293684306
3504,2014,4.0,14985.11044963797,H2130B,H2130B,,14985.11044963797
3504,2014,5.0,41844.7967657024,H2160,H2160,,41844.7967657024
3504,2014,6.0,70678.19663479971,H2180A,H2180Ao,,70678.19663479971
3504,2014,7.0,585.5625008393308,H2180C,H2180C,,585.5625008393308
3504,2014,11.0,11125.772715606052,H2190D,H2190D,,11125.772715606052
3504,2014,13.0,1399.0645900495072,H2180B,H2180B,,1399.0645900495072
3504,2014,,97467.85588047118,H0000,H0000,,97467.85588047118
