plotid,jaar,naam,euring
43721,2025,Boomleeuwerik,9740
43721,2025,Boompieper,10090
43721,2025,Zanglijster,12000
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Groenling,16490
43721,2025,Vink,16360
43721,2025,Roodborsttapuit,11390
43721,2025,Grote Bonte Specht,8760
43721,2025,Grote Bonte Specht,8760
43721,2025,Boomleeuwerik,9740
43721,2025,Boompieper,10090
43721,2025,Boompieper,10090
43721,2025,Graspieper,10110
43721,2025,Graspieper,10110
43721,2025,Graspieper,10110
43721,2025,Graspieper,10110
43721,2025,Witte Kwikstaart,10201
43721,2025,Witte Kwikstaart,10201
43721,2025,Heggenmus,10840
43721,2025,Heggenmus,10840
43721,2025,Heggenmus,10840
43721,2025,Heggenmus,10840
43721,2025,Heggenmus,10840
43721,2025,Heggenmus,10840
43721,2025,Heggenmus,10840
43721,2025,Nachtegaal,11040
43721,2025,Nachtegaal,11040
43721,2025,Nachtegaal,11040
43721,2025,Nachtegaal,11040
43721,2025,Gekraagde Roodstaart,11220
43721,2025,Gekraagde Roodstaart,11220
43721,2025,Zanglijster,12000
43721,2025,Braamsluiper,12740
43721,2025,Braamsluiper,12740
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Zwartkop,12770
43721,2025,Tjiftjaf,13110
43721,2025,Fitis,13120
43721,2025,Fitis,13120
43721,2025,Fitis,13120
43721,2025,Fitis,13120
43721,2025,Kuifmees,14540
43721,2025,Zwarte Kraai,15671
43721,2025,Vink,16360
43721,2025,Appelvink,17170
43721,2025,Appelvink,17170
43721,2025,Fitis,13120
43721,2025,Grasmus,12750
43721,2025,Roodborsttapuit,11390
43721,2025,Nachtegaal,11040
43721,2025,Graspieper,10110
43721,2025,Blauwborst,11060
43721,2025,Braamsluiper,12740
43721,2025,Tjiftjaf,13110
43721,2025,Vink,16360
43721,2025,Kneu,16600
43721,2025,Kneu,16600
43721,2025,Merel,11870
43721,2025,Boerenzwaluw,9920
43721,2025,Roodborsttapuit,11390
43721,2025,Tjiftjaf,13110
43721,2025,Tjiftjaf,13110
43721,2025,Fitis,13120
43721,2025,Merel,11870
43721,2025,Kneu,16600
43721,2025,Merel,11870
43721,2025,Boomleeuwerik,9740
43721,2025,Pimpelmees,14620
43721,2025,Vink,16360
43721,2025,Vink,16360
43721,2025,Fitis,13120
43721,2025,Fitis,13120
43721,2025,Heggenmus,10840
43721,2025,Merel,11870
43721,2025,Tjiftjaf,13110
43721,2025,Putter,16530
43721,2025,Ransuil,7670
43721,2025,Zwarte Kraai,15671
43721,2025,Havik,2670
43721,2025,Zwarte Kraai,15671
43721,2025,Heggenmus,10840
43721,2025,Koolmees,14640
43721,2025,Sprinkhaanzanger,12360
43721,2025,Fitis,13120
43721,2025,Vink,16360
43721,2025,Vink,16360
43721,2025,Witte Kwikstaart,10201
43721,2025,Ekster,15490
43721,2025,Vink,16360
43721,2025,Pimpelmees,14620
43721,2025,Fazant,3940
43721,2025,Boompieper,10090
43721,2025,Roodborsttapuit,11390
43721,2025,Grasmus,12750
43721,2025,Kuifmees,14540
43721,2025,Roodborst,10990
43721,2025,Roodborst,10990
43721,2025,Vink,16360
43721,2025,Boompieper,10090
43721,2025,Heggenmus,10840
43721,2025,Nachtegaal,11040
43721,2025,Braamsluiper,12740
43721,2025,Tjiftjaf,13110
43721,2025,Witte Kwikstaart,10201
43721,2025,Houtduif,6700
43721,2025,Bosuil,7610
43721,2025,Grote Bonte Specht,8760
43721,2025,Boomleeuwerik,9740
43721,2025,Boompieper,10090
43721,2025,Boompieper,10090
43721,2025,Graspieper,10110
43721,2025,Witte Kwikstaart,10201
43721,2025,Winterkoning,10660
43721,2025,Heggenmus,10840
43721,2025,Roodborst,10990
43721,2025,Roodborst,10990
43721,2025,Roodborst,10990
43721,2025,Nachtegaal,11040
43721,2025,Nachtegaal,11040
43721,2025,Nachtegaal,11040
43721,2025,Nachtegaal,11040
43721,2025,Blauwborst,11060
43721,2025,Gekraagde Roodstaart,11220
43721,2025,Roodborsttapuit,11390
43721,2025,Gekraagde Roodstaart,11220
43721,2025,Roodborsttapuit,11390
43721,2025,Roodborsttapuit,11390
43721,2025,Roodborsttapuit,11390
43721,2025,Sprinkhaanzanger,12360
43721,2025,Merel,11870
43721,2025,Braamsluiper,12740
43721,2025,Grasmus,12750
43721,2025,Braamsluiper,12740
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Grasmus,12750
43721,2025,Tjiftjaf,13110
43721,2025,Fitis,13120
43721,2025,Fitis,13120
43721,2025,Fitis,13120
43721,2025,Koolmees,14640
43721,2025,Koolmees,14640
43721,2025,Kneu,16600
43721,2025,Vink,16360
43721,2025,Kneu,16600
43721,2025,Vink,16360
43721,2025,Kneu,16600
43721,2025,Kneu,16600
43721,2019,Merel,11870
43721,2019,Vink,16360
43721,2019,Kneu,16600
43721,2019,Vink,16360
43721,2019,Kneu,16600
43721,2019,Groenling,16490
43721,2019,Vink,16360
43721,2019,Vink,16360
43721,2019,Graspieper,10110
43721,2019,Graspieper,10110
43721,2019,Kneu,16600
43721,2019,Houtsnip,5290
43721,2019,Koolmees,14640
43721,2019,Grote Bonte Specht,8760
43721,2019,Koolmees,14640
43721,2019,Koolmees,14640
43721,2019,Gaai,15390
43721,2019,Fitis,13120
43721,2019,Fitis,13120
43721,2019,Fitis,13120
43721,2019,Fitis,13120
43721,2019,Fitis,13120
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Zwartkop,12770
43721,2019,Braamsluiper,12740
43721,2019,Braamsluiper,12740
43721,2019,Grasmus,12750
43721,2019,Merel,11870
43721,2019,Merel,11870
43721,2019,Merel,11870
43721,2019,Roodborst,10990
43721,2019,Grasmus,12750
43721,2019,Merel,11870
43721,2019,Gekraagde Roodstaart,11220
43721,2019,Gekraagde Roodstaart,11220
43721,2019,Roodborsttapuit,11390
43721,2019,Heggenmus,10840
43721,2019,Gekraagde Roodstaart,11220
43721,2019,Boompieper,10090
43721,2019,Vink,16360
43721,2019,Putter,16530
43721,2019,Appelvink,17170
43721,2019,Heggenmus,10840
43721,2019,Boompieper,10090
43721,2019,Vink,16360
43721,2019,Witte Kwikstaart,10201
43721,2019,Heggenmus,10840
43721,2019,Heggenmus,10840
43721,2019,Nachtegaal,11040
43721,2019,Nachtegaal,11040
43721,2019,Nachtegaal,11040
43721,2019,Nachtegaal,11040
43721,2019,Fazant,3940
43721,2019,Buizerd,2870
43721,2019,Houtduif,6700
43721,2019,Boomleeuwerik,9740
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Merel,11870
43721,2019,Merel,11870
43721,2019,Merel,11870
43721,2019,Zanglijster,12000
43721,2019,Zanglijster,12000
43721,2019,Zanglijster,12000
43721,2019,Grote Lijster,12020
43721,2019,Roodborsttapuit,11390
43721,2019,Graspieper,10110
43721,2019,Graspieper,10110
43721,2019,Vink,16360
43721,2019,Vink,16360
43721,2019,Vink,16360
43721,2019,Heggenmus,10840
43721,2019,Heggenmus,10840
43721,2019,Vink,16360
43721,2019,Heggenmus,10840
43721,2019,Heggenmus,10840
43721,2019,Gekraagde Roodstaart,11220
43721,2019,Roodborsttapuit,11390
43721,2019,Gekraagde Roodstaart,11220
43721,2019,Nachtegaal,11040
43721,2019,Nachtegaal,11040
43721,2019,Merel,11870
43721,2019,Grote Lijster,12020
43721,2019,Vuurgoudhaan,13150
43721,2019,Vuurgoudhaan,13150
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Boomkruiper,14870
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Grasmus,12750
43721,2019,Zwartkop,12770
43721,2019,Tjiftjaf,13110
43721,2019,Bosrietzanger,12500
43721,2019,Tuinfluiter,12760
43721,2019,Grasmus,12750
43721,2019,Zwartkop,12770
43721,2019,Tjiftjaf,13110
43721,2019,Tjiftjaf,13110
43721,2019,Fitis,13120
43721,2019,Fitis,13120
