datareeks_sleutel,naam,bronorganisatie,bronstatus,bron_schema,bron_object,bronselectie_omschrijving,korrel,soortgroep,jaar_van,jaar_tot,recordaantal_bij_beoordeling,classificatiebron,ruimtelijke_status,bezoekstructuur_status,nulwaarneming_status,methode_status,validatie_status,beveiligingsniveau,kwaliteitsmelding,regelversie,beoordeeld_op
vogels-territoria,Vogelterritoria,Vogelwerkgroep Meijendel en SOVON,primaire_bron,Meijendel,territoria,Gevalideerde territoria per plot soort en jaar,plot × jaar × soort,Vogels,1958,2025,,generiek,exact_of_eenduidig,volledig,betrouwbaar_afleidbaar,volledig,gevalideerd,intern,Veranderingen in telmethode en dekking moeten in iedere analyse worden verwerkt.,analyse-catalogus-v1,2026-09-26
vogels-bmp-bezoeken,BMP-bezoeken en dagwaarnemingen,Vogelwerkgroep Meijendel en SOVON,primaire_bron,Meijendel,dagbezoeken_bmp,Bezoeken gekoppeld aan dagwaarnemingen in dagwaarnemingen_bmp,bezoek × soort,Vogels,2009,2025,,generiek,exact_of_eenduidig,volledig,expliciet,volledig,gevalideerd,intern,Alleen afgesloten teljaren en de per bezoek gevolgde soorten worden gebruikt.,analyse-catalogus-v1,2026-09-26
vogels-winterbezoeken,Wintertelbezoeken en dagwaarnemingen,Vogelwerkgroep Meijendel,primaire_bron,Meijendel,dagbezoeken_wv,Bezoeken gekoppeld aan dagwaarnemingen in dagwaarnemingen_wv,bezoek × soort,Vogels,2000,2025,,generiek,exact_of_eenduidig,volledig,expliciet,volledig,gevalideerd,intern,Seizoenen en veranderingen in dekking worden expliciet gemodelleerd.,analyse-catalogus-v1,2026-09-26
provinciale-pq,Provinciale permanente kwadraten,Provincie Zuid-Holland,primaire_bron,Meijendel,pq_vegetatie_waarneming,Primaire provinciale vegetatieopnamen; overeenkomstige NDFF-regels tellen niet opnieuw mee,opname × taxon,Vaatplanten mossen en korstmossen,1981,2025,53122,generiek,exact_of_eenduidig,volledig,expliciet,volledig,gevalideerd,intern,Bedekkingsschalen en wijzigingen in opnamefrequentie blijven onderdeel van de analyse.,analyse-catalogus-v1,2026-09-26
sovon-vwg-zoogdieren,Zoogdieren tijdens bevestigde SOVON- en VWG-bezoeken,SOVON en Vogelwerkgroep Meijendel,primaire_bron,Meijendel,sovon_avimap_bezoek,Alleen bezoeken waarvoor systematische registratie van de betreffende zoogdiergroep is bevestigd,bezoek × doelsoort,Zoogdieren,2009,2026,19877,generiek,exact_of_eenduidig,volledig,gedeeltelijk_afleidbaar,volledig,gevalideerd,intern,De 807 regels uit 2026 behoren tot een nog niet afgerond jaar; bezoeken zonder zoogdierregistratie zijn niet automatisch een nul.,analyse-catalogus-v1,2026-09-26
vangblik-1953-1960,Historisch vangblikonderzoek,Piet den Boer via GBIF,primaire_bron,Meijendel,vangblik_event,Gestandaardiseerde events gekoppeld aan vangsten en geversioneerde vangbliklocaties,event × taxon,Geleedpotigen,1953,1960,60560,generiek,exact_of_eenduidig,volledig,gedeeltelijk_afleidbaar,volledig,bronvalidatie_overgenomen,openbaar,Lege events zijn niet voor ieder taxon een bewezen nul; verplaatsingen en de methodeproef blijven herkenbaar.,analyse-catalogus-v1,2026-09-26
ndff-canoniek,Canonieke NDFF-laag,NDFF,secundaire_bron,Meijendel,v_ndff_analysebesluit_actueel,Openbare en beveiligde waarnemingen worden zonder dubbeltelling gebruikt; detailbesluiten komen rechtstreeks uit NDFF-regelversie v4,protocol × soortgroep × leveringsscope,Niet-vogels,1950,2025,810983,ndff_v4,onzekerheidspolygoon,gereconstrueerd,gedeeltelijk_afleidbaar,alleen_protocol_bekend,gedeeltelijk_gevalideerd,beveiligd,Een NDFF-polygoon is een GPS-locatie met onzekerheidsbuffer en geen bewijs van aanwezigheid in ieder geraakt plot.,analyse-catalogus-v1,2026-09-26
stowa-limnodata-meijendel,STOWA Limnodata,STOWA en waterschappen,primaire_bron,Meijendel,v_externe_ecologie_analyse,Datasetselectie stowa-limnodata-meijendel; eenheden worden gescheiden geanalyseerd,event × taxon,Aquatische flora en fauna,1992,2010,1036,generiek,exact_of_eenduidig,volledig,ontbreekt,gedeeltelijk,bronvalidatie_overgenomen,openbaar,Niet gemelde soorten zijn geen nulwaarneming; aantallen per milliliter per vijf meter en Braun-Blanquetklassen mogen niet worden samengevoegd.,analyse-catalogus-v1,2026-09-26
endure-helmduinfauna-meijendel-2018,ENDURE helmduinfauna,Universiteit Gent en ENDURE,primaire_bron,Meijendel,v_externe_ecologie_analyse,Datasetselectie endure-helmduinfauna-meijendel-2018; veertien complete matrices en één meetpunt zonder resultaatmatrix,meetpunt × taxon,Ongewervelden,2018,2018,9072,generiek,exact_of_eenduidig,volledig,expliciet,volledig,bronvalidatie_overgenomen,openbaar,Eén meetjaar ondersteunt een gestandaardiseerde momentopname maar geen ontwikkeling door de tijd.,analyse-catalogus-v1,2026-09-26
lvd-meijendel-v1-6,Landelijke Vegetatie Databank,Wageningen Environmental Research,secundaire_bron,Meijendel,v_externe_ecologie_analyse,Datasetselectie lvd-meijendel-v1-6 met maximaal 50 meter locatie-onzekerheid; exacte en waarschijnlijke provinciale PQ-overlap wordt uitgesloten,opname × taxon,Vegetatie,1959,2015,81310,generiek,bruikbaar_met_beperking,gedeeltelijk,gedeeltelijk_afleidbaar,gedeeltelijk,bronvalidatie_overgenomen,openbaar,Trendgebruik vereist selectie van herhaalde vergelijkbare opnamen met gelijk oppervlak en opnametype.,analyse-catalogus-v1,2026-09-26
