datareeks_sleutel,analyse_type_code,protocolgeschiktheid,gegevensgeschiktheid,eindbesluit,voorwaarden,kwaliteitsmelding,regelversie,beoordeeld_op
vogels-territoria,V,primair,geschikt,toegelaten,Gebruik geversioneerde plotgrenzen en sluit niet-getelde plotjaren uit.,Geregistreerde territoria zijn ruimtelijk en methodisch herleidbaar.,analyse-catalogus-v1,2026-09-26
vogels-territoria,I,primair,geschikt,toegelaten,Gebruik alleen afgesloten tellingen met bekende dekking.,De territoriumuitkomst is de gevalideerde jaarsamenvatting.,analyse-catalogus-v1,2026-09-26
vogels-territoria,TV,primair,geschikt,toegelaten,Modelleer wijzigingen in plotdekking en methode.,Niet-getelde plotjaren zijn geen nul.,analyse-catalogus-v1,2026-09-26
vogels-territoria,TA,primair,geschikt,toegelaten,Gebruik een passend telmodel en bekende inspanningscorrecties.,Ruwe aantallen zijn niet zonder modelcorrectie onderling vergelijkbaar.,analyse-catalogus-v1,2026-09-26
vogels-territoria,TK,voorwaardelijk,onvoldoende,niet_toegelaten,Definieer eerst een externe en reproduceerbare kwaliteitsmaat.,Territoria bevatten geen zelfstandige habitatkwaliteitsmaat.,analyse-catalogus-v1,2026-09-26
vogels-bmp-bezoeken,V,primair,geschikt,toegelaten,Gebruik alleen bezoeken binnen de geldige plotgeometrie.,Locatie en bezoek zijn rechtstreeks gekoppeld.,analyse-catalogus-v1,2026-09-26
vogels-bmp-bezoeken,I,primair,geschikt,toegelaten,Beperk de soortenlijst tot de tijdens het bezoek gevolgde doelgroep.,Ontbrekende niet-doelsoorten zijn geen nul.,analyse-catalogus-v1,2026-09-26
vogels-bmp-bezoeken,TV,primair,geschikt,toegelaten,Gebruik complete plot-jaarreeksen en expliciete nullen.,Niet-getelde bezoeken en jaren blijven ontbrekend.,analyse-catalogus-v1,2026-09-26
vogels-bmp-bezoeken,TA,primair,geschikt,toegelaten,Modelleer telinspanning seizoen en waarnemerseffect waar nodig.,Bezoekaantallen zijn beschikbaar.,analyse-catalogus-v1,2026-09-26
vogels-bmp-bezoeken,TK,voorwaardelijk,onvoldoende,niet_toegelaten,Definieer eerst een externe en reproduceerbare kwaliteitsmaat.,Bezoekwaarnemingen bevatten geen zelfstandige habitatkwaliteitsmaat.,analyse-catalogus-v1,2026-09-26
vogels-winterbezoeken,V,primair,geschikt,toegelaten,Gebruik datum seizoen en plot gezamenlijk.,Locatie en bezoek zijn rechtstreeks gekoppeld.,analyse-catalogus-v1,2026-09-26
vogels-winterbezoeken,I,primair,geschikt,toegelaten,Gebruik de tijdens het bezoek gevolgde soortenlijst.,Ontbrekende niet-doelsoorten zijn geen nul.,analyse-catalogus-v1,2026-09-26
vogels-winterbezoeken,TV,primair,geschikt,toegelaten,Modelleer seizoenen dekking en ontbrekende tellingen.,Niet-getelde bezoeken en seizoenen blijven ontbrekend.,analyse-catalogus-v1,2026-09-26
vogels-winterbezoeken,TA,primair,geschikt,toegelaten,Modelleer telinspanning seizoen en weersinvloed waar nodig.,Ruwe bezoekaantallen zijn niet zonder correctie een populatietrend.,analyse-catalogus-v1,2026-09-26
vogels-winterbezoeken,TK,voorwaardelijk,onvoldoende,niet_toegelaten,Definieer eerst een externe en reproduceerbare kwaliteitsmaat.,Wintertellingen bevatten geen zelfstandige habitatkwaliteitsmaat.,analyse-catalogus-v1,2026-09-26
provinciale-pq,V,primair,geschikt,toegelaten,Gebruik de primaire provinciale opname en tel NDFF-overlap niet opnieuw.,Ligging en opname-ID zijn beschikbaar.,analyse-catalogus-v1,2026-09-26
provinciale-pq,I,primair,geschikt,toegelaten,Respecteer de per opname gebruikte soortenlijst en bedekkingsschaal.,Volledige vegetatieopnamen zijn beschikbaar.,analyse-catalogus-v1,2026-09-26
provinciale-pq,TV,primair,geschikt,toegelaten,Analyseer herhaalde opnamen per vast PQ en houd rekening met ongelijke meetfrequentie.,Ontbrekende opnamejaren zijn geen nul.,analyse-catalogus-v1,2026-09-26
provinciale-pq,TA,primair,geschikt,toegelaten,Behandel bedekking als ordinale of omgerekende maat volgens de vastgelegde schaal.,Bedekking is geen telling van individuen.,analyse-catalogus-v1,2026-09-26
provinciale-pq,TK,primair,geschikt,toegelaten,Definieer de kwaliteitsindicator vooraf en gebruik vergelijkbare opnamen.,Soortensamenstelling en bedekking ondersteunen vegetatiekwaliteit door de tijd.,analyse-catalogus-v1,2026-09-26
sovon-vwg-zoogdieren,V,primair,geschikt,toegelaten,Gebruik bevestigde bezoeken en de bijbehorende locaties.,Positieve waarnemingen zijn rechtstreeks herleidbaar.,analyse-catalogus-v1,2026-09-26
sovon-vwg-zoogdieren,I,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Beperk de inventarisatie tot soorten waarvoor deelname aan registratie is bevestigd.,Niet iedere teller registreerde alle zoogdieren.,analyse-catalogus-v1,2026-09-26
sovon-vwg-zoogdieren,TV,primair,voorwaardelijk,voorlopig_toegelaten,Gebruik alleen bevestigde bezoek-doelsoortcombinaties en modelleer detectie.,Bezoeken zonder zoogdierregistratie zijn niet automatisch een nul.,analyse-catalogus-v1,2026-09-26
sovon-vwg-zoogdieren,TA,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Gebruik alleen soorten die per bezoek systematisch en telbaar zijn geregistreerd.,Waarnemersdeelname verschilt en moet in het model worden verwerkt.,analyse-catalogus-v1,2026-09-26
sovon-vwg-zoogdieren,TK,niet_onderbouwd,onvoldoende,niet_toegelaten,Definieer eerst een zelfstandige kwaliteitsmaat.,Bijvangstregistratie bevat geen habitatkwaliteitsmaat.,analyse-catalogus-v1,2026-09-26
vangblik-1953-1960,V,primair,geschikt,toegelaten,Gebruik de geversioneerde vangbliklocatie per event.,Locatie datum en vangduur zijn beschikbaar.,analyse-catalogus-v1,2026-09-26
vangblik-1953-1960,I,primair,geschikt,toegelaten,Beperk complete inventarisaties tot de taxonomische groep met aantoonbaar volledige determinatie.,Niet ieder leeg event bewijst afwezigheid van ieder taxon.,analyse-catalogus-v1,2026-09-26
vangblik-1953-1960,TV,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Beperk de trend tot 1953-1960 en modelleer vangduur locatieverplaatsing en methodeproef.,De reeks onderbouwt geen extrapolatie naar latere decennia.,analyse-catalogus-v1,2026-09-26
vangblik-1953-1960,TA,primair,voorwaardelijk,voorlopig_toegelaten,Standaardiseer op vangduur en sluit of modelleer de methodeproef afzonderlijk.,Vangsten zijn inspanningsafhankelijke aantallen.,analyse-catalogus-v1,2026-09-26
vangblik-1953-1960,TK,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Definieer een vaste samenstellings- of diversiteitsmaat binnen dezelfde onderzoeksperiode.,Kwaliteitsverandering buiten 1953-1960 kan niet worden afgeleid.,analyse-catalogus-v1,2026-09-26
