protocol_sleutel,protocol_code,protocol_naam,levering_scope,hoofdtype,aanvullend_gebruik,aanvullende_typen,wetenschappelijk_gebruik,passende_analyse,benodigde_onderzoekscontext,begrenzing,bron_nummers,bron_urls
01.201,01.201,Monitoring van amfibieën in Nederland (NEM),beide,TV,TA bij telgerichte deelmethoden,TA,Verspreidingsverandering; aantalsindex voor soorten en deelmethoden met vergelijkbare tellingen.,Bezettingsmodel of telmodel per soort en deelprotocol.,"Soort, deelprotocol, water/traject, bezoek, inspanning, levensstadium en niet-detecties.",Algemene inventarisaties niet mengen met soortgerichte tellingen; telopzet bewijst nog geen voldoende lange reeks.,"69, 14","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/01-203-monitoring-van-amfibieen-in-nederland-2015-nem/"", ""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2025/meetprogrammas/""]"
02.202,02.202,"Korstmossen op steen, heiden en stuifzanden (NEM)",beide,TK,TV; abundantie-index afhankelijk van deelmeetnet,TV,"Verandering in voorkomen, bedekking of abundantie op vaste meetlocaties.",Herhaalde meetlocaties analyseren; de oorspronkelijke meetvariabele en schaal behouden.,"Locatie, substraat, oppervlakte, bezoekronde, waarnemer en gebruikte abundantieklasse.",Geen uniforme aantalstrend voor alle deelmeetnetten; indicatorwaarden zijn geen directe milieumetingen.,8,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/2-202-korstmossen-op-steen-heiden-en-stuifzanden-nem/""]"
02.204,02.204,Meetnet mossen (NEM),beide,I,TV bij aantoonbaar vergelijkbare herinventarisatie,TV,"Verspreiding, relatieve zeldzaamheid en abundantieklassen in geïnventariseerde kilometerhokken.",Analyse van geselecteerde hokken; trend pas na toetsing van herhaling en detectie.,"Steekproefselectie, volledige soortenlijst, hok, datum, tijdsbesteding, abundantieklasse.","Een codebrede, gevalideerde tijdreeks is hier niet vastgesteld; niet verwarren met meetnet Geel schorpioenmos.","67, 68, 9","[""https://www.verspreidingsatlas.nl/projecten/blwg/meetnetmossen.aspx"", ""https://www.gbif.org/dataset/2d1a33c3-f278-40d2-a662-e0d3369658e2"", ""https://www.blwg.nl/onderzoek""]"
03.001,03.001,Gebiedsgerichte inventarisaties vlinders,beide,V,I met originele complete inventarisatie; TV conditioneel,"I,TV",Vondstlocaties en aangetoonde soortensamenstelling van onderzochte gebieden.,Verspreidingskaart; lijstvergelijking alleen met onderzoeksgrenzen en inspanning.,"Gebiedsbegrenzing, bezoekgegevens, doelsoorten en volledigheid van de lijst.",De NDFF-code wordt als losse waarnemingen behandeld; geen gebieds- of aantalstrend uit recordtotalen.,10,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/3-001-gebiedsgerichte-inventarisaties-dagvlinders/""]"
03.201,03.201,Landelijk Meetnet Vlinders (NEM),beide,TA,TV met passende detectieanalyse,TV,Relatieve aantalstrends van dagvlinders op routes en in een onderbouwde regionale of landelijke steekproef.,Seizoens-/route-index en telmodel met locatie- en jaareffecten.,"Vaste route en secties, tellingen inclusief nulbezoeken, seizoen, weer en wijzigingen.",Geen absolute dichtheid of lokale beheerwerking afleiden zonder aanvullende opzet.,11,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/3-201-landelijk-meetnet-vlinders-nem/""]"
04.004,04.004,Atlasproject Nederlandse Mollusken,beide,V,I bij complete bemonstering; TV bij vergelijkbare perioden,"I,TV","Verspreidingskaarten, historische referenties en opsporing van kennislacunes.",Inventarisatie of verspreidingsmodellering met expliciete verzamel- en zoekbias.,"Monster-/bezoekidentiteit, verzamelwijze, taxonomie, datum en ruimtelijke precisie.",Geen homogene herhaalde telling onder de gehele atlascode; recordaantal is geen populatieomvang.,12,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/4-004-atlasproject-nederlandse-mollusken/""]"
04.006,04.006,Slakken van de Habitatrichtlijn,beide,TV,TA-index bij passende gestandaardiseerde monstertellingen,TA,Verandering in bezetting van onderzochte locaties en sublocaties van doelsoorten.,Herhaalde bemonstering met detectiecorrectie; monsteraantallen apart analyseren.,"Soort, sublocatie, monsteromvang, zoekmethode, bezoeken en niet-detecties.",Bezetting niet gelijkstellen aan aantallen; eventuele telindex alleen voor de daarvoor geschikte deelmethode.,"13, 14","[""https://www.anemoon.org/projecten/natura2000/habslak-protocollen"", ""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2025/meetprogrammas/""]"
10.002,10.002,Environmental DNA-onderzoek,beide,I,"TV bij herhaalde, gevalideerde bemonstering",TV,Aantonen van soortspecifiek DNA in een onderzocht monster en onderbouwde inferentie over voorkomen.,"Detectieanalyse met veld-/labreplicaten, blanco's en gevalideerde soortassay.","Monsterlocatie, volume, datum, hydrologie, techniek, controles en detectielimiet.",DNA kan worden verplaatst; concentratie of reads niet zonder kalibratie omrekenen naar aantallen dieren.,"15, 16","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/10-002-environmental-dna-onderzoek/"", ""https://onlinelibrary.wiley.com/doi/abs/10.1002/edn3.70073""]"
102.002,102.002,Jaarrond Tuintelling,beide,I,TV / TA met vergelijkbare herhaalde tuinbezoeken,"TA,TV","Voorkomen, seizoenpatronen en telresultaten in deelnemende tuinen.","Herhaalde-tuinmodellen met telwijze, inspanning en waarnemer als covariaten.","Vaste tuin, telduur, volledige doelgroepen, telwijze en veranderingen in tuininrichting.",Weekmaxima en tijdtellingen gescheiden houden; deelnemende tuinen zijn geen aselecte landelijke steekproef.,17,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/102-002-jaarrond-tuintelling/""]"
102.006,102.006,ObsIdentify,beide,V,TV met aanvullende reconstructie en gevalideerd model,TV,"Controleerbaar voorkomensbewijs, verspreidingskaarten en gerichte signalering.","Validatie van determinatie, tijd en plaats; biasbewuste verspreidingsanalyse.","Foto/bewijs, taxonomische zekerheid, locatieprecisie en oorspronkelijke waarnemings-ID.","App-/herkomstlabel, geen telprotocol; groei in appgebruik niet interpreteren als populatiegroei.","18, 71","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/102-006-obsidentify/"", ""https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.12158""]"
