"chart_id","chart_title","jaar","dichtheid","territoria","oppervlakte_km2"
"100","Watervogels",1958,13.927,243,17.4483
"100","Watervogels",1959,25.275,441,17.4483
"100","Watervogels",1960,26.391,461,17.4683
"100","Watervogels",1961,28.828,503,17.4483
"100","Watervogels",1962,30.318,529,17.4483
"100","Watervogels",1963,23.952,416,17.3683
"100","Watervogels",1964,38.8,677,17.4483
"100","Watervogels",1965,44.929,798,17.7613
"100","Watervogels",1966,46.465,829,17.8413
"100","Watervogels",1967,47.091,851,18.0713
"100","Watervogels",1968,42.114,760,18.0463
"100","Watervogels",1969,34.799,628,18.0463
"100","Watervogels",1970,41.668,753,18.0713
"100","Watervogels",1971,40.418,730,18.0613
"100","Watervogels",1972,41.843,757,18.0913
"100","Watervogels",1973,53.686,975,18.1613
"100","Watervogels",1974,43.195,824,19.0763
"100","Watervogels",1975,46.486,884,19.0163
"100","Watervogels",1976,50.577,959,18.9613
"100","Watervogels",1977,46.95,890,18.9563
"100","Watervogels",1978,55.669,1055,18.9513
"100","Watervogels",1979,62.951,1193,18.9513
"100","Watervogels",1980,72.536,1379,19.0113
"100","Watervogels",1981,102.15,1942,19.0113
"100","Watervogels",1982,132.744,2515,18.9463
"100","Watervogels",1983,137.618,2624,19.0673
"100","Watervogels",1984,87.739,1643,18.72608657
"100","Watervogels",1985,33.91,635,18.72608657
"100","Watervogels",1986,35.138,658,18.72608657
"100","Watervogels",1987,36.473,683,18.72608657
"100","Watervogels",1988,33.002,618,18.72608657
"100","Watervogels",1989,35.138,658,18.72608657
"100","Watervogels",1990,41.493,777,18.72608657
"100","Watervogels",1991,37.968,711,18.72608657
"100","Watervogels",1992,49.129,920,18.72608657
"100","Watervogels",1993,50.998,955,18.72608657
"100","Watervogels",1994,51.906,972,18.72608657
"100","Watervogels",1995,44.377,831,18.72608657
"100","Watervogels",1996,47.527,890,18.72608657
"100","Watervogels",1997,38.556,722,18.72608657
"100","Watervogels",1998,36.26,679,18.72608657
"100","Watervogels",1999,38.502,721,18.72608657
"100","Watervogels",2000,36.687,687,18.72608657
"100","Watervogels",2001,41.066,769,18.72608657
"100","Watervogels",2002,37.274,698,18.72608657
"100","Watervogels",2003,33.696,631,18.72608657
"100","Watervogels",2004,31.186,584,18.72608657
"100","Watervogels",2005,26.167,490,18.72608657
"100","Watervogels",2006,30.546,572,18.72608657
"100","Watervogels",2007,34.658,649,18.72608657
"100","Watervogels",2008,31.774,595,18.72608657
