"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving"
100,1958,243,4.3072,56.417161961367,"1958-1983","Watervogels"
100,1959,441,5.0372,87.5486381322957,"1958-1983","Watervogels"
100,1960,461,5.022,91.7960971724413,"1958-1983","Watervogels"
100,1961,503,5.002,100.559776089564,"1958-1983","Watervogels"
100,1962,529,5.002,105.757696921232,"1958-1983","Watervogels"
100,1963,416,5.2472,79.2803781064187,"1958-1983","Watervogels"
100,1964,677,5.3272,127.083646193122,"1958-1983","Watervogels"
100,1965,798,5.315,150.141110065851,"1958-1983","Watervogels"
100,1966,829,5.395,153.660797034291,"1958-1983","Watervogels"
100,1967,851,5.735,148.387096774194,"1958-1983","Watervogels"
100,1968,760,5.6,135.714285714286,"1958-1983","Watervogels"
100,1969,628,5.6,112.142857142857,"1958-1983","Watervogels"
100,1970,753,5.625,133.866666666667,"1958-1983","Watervogels"
100,1971,730,5.615,130.008904719501,"1958-1983","Watervogels"
100,1972,757,5.645,134.100974313552,"1958-1983","Watervogels"
100,1973,814,5.715,142.432195975503,"1958-1983","Watervogels"
100,1974,726,5.855,123.99658411614,"1958-1983","Watervogels"
100,1975,769,5.505,139.69118982743,"1958-1983","Watervogels"
100,1976,831,6.49,128.043143297381,"1958-1983","Watervogels"
100,1977,747,6.175,120.971659919028,"1958-1983","Watervogels"
100,1978,766,6.38,120.062695924765,"1958-1983","Watervogels"
100,1979,829,6.37,130.141287284144,"1958-1983","Watervogels"
100,1980,705,6.38,110.501567398119,"1958-1983","Watervogels"
100,1981,754,6.38,118.181818181818,"1958-1983","Watervogels"
100,1982,643,6.035,106.545153272577,"1958-1983","Watervogels"
100,1983,673,6.38,105.485893416928,"1958-1983","Watervogels"
100,1984,363,3.02300608,120.07914982427,"1984-2025","Watervogels"
100,1985,606,5.13012052,118.125879818512,"1984-2025","Watervogels"
100,1986,512,4.23796013,120.812840209518,"1984-2025","Watervogels"
100,1987,556,5.02247314,110.702433741637,"1984-2025","Watervogels"
