"jaar","groep_100","soort_id","soort_naam","territoria","surveyed_km2","density_per_km2","periode","index_raw","bridge_factor","index_spliced","log_index_spliced"
1958,100,1,"Dodaars",14,4.3072,3.25037147102526,"1958-1983",92.1473032968761,1.25657312541749,92.1473032968761,4.52338841941064
1959,100,1,"Dodaars",48,5.0372,9.52910347018185,"1958-1983",270.14794937798,1.25657312541749,270.14794937798,5.59896976958194
1960,100,1,"Dodaars",32,5.022,6.37196336121067,"1958-1983",180.643734316575,1.25657312541749,180.643734316575,5.19652677288793
1961,100,1,"Dodaars",26,5.002,5.19792083166733,"1958-1983",147.359891525789,1.25657312541749,147.359891525789,4.99287783638966
1962,100,1,"Dodaars",23,5.002,4.59816073570572,"1958-1983",130.356827118967,1.25657312541749,130.356827118967,4.87027551429732
1963,100,1,"Dodaars",15,5.2472,2.85866747979875,"1958-1983",81.0425828660262,1.25657312541749,81.0425828660262,4.39497473092842
1964,100,1,"Dodaars",19,5.3272,3.56660159183061,"1958-1983",101.112356403334,1.25657312541749,101.112356403334,4.61623233817577
1965,100,1,"Dodaars",24,5.315,4.51552210724365,"1958-1983",128.014040508632,1.25657312541749,128.014040508632,4.85213994937764
1966,100,1,"Dodaars",17,5.395,3.15106580166821,"1958-1983",89.3320098096807,1.25657312541749,89.3320098096807,4.49235987616972
1967,100,1,"Dodaars",30,5.735,5.231037489102,"1958-1983",148.298741347729,1.25657312541749,148.298741347729,4.99922876190442
1968,100,1,"Dodaars",21,5.6,3.75,"1958-1983",106.311660203653,1.25657312541749,106.311660203653,4.66637497080592
1969,100,1,"Dodaars",12,5.6,2.14285714285714,"1958-1983",60.7495201163732,1.25657312541749,60.7495201163732,4.1067591828705
1970,100,1,"Dodaars",10,5.625,1.77777777777778,"1958-1983",50.3996018743244,1.25657312541749,50.3996018743244,3.91998327572716
1971,100,1,"Dodaars",15,5.615,2.67141585040071,"1958-1983",75.7340411067876,1.25657312541749,75.7340411067876,4.32722774373541
1972,100,1,"Dodaars",11,5.645,1.94862710363153,"1958-1983",55.2431420013078,1.25657312541749,55.2431420013078,4.01174420602035
1973,100,1,"Dodaars",14,5.715,2.44969378827647,"1958-1983",69.448270299266,1.25657312541749,69.448270299266,4.24058216319209
1974,100,1,"Dodaars",15,5.855,2.56191289496157,"1958-1983",72.6296568428031,1.25657312541749,72.6296568428031,4.28537333487613
1975,100,1,"Dodaars",11,5.505,1.99818346957312,"1958-1983",56.648053877817,1.25657312541749,56.648053877817,4.03685763344733
1976,100,1,"Dodaars",20,6.49,3.08166409861325,"1958-1983",87.364487070285,1.25657312541749,87.364487070285,4.47008887366159
1977,100,1,"Dodaars",19,6.175,3.07692307692308,"1958-1983",87.2300801671,1.25657312541749,87.2300801671,4.468549227476
1978,100,1,"Dodaars",22,6.38,3.44827586206897,"1958-1983",97.7578484631293,1.25657312541749,97.7578484631293,4.58249348682522
1979,100,1,"Dodaars",25,6.37,3.92464678178964,"1958-1983",111.262857355995,1.25657312541749,111.262857355995,4.71189548610773
1980,100,1,"Dodaars",21,6.38,3.29153605015674,"1958-1983",93.3143098966234,1.25657312541749,93.3143098966234,4.53597347119033
1981,100,1,"Dodaars",23,6.38,3.60501567398119,"1958-1983",102.201387029635,1.25657312541749,102.201387029635,4.62694524939605
1982,100,1,"Dodaars",12,6.035,1.9884009942005,"1958-1983",56.3707228917465,1.25657312541749,56.3707228917465,4.03194992606211
1983,100,1,"Dodaars",11,6.38,1.72413793103448,"1958-1983",48.8789242315647,1.25657312541749,48.8789242315647,3.88934630626527
