soort_id;soort_naam;kenmerk_type;code;csv_bronkolom
248;Appelvink;migratiegedrag;M-SHORT;migratiegedrag_code
248;Appelvink;voedselgroep;V-ZAD-B;meest_toepassend_code
248;Appelvink;voedselgroep;V-ZAD-O;overige_codes
168;Blauwborst;migratiegedrag;M-LONG;migratiegedrag_code
168;Blauwborst;voedselgroep;V-INS-B;meest_toepassend_code
168;Blauwborst;voedselgroep;V-INS-K;overige_codes
168;Blauwborst;voedselgroep;V-INS-L;overige_codes
168;Blauwborst;voedselgroep;V-INS-S;overige_codes
215;Boomklever;migratiegedrag;M-RES;migratiegedrag_code
215;Boomklever;voedselgroep;V-INS-B;overige_codes
215;Boomklever;voedselgroep;V-INS-K;meest_toepassend_code
215;Boomklever;voedselgroep;V-INS-L;overige_codes
215;Boomklever;voedselgroep;V-INS-S;overige_codes
217;Boomkruiper;migratiegedrag;M-RES;migratiegedrag_code
217;Boomkruiper;voedselgroep;V-INS-B;overige_codes
217;Boomkruiper;voedselgroep;V-INS-K;meest_toepassend_code
217;Boomkruiper;voedselgroep;V-INS-L;overige_codes
217;Boomkruiper;voedselgroep;V-INS-S;overige_codes
148;Boomleeuwerik;migratiegedrag;M-SHORT;migratiegedrag_code
148;Boomleeuwerik;voedselgroep;V-INS-B;meest_toepassend_code
148;Boomleeuwerik;voedselgroep;V-INS-K;overige_codes
148;Boomleeuwerik;voedselgroep;V-INS-L;overige_codes
148;Boomleeuwerik;voedselgroep;V-INS-S;overige_codes
155;Boompieper;voedselgroep;V-INS-K;overige_codes
155;Boompieper;voedselgroep;V-INS-L;overige_codes
155;Boompieper;voedselgroep;V-INS-S;overige_codes
66;Boomvalk;migratiegedrag;M-LONG;migratiegedrag_code
66;Boomvalk;voedselgroep;V-INS-B;overige_codes
66;Boomvalk;voedselgroep;V-INS-K;overige_codes
66;Boomvalk;voedselgroep;V-INS-L;meest_toepassend_code
66;Boomvalk;voedselgroep;V-INS-S;overige_codes
192;Braamsluiper;voedselgroep;V-INS-B;overige_codes
192;Braamsluiper;voedselgroep;V-INS-K;overige_codes
192;Braamsluiper;voedselgroep;V-INS-L;overige_codes
200;Fitis;voedselgroep;V-INS-B;overige_codes
200;Fitis;voedselgroep;V-INS-L;overige_codes
200;Fitis;voedselgroep;V-INS-S;overige_codes
197;Fluiter;migratiegedrag;M-LONG;migratiegedrag_code
197;Fluiter;voedselgroep;V-INS-B;overige_codes
197;Fluiter;voedselgroep;V-INS-K;meest_toepassend_code
197;Fluiter;voedselgroep;V-INS-L;overige_codes
197;Fluiter;voedselgroep;V-INS-S;overige_codes
170;Gekraagde Roodstaart;migratiegedrag;M-LONG;migratiegedrag_code
170;Gekraagde Roodstaart;voedselgroep;V-INS-B;overige_codes
170;Gekraagde Roodstaart;voedselgroep;V-INS-K;overige_codes
170;Gekraagde Roodstaart;voedselgroep;V-INS-L;meest_toepassend_code
170;Gekraagde Roodstaart;voedselgroep;V-INS-S;overige_codes
208;Glanskop;migratiegedrag;M-RES;migratiegedrag_code
208;Glanskop;voedselgroep;V-INS-B;overige_codes
208;Glanskop;voedselgroep;V-INS-K;meest_toepassend_code
208;Glanskop;voedselgroep;V-INS-L;overige_codes
208;Glanskop;voedselgroep;V-INS-S;overige_codes
201;Goudhaan;migratiegedrag;M-RES;migratiegedrag_code
201;Goudhaan;voedselgroep;V-INS-B;overige_codes
201;Goudhaan;voedselgroep;V-INS-K;meest_toepassend_code
201;Goudhaan;voedselgroep;V-INS-L;overige_codes
201;Goudhaan;voedselgroep;V-INS-S;overige_codes
246;Goudvink;migratiegedrag;M-RES;migratiegedrag_code
246;Goudvink;voedselgroep;V-ZAD-B;meest_toepassend_code
246;Goudvink;voedselgroep;V-ZAD-O;overige_codes
193;Grasmus;voedselgroep;V-INS-B;overige_codes
193;Grasmus;voedselgroep;V-INS-K;overige_codes
193;Grasmus;voedselgroep;V-INS-L;overige_codes
156;Graspieper;voedselgroep;V-INS-K;overige_codes
156;Graspieper;voedselgroep;V-INS-L;overige_codes
156;Graspieper;voedselgroep;V-INS-S;overige_codes
203;Grauwe Vliegenvanger;migratiegedrag;M-LONG;migratiegedrag_code
203;Grauwe Vliegenvanger;voedselgroep;V-INS-B;overige_codes
203;Grauwe Vliegenvanger;voedselgroep;V-INS-K;overige_codes
203;Grauwe Vliegenvanger;voedselgroep;V-INS-L;meest_toepassend_code
203;Grauwe Vliegenvanger;voedselgroep;V-INS-S;overige_codes
142;Groene Specht;migratiegedrag;M-RES;migratiegedrag_code
142;Groene Specht;voedselgroep;V-INS-B;meest_toepassend_code
142;Groene Specht;voedselgroep;V-INS-K;overige_codes
142;Groene Specht;voedselgroep;V-INS-L;overige_codes
142;Groene Specht;voedselgroep;V-INS-S;overige_codes
236;Groenling;migratiegedrag;M-SHORT;migratiegedrag_code
236;Groenling;voedselgroep;V-ZAD-O;meest_toepassend_code
144;Grote Bonte Specht;migratiegedrag;M-RES;migratiegedrag_code
144;Grote Bonte Specht;voedselgroep;V-INS-B;overige_codes
144;Grote Bonte Specht;voedselgroep;V-INS-K;meest_toepassend_code
144;Grote Bonte Specht;voedselgroep;V-INS-L;overige_codes
144;Grote Bonte Specht;voedselgroep;V-INS-S;overige_codes
179;Grote Lijster;migratiegedrag;M-SHORT;migratiegedrag_code
179;Grote Lijster;voedselgroep;V-INS-B;meest_toepassend_code
179;Grote Lijster;voedselgroep;V-INS-K;overige_codes
179;Grote Lijster;voedselgroep;V-INS-L;overige_codes
179;Grote Lijster;voedselgroep;V-INS-S;overige_codes
165;Heggenmus;migratiegedrag;M-RES;migratiegedrag_code
165;Heggenmus;voedselgroep;V-INS-B;overige_codes
165;Heggenmus;voedselgroep;V-INS-K;overige_codes
165;Heggenmus;voedselgroep;V-INS-L;overige_codes
165;Heggenmus;voedselgroep;V-INS-S;meest_toepassend_code
122;Holenduif;migratiegedrag;M-SHORT;migratiegedrag_code
122;Holenduif;voedselgroep;V-ZAD-B;overige_codes
122;Holenduif;voedselgroep;V-ZAD-O;meest_toepassend_code
123;Houtduif;migratiegedrag;M-SHORT;migratiegedrag_code
