soort_id;soort_naam;kenmerk_type;code;mysql_periodes
192;Braamsluiper;voedselgroep;V-OMN;niet_broedperiode
193;Grasmus;voedselgroep;V-OMN;niet_broedperiode
156;Graspieper;voedselgroep;V-ZAD-O;niet_broedperiode
236;Groenling;migratiegedrag;M-RES;jaarrond
239;Kneu;migratiegedrag;M-PART;jaarrond
214;Koolmees;voedselgroep;V-OMN;niet_broedperiode
175;Merel;voedselgroep;V-OMN;broedperiode,niet_broedperiode
167;Nachtegaal;voedselgroep;V-OMN;niet_broedperiode
213;Pimpelmees;voedselgroep;V-OMN;niet_broedperiode
237;Putter;migratiegedrag;M-RES;jaarrond
232;Ringmus;voedselgroep;V-INS-B;broedperiode
166;Roodborst;migratiegedrag;M-MIX;jaarrond
166;Roodborst;voedselgroep;V-OMN;niet_broedperiode
229;Spreeuw;migratiegedrag;M-PART;jaarrond
229;Spreeuw;voedselgroep;V-OMN;niet_broedperiode
198;Tjiftjaf;migratiegedrag;M-SHORT;jaarrond
233;Vink;migratiegedrag;M-MIX;jaarrond
233;Vink;voedselgroep;V-ZAD-B;niet_broedperiode
177;Zanglijster;migratiegedrag;M-PART;jaarrond
177;Zanglijster;voedselgroep;V-OMN;niet_broedperiode
