jaar	plot_id	kavel_nummer	plot_naam	territoria
1990	3519	M12a	Meijendel k 12a	2
1991	3519	M12a	Meijendel k 12a	3
1992	3519	M12a	Meijendel k 12a	4
1993	3519	M12a	Meijendel k 12a	3
1994	3519	M12a	Meijendel k 12a	4
1995	3519	M12a	Meijendel k 12a	4
1996	3519	M12a	Meijendel k 12a	8
1997	3519	M12a	Meijendel k 12a	5
1998	3519	M12a	Meijendel k 12a	5
1999	3519	M12a	Meijendel k 12a	5
2000	3519	M12a	Meijendel k 12a	5
2001	3519	M12a	Meijendel k 12a	5
2002	3519	M12a	Meijendel k 12a	5
2003	3519	M12a	Meijendel k 12a	2
2004	3519	M12a	Meijendel k 12a	4
2005	3519	M12a	Meijendel k 12a	3
2006	3519	M12a	Meijendel k 12a	5
2007	3519	M12a	Meijendel k 12a	2
2008	3519	M12a	Meijendel k 12a	5
2009	3519	M12a	Meijendel k 12a	2
2010	3519	M12a	Meijendel k 12a	4
2011	3519	M12a	Meijendel k 12a	4
2012	3519	M12a	Meijendel k 12a	2
2013	3519	M12a	Meijendel k 12a	3
2014	3519	M12a	Meijendel k 12a	3
2015	3519	M12a	Meijendel k 12a	2
2016	3519	M12a	Meijendel k 12a	2
2017	3519	M12a	Meijendel k 12a	1
2018	3519	M12a	Meijendel k 12a	0
2019	3519	M12a	Meijendel k 12a	0
2020	3519	M12a	Meijendel k 12a	0
2021	3519	M12a	Meijendel k 12a	0
2022	3519	M12a	Meijendel k 12a	0
2023	3519	M12a	Meijendel k 12a	0
2024	3519	M12a	Meijendel k 12a	0
2025	3519	M12a	Meijendel k 12a	0
1990	3523	M2	Meijendel k 2	72
1991	3523	M2	Meijendel k 2	69
1992	3523	M2	Meijendel k 2	72
1993	3523	M2	Meijendel k 2	81
1994	3523	M2	Meijendel k 2	83
1996	3523	M2	Meijendel k 2	88
2000	3523	M2	Meijendel k 2	0
2001	3523	M2	Meijendel k 2	64
2007	3523	M2	Meijendel k 2	34
2008	3523	M2	Meijendel k 2	29
2009	3523	M2	Meijendel k 2	28
2010	3523	M2	Meijendel k 2	27
2011	3523	M2	Meijendel k 2	35
2012	3523	M2	Meijendel k 2	37
2013	3523	M2	Meijendel k 2	22
2014	3523	M2	Meijendel k 2	30
2015	3523	M2	Meijendel k 2	26
2016	3523	M2	Meijendel k 2	29
2017	3523	M2	Meijendel k 2	24
2018	3523	M2	Meijendel k 2	26
2019	3523	M2	Meijendel k 2	32
2020	3523	M2	Meijendel k 2	28
2021	3523	M2	Meijendel k 2	35
2022	3523	M2	Meijendel k 2	21
2023	3523	M2	Meijendel k 2	26
2024	3523	M2	Meijendel k 2	21
2025	3523	M2	Meijendel k 2	22
