jaar	kavel_nummer	territoria_trend	index_1990
1990	M12a	2.26548280304791	100
1991	M12a	2.74364362640915	121.106354138638
1992	M12a	3.2978171727635	145.567963187658
1993	M12a	3.89611728156667	171.977349654782
1994	M12a	4.47952966204319	197.729581350897
1995	M12a	4.97364270855058	219.540077808545
1996	M12a	5.31112510763125	234.436787623628
1997	M12a	5.45459428486592	240.76961774009
1998	M12a	5.40728956713125	238.68155431842
1999	M12a	5.20693264481529	229.837659231403
2000	M12a	4.90894310949044	216.684192123909
2001	M12a	4.5693694032738	201.695170544942
2002	M12a	4.23426763496243	186.903543441856
2003	M12a	3.93634598193721	173.753072706682
2004	M12a	3.69620067948392	163.152890611713
2005	M12a	3.52501927574105	155.596823379043
2006	M12a	3.42659805296783	151.252441570415
2007	M12a	3.3974969178909	149.967897055763
2008	M12a	3.42478021448539	151.172200904717
2009	M12a	3.48159404326358	153.680003157806
2010	M12a	3.52274385402957	155.496384668653
2011	M12a	3.48574627605205	153.863285625582
2012	M12a	3.30502246932734	145.886010031984
2013	M12a	2.94161799175208	129.845081489673
2014	M12a	2.41458698360774	106.581563115784
2015	M12a	1.80617369391847	79.725773750677
2016	M12a	1.22620782637941	54.1256735531034
2017	M12a	0.758964120199842	33.5012086244378
2018	M12a	0.433578072440544	19.1384402414012
2019	M12a	0.232709269842714	10.2719503996955
2020	M12a	0.119711202911445	5.2841364653216
2021	M12a	0.0601401489528649	2.65462835877431
2022	M12a	0.0299400580506977	1.32157516315804
2023	M12a	0.0149029418084567	0.657826304768537
2024	M12a	0.00744102587176171	0.32845210132475
2025	M12a	0.00372389253435335	0.164375228509496
1990	M2	79.5175920562104	100
1991	M2	75.9571700340788	95.5224725371277
1992	M2	72.5493053581475	91.2367986531369
1993	M2	69.2809236581464	87.1265362376319
1994	M2	66.1430615871171	83.1804131346949
1995	M2	63.1327284285312	79.3946682690079
1996	M2	60.251828390911	75.7716963415082
1997	M2	57.5030094353708	72.3148273840113
1998	M2	54.8906837470697	69.0296100871212
1999	M2	52.4183596840286	65.9204565034797
2000	M2	50.0880274548492	62.9898694862923
2001	M2	47.8998252702024	60.2380228469977
2002	M2	45.8500031752785	57.6602007048547
2003	M2	43.9311997203004	55.2471454231735
2004	M2	42.1357611049441	52.9892317100832
2005	M2	40.4565217655743	50.8774482720451
2006	M2	38.886780879575	48.9033682660892
2007	M2	37.4202797515696	47.0591208611014
2008	M2	36.0509278731717	45.3370467351269
2009	M2	34.7719416906917	43.7286150039751
2010	M2	33.5761747606948	42.2248384193526
2011	M2	32.4565515967126	40.8168189672661
2012	M2	31.4062545389734	39.4959828722838
2013	M2	30.4187493505211	38.2541127867885
2014	M2	29.4877409640466	37.0832921389294
2015	M2	28.6071349470641	35.9758566718694
2016	M2	27.7710508073556	34.9244111764909
2017	M2	26.9739004817165	33.921928197535
2018	M2	26.2105181700783	32.9619113108334
2019	M2	25.4763113108551	32.03858498739
2020	M2	24.7673977692782	31.1470671191481
2021	M2	24.0806985463882	30.2834856082736
2022	M2	23.4139641449296	29.4450115244667
2023	M2	22.7657220676799	28.6297930797338
2024	M2	22.1351403478806	27.8367840065296
2025	M2	21.521807070731	27.0654662876579
1990	Landelijk	NA	100
1991	Landelijk	NA	79
1992	Landelijk	NA	102
1993	Landelijk	NA	103
1994	Landelijk	NA	115
1995	Landelijk	NA	127
1996	Landelijk	NA	112
1997	Landelijk	NA	108
1998	Landelijk	NA	101
1999	Landelijk	NA	104
2000	Landelijk	NA	103
2001	Landelijk	NA	100
2002	Landelijk	NA	98
2003	Landelijk	NA	103
2004	Landelijk	NA	99
2005	Landelijk	NA	103
2006	Landelijk	NA	99
2007	Landelijk	NA	96
2008	Landelijk	NA	93
2009	Landelijk	NA	99
2010	Landelijk	NA	96
2011	Landelijk	NA	105
2012	Landelijk	NA	92
2013	Landelijk	NA	86
2014	Landelijk	NA	90
2015	Landelijk	NA	91
2016	Landelijk	NA	92
2017	Landelijk	NA	100
2018	Landelijk	NA	96
2019	Landelijk	NA	99
2020	Landelijk	NA	108
2021	Landelijk	NA	101
2022	Landelijk	NA	98
2023	Landelijk	NA	99
2024	Landelijk	NA	87
