jaar	reeks	territoria	geteld_oppervlak_km2	territoria_per_km2	index_1990
1990	Landelijk	NULL	NULL	NULL	100.00000000
1990	M10-12-76 + M14	33	0.40580915	81.3190	100.00000000
1990	M1a + M1b	89	0.72356250	123.0025	100.00000000
1991	Landelijk	NULL	NULL	NULL	79.00000000
1991	M10-12-76 + M14	23	0.40580915	56.6769	69.69699578
1991	M1a + M1b	72	0.72356250	99.5076	80.89884352
1992	Landelijk	NULL	NULL	NULL	102.00000000
1992	M10-12-76 + M14	56	1.02777093	54.4868	67.00377526
1992	M1a + M1b	107	0.72356250	147.8794	120.22471088
1993	Landelijk	NULL	NULL	NULL	103.00000000
1993	M10-12-76 + M14	57	1.02777093	55.4598	68.20029759
1993	M1a + M1b	88	0.72356250	121.6205	98.87644560
1994	Landelijk	NULL	NULL	NULL	115.00000000
1994	M10-12-76 + M14	64	1.02777093	62.2707	76.57583099
1994	M1a + M1b	88	0.72356250	121.6205	98.87644560
1995	Landelijk	NULL	NULL	NULL	127.00000000
1995	M10-12-76 + M14	61	1.02777093	59.3517	72.98626397
1995	M1a + M1b	86	0.72356250	118.8564	96.62925550
1996	Landelijk	NULL	NULL	NULL	112.00000000
1996	M10-12-76 + M14	63	1.02777093	61.2977	75.37930865
1996	M1a + M1b	96	0.72356250	132.6769	107.86520599
1997	Landelijk	NULL	NULL	NULL	108.00000000
1997	M10-12-76 + M14	55	1.02777093	53.5139	65.80737589
1997	M1a + M1b	81	0.72356250	111.9461	91.01123961
1998	Landelijk	NULL	NULL	NULL	101.00000000
1998	M10-12-76 + M14	43	1.02777093	41.8381	51.44935378
1998	M1a + M1b	63	0.72356250	87.0692	70.78652873
1999	Landelijk	NULL	NULL	NULL	104.00000000
1999	M10-12-76 + M14	43	1.02777093	41.8381	51.44935378
1999	M1a + M1b	65	0.72356250	89.8333	73.03371883
2000	Landelijk	NULL	NULL	NULL	103.00000000
2000	M10-12-76 + M14	43	1.02777093	41.8381	51.44935378
2000	M1a + M1b	31	0.29445564	105.2790	85.59094327
2001	Landelijk	NULL	NULL	NULL	100.00000000
2001	M10-12-76 + M14	41	1.02777093	39.8922	49.05643208
2001	M1a + M1b	82	0.72356250	113.3282	92.13487531
2002	Landelijk	NULL	NULL	NULL	98.00000000
2002	M10-12-76 + M14	35	1.02777093	34.0543	41.87742102
2002	M1a + M1b	72	0.72356250	99.5076	80.89884352
2003	Landelijk	NULL	NULL	NULL	103.00000000
2003	M10-12-76 + M14	34	1.02777093	33.0813	40.68089868
2003	M1a + M1b	61	0.72356250	84.3051	68.53933863
2004	Landelijk	NULL	NULL	NULL	99.00000000
2004	M10-12-76 + M14	34	1.02777093	33.0813	40.68089868
2004	M1a + M1b	55	0.72356250	76.0128	61.79776834
2005	Landelijk	NULL	NULL	NULL	103.00000000
2005	M10-12-76 + M14	29	1.02777093	28.2164	34.69840997
2005	M1a + M1b	63	0.72356250	87.0692	70.78652873
2006	Landelijk	NULL	NULL	NULL	99.00000000
2006	M10-12-76 + M14	28	1.02777093	27.2434	33.50188763
2006	M1a + M1b	59	0.72356250	81.5410	66.29214853
2007	Landelijk	NULL	NULL	NULL	96.00000000
2007	M10-12-76 + M14	30	1.02777093	29.1894	35.89493230
2007	M1a + M1b	54	0.72356250	74.6307	60.67413264
2008	Landelijk	NULL	NULL	NULL	93.00000000
2008	M10-12-76 + M14	20	1.02777093	19.4596	23.92995487
2008	M1a + M1b	24	0.29445564	81.5063	66.26393772
2009	Landelijk	NULL	NULL	NULL	99.00000000
2009	M10-12-76 + M14	22	1.02777093	21.4055	26.32287657
2009	M1a + M1b	43	0.72356250	59.4282	48.31462775
2010	Landelijk	NULL	NULL	NULL	96.00000000
2010	M10-12-76 + M14	23	1.02777093	22.3785	27.51939891
2010	M1a + M1b	40	0.72356250	55.2820	44.94380196
