jaar,totaal_geteld,open_droog_aantal,open_vochtig_aantal,som_open_droog_en_vochtig_aantal
1958,592,214,170,384
1959,1248,458,428,886
1960,1339,492,451,943
1961,1341,468,411,879
1962,1349,447,385,832
1963,1144,375,316,691
1964,1595,445,379,824
1965,1827,440,395,835
1966,1937,505,454,959
1967,1971,484,428,912
1968,1913,508,407,915
1969,1717,411,294,705
1970,1893,438,309,747
1971,1990,503,322,825
1972,2222,547,332,879
1973,2436,582,328,910
1974,2529,588,320,908
1975,2827,700,348,1048
1976,3159,871,348,1219
1977,2719,458,310,768
1978,5816,3459,326,3785
1979,6616,4214,300,4514
1980,7428,4694,321,5015
1981,8363,5233,341,5574
1982,8746,5715,306,6021
1983,10259,6800,319,7119
1984,4615,3258,116,3374
1985,6266,3499,238,3737
1986,3532,998,205,1203
1987,7535,4814,194,5008
1988,7701,4595,228,4823
1989,5957,2786,269,3055
1990,4329,951,261,1212
1991,3399,453,306,759
1992,3332,375,331,706
1993,3558,423,389,812
1994,3695,404,381,785
1995,3685,451,440,891
1996,3705,492,470,962
1997,3239,496,483,979
1998,2800,426,414,840
1999,2979,418,409,827
2000,2762,490,482,972
2001,3472,514,501,1015
2002,2902,443,436,879
2003,2987,469,462,931
2004,3146,522,517,1039
2005,2784,470,465,935
2006,2395,343,338,681
2007,3015,403,399,802
2008,2501,343,338,681
2009,2738,320,316,636
2010,3144,403,398,801
2011,3103,464,461,925
2012,3229,386,382,768
2013,3318,414,413,827
2014,3894,450,450,900
2015,3983,459,457,916
2016,3763,452,450,902
2017,3579,450,447,897
2018,3660,426,424,850
2019,3831,522,518,1040
2020,3893,571,569,1140
2021,3706,534,532,1066
2022,2881,523,522,1045
2023,3419,575,574,1149
2024,3504,553,549,1102
2025,3464,584,583,1167
