jaar,totaal_geteld_zonder_meeuwen,open_droog_aantal,open_vochtig_aantal,som_open_droog_en_vochtig_aantal
1958,580,202,170,372
1959,1244,454,428,882
1960,1316,469,451,920
1961,1312,439,411,850
1962,1316,414,385,799
1963,1106,337,316,653
1964,1548,398,379,777
1965,1794,407,395,802
1966,1899,467,454,921
1967,1933,446,428,874
1968,1836,431,407,838
1969,1615,309,294,603
1970,1779,324,309,633
1971,1828,341,322,663
1972,2032,357,332,689
1973,2209,355,328,683
1974,2279,338,320,658
1975,2497,370,348,718
1976,2670,382,348,730
1977,2611,350,310,660
1978,2722,365,326,691
1979,2738,336,300,636
1980,3086,357,321,678
1981,3510,380,341,721
1982,3382,351,306,657
1983,3815,356,319,675
1984,1489,132,116,248
1985,3032,265,238,503
1986,2765,231,205,436
1987,2942,221,194,415
1988,3356,250,228,478
1989,3460,289,269,558
1990,3657,279,261,540
1991,3271,325,306,631
1992,3305,348,331,679
1993,3536,401,389,790
1994,3682,391,381,772
1995,3678,444,440,884
1996,3695,482,470,952
1997,3235,492,483,975
1998,2793,419,414,833
1999,2973,412,409,821
2000,2758,486,482,968
2001,3466,508,501,1009
2002,2896,437,436,873
2003,2981,463,462,925
2004,3141,517,517,1034
2005,2779,465,465,930
2006,2390,338,338,676
2007,3011,399,399,798
2008,2497,339,338,677
2009,2736,318,316,634
2010,3141,400,398,798
2011,3102,463,461,924
2012,3227,384,382,766
2013,3318,414,413,827
2014,3894,450,450,900
2015,3983,459,457,916
2016,3763,452,450,902
2017,3579,450,447,897
2018,3660,426,424,850
2019,3831,522,518,1040
2020,3893,571,569,1140
2021,3706,534,532,1066
2022,2881,523,522,1045
2023,3419,575,574,1149
2024,3503,552,549,1101
2025,3464,584,583,1167
