jaar,totaal_geteld,open_droog_aantal,open_vochtig_aantal,open_droog_pct_van_totaal,open_vochtig_pct_van_totaal,som_beide_pct
1958,715,258,208,36.084,29.091,65.175
1959,1475,555,521,37.627,35.322,72.949
1960,1545,553,510,35.793,33.01,68.803
1961,1614,558,496,34.572,30.731,65.304
1962,1549,503,439,32.473,28.341,60.813
1963,1323,433,373,32.729,28.193,60.922
1964,1736,478,411,27.535,23.675,51.21
1965,1932,464,418,24.017,21.636,45.652
1966,2077,535,484,25.758,23.303,49.061
1967,2117,529,473,24.988,22.343,47.331
1968,2092,555,452,26.53,21.606,48.136
1969,1877,452,332,24.081,17.688,41.769
1970,2102,489,355,23.264,16.889,40.152
1971,2176,544,358,25.0,16.452,41.452
1972,2434,594,374,24.404,15.366,39.77
1973,5033,1029,729,20.445,14.484,34.929
1974,5660,1189,874,21.007,15.442,36.449
1975,5823,1262,851,21.673,14.614,36.287
1976,6158,1485,902,24.115,14.648,38.763
1977,5275,948,779,17.972,14.768,32.739
1978,9221,4253,786,46.123,8.524,54.647
1979,9598,4718,722,49.156,7.522,56.678
1980,11041,5243,764,47.487,6.92,54.406
1981,13408,6463,814,48.203,6.071,54.274
1982,13409,7067,789,52.703,5.884,58.588
1983,17199,8270,768,48.084,4.465,52.55
1984,8127,3593,329,44.211,4.048,48.259
1985,8690,3771,484,43.395,5.57,48.964
1986,6875,1456,532,21.178,7.738,28.916
1987,11582,5374,662,46.4,5.716,52.115
1988,10592,4892,514,46.186,4.853,51.039
1989,9211,3164,638,34.35,6.927,41.277
1990,8748,1364,662,15.592,7.567,23.16
1991,7167,758,601,10.576,8.386,18.962
1992,8087,774,716,9.571,8.854,18.425
1993,8832,900,852,10.19,9.647,19.837
1994,8574,857,813,9.995,9.482,19.477
1995,8356,964,945,11.537,11.309,22.846
1996,7816,1049,1017,13.421,13.012,26.433
1997,7840,1092,1065,13.929,13.584,27.513
1998,7493,1062,1042,14.173,13.906,28.08
1999,7915,1021,1002,12.9,12.66,25.559
2000,7366,1117,1101,15.164,14.947,30.111
2001,8259,1153,1130,13.961,13.682,27.643
2002,7557,1055,1039,13.961,13.749,27.709
2003,7445,990,978,13.298,13.136,26.434
2004,7812,1126,1118,14.414,14.311,28.725
2005,6802,1038,1028,15.26,15.113,30.373
2006,6403,870,862,13.587,13.462,27.05
2007,7429,967,960,13.017,12.922,25.939
2008,6047,759,748,12.552,12.37,24.921
2009,6519,799,788,12.256,12.088,24.344
2010,7224,849,840,11.752,11.628,23.38
2011,7493,1112,1100,14.841,14.68,29.521
2012,7249,925,918,12.76,12.664,25.424
2013,7249,1003,994,13.836,13.712,27.549
2014,8223,1049,1040,12.757,12.647,25.404
2015,8466,1101,1089,13.005,12.863,25.868
2016,9281,1190,1174,12.822,12.649,25.471
2017,9023,1152,1136,12.767,12.59,25.357
2018,8238,1028,1006,12.479,12.212,24.69
2019,7843,1084,1062,13.821,13.541,27.362
2020,8244,1240,1220,15.041,14.799,29.84
2021,8104,1222,1202,15.079,14.832,29.911
2022,7230,1215,1197,16.805,16.556,33.361
2023,8435,1345,1334,15.945,15.815,31.761
2024,8281,1296,1274,15.65,15.385,31.035
2025,8203,1393,1375,16.982,16.762,33.744
