jaar,totaal_geteld_zonder_meeuwen,open_droog_aantal,open_vochtig_aantal,open_droog_pct_van_totaal,open_vochtig_pct_van_totaal,som_beide_pct
1958,580,202,170,34.828,29.31,64.138
1959,1244,454,428,36.495,34.405,70.9
1960,1316,469,451,35.638,34.271,69.909
1961,1312,439,411,33.46,31.326,64.787
1962,1316,414,385,31.459,29.255,60.714
1963,1106,337,316,30.47,28.571,59.042
1964,1548,398,379,25.711,24.483,50.194
1965,1794,407,395,22.687,22.018,44.705
1966,1899,467,454,24.592,23.907,48.499
1967,1933,446,428,23.073,22.142,45.215
1968,1836,431,407,23.475,22.168,45.643
1969,1615,309,294,19.133,18.204,37.337
1970,1779,324,309,18.212,17.369,35.582
1971,1828,341,322,18.654,17.615,36.269
1972,2032,357,332,17.569,16.339,33.907
1973,2209,355,328,16.071,14.848,30.919
1974,2279,338,320,14.831,14.041,28.872
1975,2497,370,348,14.818,13.937,28.755
1976,2670,382,348,14.307,13.034,27.341
1977,2611,350,310,13.405,11.873,25.278
1978,2722,365,326,13.409,11.976,25.386
1979,2738,336,300,12.272,10.957,23.229
1980,3086,357,321,11.568,10.402,21.97
1981,3510,380,341,10.826,9.715,20.541
1982,3382,351,306,10.378,9.048,19.426
1983,3815,356,319,9.332,8.362,17.693
1984,1489,132,116,8.865,7.79,16.655
1985,3032,265,238,8.74,7.85,16.59
1986,2765,231,205,8.354,7.414,15.769
1987,2942,221,194,7.512,6.594,14.106
1988,3356,250,228,7.449,6.794,14.243
1989,3460,289,269,8.353,7.775,16.127
1990,3657,279,261,7.629,7.137,14.766
1991,3271,325,306,9.936,9.355,19.291
1992,3305,348,331,10.53,10.015,20.545
1993,3536,401,389,11.34,11.001,22.342
1994,3682,391,381,10.619,10.348,20.967
1995,3678,444,440,12.072,11.963,24.035
1996,3695,482,470,13.045,12.72,25.765
1997,3235,492,483,15.209,14.93,30.139
1998,2793,419,414,15.002,14.823,29.825
1999,2973,412,409,13.858,13.757,27.615
2000,2758,486,482,17.621,17.476,35.098
2001,3466,508,501,14.657,14.455,29.111
2002,2896,437,436,15.09,15.055,30.145
2003,2981,463,462,15.532,15.498,31.03
2004,3141,517,517,16.46,16.46,32.919
2005,2779,465,465,16.733,16.733,33.465
2006,2390,338,338,14.142,14.142,28.285
2007,3011,399,399,13.251,13.251,26.503
2008,2497,339,338,13.576,13.536,27.113
2009,2736,318,316,11.623,11.55,23.173
2010,3141,400,398,12.735,12.671,25.406
2011,3102,463,461,14.926,14.861,29.787
2012,3227,384,382,11.9,11.838,23.737
2013,3318,414,413,12.477,12.447,24.925
2014,3894,450,450,11.556,11.556,23.112
2015,3983,459,457,11.524,11.474,22.998
2016,3763,452,450,12.012,11.959,23.97
2017,3579,450,447,12.573,12.49,25.063
2018,3660,426,424,11.639,11.585,23.224
2019,3831,522,518,13.626,13.521,27.147
2020,3893,571,569,14.667,14.616,29.283
2021,3706,534,532,14.409,14.355,28.764
2022,2881,523,522,18.153,18.119,36.272
2023,3419,575,574,16.818,16.789,33.606
2024,3503,552,549,15.758,15.672,31.43
2025,3464,584,583,16.859,16.83,33.689
