kavel_nummer,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
1a,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.36,0.4,0.45,0.45,0.44,0.44,0.44,0.44,0.415,0.415,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.42910686,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291,0.4291
1b,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.29445564,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945,0.2945
2,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.35810495,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581,0.3581
3,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.31860243,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186,0.3186
6,0.26,0.26,0.27,0.26,0.26,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.28185771,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819,0.2819
7,0.26,0.26,0.26,0.26,0.26,0.22,0.25,0.27,0.26,0.28,0.27,0.28,0.28,0.28,0.28,0.32,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.31891561,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189,0.3189
8,0.43,0.43,0.38,0.38,0.38,0.33,0.38,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.48,0.48,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.46368324,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637,0.4637
12a,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.71,0.73,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.70955652,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096,0.7096
13,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.14552799,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455
13s,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.55621728,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562,0.5562
