kavel_nummer,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
1a,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32,0.36,0.4,0.45,0.45,0.44,0.44,0.44,0.44,0.415,0.415,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
1b,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.29,0.29,0.29
2,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
3,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315
6,0.26,0.26,0.27,0.26,0.26,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.275
7,0.26,0.26,0.26,0.26,0.26,0.22,0.25,0.27,0.26,0.28,0.27,0.28,0.28,0.28,0.28,0.32,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325
8,0.43,0.43,0.38,0.38,0.38,0.33,0.38,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.48,0.48,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
12a,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.71,0.73
13,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
13s,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535
