kavel_nummer,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
1a,,,,,,,,,,,,,,,,,,,,,,,,,,
1b,2,9,0,2,9,0,2,9,0,2,9,0,2,9,0,,,,,,,,,,,
2,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,,,,,,,,,,,
3,3,4,0,3,4,0,3,4,0,3,3,0,3,3,0,,,,,,,,,,,
4/5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12,,,,,,,,,,,,,,,,,,,,,,,,,,
12a,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
13s,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,1,0,4,1,0,4,1,0,41,1,0,0,4,1,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,
16s,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,
17b,1,2,0,2,0,1,1,0,7,0,1,0,12,0,1,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,4,4,6,3,3,3,4,5,2,0,4,0,2,0,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,2,1,3,5,2,1,5,3,0,2,0,1,0,2,,,,,,,,,,,
36,9,9,3,4,3,6,5,0,5,1,0,1,0,3,0,,,,,,,,,,,
41,1,3,0,1,0,2,0,4,0,2,0,1,0,43,7,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9,3,2,3,4,6,2,9,0,3,0,2,0,3,0,,,,,,,,,,,
51,3,9,5,1,0,2,0,6,0,4,0,4,0,4,0,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,3,0,5,0,1,0,0,6,0,4,0,6,0,4,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3,1,5,1,0,1,0,1,0,1,0,2,0,2,0,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,4,5,5,0,8,0,5,0,8,0,6,0,6,5,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,
74,12,0,0,5,0,5,0,5,0,5,0,5,0,5,0,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,1,0,3,0,2,0,2,0,0,1,0,1,0,1,,,,,,,,,,,
77,3,2,0,6,0,6,0,1,1,0,7,0,7,0,7,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
81/82,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,
MDEL,,,,,,,,,,,,,,,,,,,,,,,,,,
REST,0,4,0,9,0,9,0,1,0,0,9,0,2,0,2,,,,,,,,,,,
