maat,waarde,opmerking
Sandra_BgLow_gemiddelde_1997_2001,51.8,gemiddeld totaal aantal territoria in BgLow
Sandra_BgLow_gemiddelde_2018_2022,122.4,gemiddeld totaal aantal territoria in BgLow
Sandra_BgLow_netto_verandering,70.6,toename van de hele BG-groep
Boomleeuwerik_gemiddelde_1997_2001,11.0,gemiddeld aantal territoria
Boomleeuwerik_gemiddelde_2018_2022,85.4,gemiddeld aantal territoria
Boomleeuwerik_netto_verandering,74.4,toename van de soort binnen Sandra BgLow
Boomleeuwerik_aandeel_in_netto_BgLow_verandering_pct,105.4,"meer dan de volledige netto toename van BgLow; zonder boomleeuwerik zou de rest dalen"
EVG300_MSI_gemiddelde_1997_2001_met_boomleeuwerik,95.51,gemiddelde MSI
EVG300_MSI_gemiddelde_2018_2022_met_boomleeuwerik,106.55,gemiddelde MSI
EVG300_MSI_verandering_pct_met_boomleeuwerik,11.6,lichte en onzekere toename
EVG300_MSI_gemiddelde_1997_2001_zonder_boomleeuwerik,84.16,gemiddelde MSI
EVG300_MSI_gemiddelde_2018_2022_zonder_boomleeuwerik,61.98,gemiddelde MSI
EVG300_MSI_verandering_pct_zonder_boomleeuwerik,-26.4,"zonder boomleeuwerik verandert het beeld van lichte winst naar duidelijke achteruitgang"
