"plot_id","jaar","oppervlakte_km2","plot_naam","kavel_nummer","geteld","referentie_oppervlakte_km2","oppervlakte_factor","analyse_reeks"
3502,1997,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,1997,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,1997,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,1997,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,1997,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,1997,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,1997,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,1997,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,1997,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,1997,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,1997,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,1997,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,1997,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,1997,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,1997,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,1997,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,1997,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,1997,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,1997,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,1997,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,1997,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,1997,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,1997,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,1997,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,1997,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,1998,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,1998,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,1998,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,1998,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,1998,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,1998,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
