"soort_id","euring_code","soort_naam","engelse_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","n_positieve_jaren","n_actieve_plots","model_gelukt","model","model_overdispersion","model_serial_correlation","model_aic","model_fallback_reden","fout","waarschuwingen","modelpogingen","modelselectie_methode","analyse_categorie"
1,70,"Dodaars","little grebe",625,324,26,26,17,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
2,90,"Fuut","great crested grebe",625,322,26,26,15,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.5 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
4,120,"Geoorde Fuut","black-necked grebe",625,93,26,22,12,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 2 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 22, 23, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 22, 23, 25, 26 || model3_basis:fout:Found zero or less counts for year 22, 23, 25, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
5,720,"Aalscholver","Cormorant",625,77,26,24,9,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 5, 6 || model3_overdisp_serialcor:fout:Found zero or less counts for year 5, 6 || model3_basis:fout:Found zero or less counts for year 5, 6 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
7,950,"Roerdomp","bittern",625,53,26,17,11,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.7 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
8,980,"Woudaap","Little Bittern",625,4,26,4,3,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 7 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17 || model3_basis:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
11,1220,"Blauwe Reiger","Grey Heron",625,1,26,1,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
17,1520,"Knobbelzwaan","mute swan",625,211,26,26,17,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.6 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
21,1610,"Grauwe Gans","greylag goose",625,294,26,26,17,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
22,1619,"Soepgans","Domestic Goose",625,5,26,3,5,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 2 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 7, 8, 9, 11, 12 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 7, 8, 9, 11, 12 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 7, 8, 9, 11, 12 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
25,1661,"Grote Canadese Gans","canada goose",625,191,26,24,17,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.6 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
27,1700,"Nijlgans","Egyptian goose",625,192,26,26,19,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.7 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
29,1730,"Bergeend","Common Shelduck",625,40,26,14,13,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 1 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 26 || model3_basis:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
34,1820,"Krakeend","gadwall",625,294,26,26,18,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
35,1840,"Wintertaling","Teal",625,13,26,11,5,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 1 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 4, 5, 6, 8, 10, 13, 15, 16, 19, 20, 21, 22, 23, 24, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4, 5, 6, 8, 10, 13, 15, 16, 19, 20, 21, 22, 23, 24, 26 || model3_basis:fout:Found zero or less counts for year 4, 5, 6, 8, 10, 13, 15, 16, 19, 20, 21, 22, 23, 24, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
36,1860,"Wilde Eend","mallard",625,403,26,26,20,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
37,1869,"Soepeend","hybrid duck",625,54,26,19,15,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 12, 14, 18, 19, 20, 21, 23 || model3_overdisp_serialcor:fout:Found zero or less counts for year 12, 14, 18, 19, 20, 21, 23 || model3_basis:fout:Found zero or less counts for year 12, 14, 18, 19, 20, 21, 23 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
38,1890,"Pijlstaart","Pintail",625,1,26,1,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
