"id","euring_code","soort_naam","engelse_naam","n_jaren_eerste_venster","n_jaren_laatste_venster","som_territoria","in_sandra_selectie","selectie_reden"
5,720,"Aalscholver","Cormorant",4,5,11427,TRUE,"aanwezig_in_sandra_plots_1997_2022"
375,2470,"Aasgier","Egyptian Eagle",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
334,1320,"Abdims ooievaar","Abdim's Stork",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
572,20200,"Adeliepinguïn","Adelie Penguin",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
407,4120,"Afrikaans porseleinhoen","Striped Crake",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
603,32130,"Afrikaanse boomvalk","African Hobby",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
608,34130,"Afrikaanse lepelaar","African Spoonbill",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
536,14625,"Afrikaanse pimpelmees","African Blue Tit",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
416,4990,"Alaskastrandloper","Pond Bird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
479,7980,"Alpengierzwaluw","Alpine Swift",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
508,10940,"Alpenheggenmus","Alpine Accentor",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
545,15580,"Alpenkauw","Alpine Chough",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
546,15590,"Alpenkraai","Chough",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
395,3300,"Alpensneeuwhoen","Ptarmigan",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
330,1230,"Amerikaanse blauwe reiger","Great Blue Heron",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
429,5520,"Amerikaanse bosruiter","Pond Bird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
341,1471,"Amerikaanse flamingo","Red Flamingo",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
326,930,"Amerikaanse fregatvogel","Weather bird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
423,5310,"Amerikaanse houtsnip","American Woodcock",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
329,1150,"Amerikaanse kleine zilverreiger","Egret",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
411,4570,"Amerikaanse kluut","American Avocet",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
543,15560,"Amerikaanse notenkraker","Clark's Nutcracker",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
469,7430,"Amerikaanse oehoe","Great Horned Owl",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
319,850,"Amerikaanse slangehalsvogel","Anhinga",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
388,3050,"Amerikaanse torenvalk","Killy-killy",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
320,870,"Amerikaanse witte pelikaan","American White Pelican",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
389,3130,"Aplomado-valk","Aplomado Falcon",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
248,17170,"Appelvink","hawfinch",1,5,58,TRUE,"aanwezig_in_sandra_plots_1997_2022"
380,2880,"Arendbuizerd","Long Legged Buzzard",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
396,3350,"Auerhoen","Capercaillie",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
614,34700,"Aurora-astrilde","Red-winged Pytilia",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
529,13280,"Azuurvliegenvanger","Verditer Flycatcher",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
206,13640,"Baardmannetje","Bearded Tit",1,0,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
288,2010,"Baers witoogeend","Baer's Pochard",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
355,1900,"Bahamapijlstaart","Bahama Pintail",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
419,5060,"Bairds strandloper","Baird's Sandpiper",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
597,30160,"Bandvink","Cut-throat",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
402,3860,"Bankivahoen","Chicken",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
240,16630,"Barmsijs","Common Redpoll",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
174,11860,"Beflijster","Ring Ouzel",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
264,31436,"Behaarde Rode Bosmier","Red Wood Ant",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
29,1730,"Bergeend","Common Shelduck",5,4,43,TRUE,"aanwezig_in_sandra_plots_1997_2022"
196,13070,"Bergfluiter","Western Bonelli's Warbler",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
507,10860,"Bergheggenmus","Siberian Accentor",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
138,8400,"Bijeneter","European Bee-eater",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
525,13001,"Bladkoning","Yellow-browed Warbler",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
168,11060,"Blauwborst","bluethroat",5,5,338,TRUE,"aanwezig_in_sandra_plots_1997_2022"
540,15350,"Blauwe gaai","Blue Jay",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
58,2610,"Blauwe Kiekendief","Hen Harrier",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
11,1220,"Blauwe Reiger","Grey Heron",0,0,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
515,11660,"Blauwe rotslijster","Blue Rock Thrush",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
554,16140,"Blauwfazantje","Red-Cheeked Cordonbleu",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
528,13210,"Blauwgrijze muggenvanger","Blue-Gray Gnatcatcher",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
317,690,"Blauwvoetrotspelikaan","Blue-footed Booby",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
624,36430,"Blauwwangbijeneter","Blue-cheeked Bee-eater",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
511,11481,"Blonde tapuit","Black-eared Wheatear",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
152,9920,"Boerenzwaluw","Barn Swallow",0,1,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
92,5180,"Bokje","Jack Snipe",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
85,4700,"Bontbekplevier","Ringed Plover",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
227,15673,"Bonte Kraai","Hooded Crow",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
448,6230,"Bonte stern","Egg bird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
90,5120,"Bonte Strandloper","Dunlin",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
205,13490,"Bonte Vliegenvanger","Pied Flycatcher",0,0,2,TRUE,"aanwezig_in_sandra_plots_1997_2022"
282,31767,"Boomkikker","European Tree Frog",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
215,14790,"Boomklever","nuthatch",5,5,93,TRUE,"aanwezig_in_sandra_plots_1997_2022"
217,14870,"Boomkruiper","short-toed treecreeper",5,5,771,TRUE,"aanwezig_in_sandra_plots_1997_2022"
148,9740,"Boomleeuwerik","woodlark",5,5,1427,TRUE,"aanwezig_in_sandra_plots_1997_2022"
276,31661,"Boommarter","European Pine Marten",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
155,10090,"Boompieper","tree pipit",5,5,1154,TRUE,"aanwezig_in_sandra_plots_1997_2022"
66,3100,"Boomvalk","hobby",5,0,33,TRUE,"aanwezig_in_sandra_plots_1997_2022"
570,19040,"Bootstaarttroepiaal","Boat-tailed Grackle",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
