"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","n_jaren_index","trend_contract","trend_formaliteit","periode","eerste_jaar","laatste_jaar","n_kalenderjaren","n_modeltijdpunten","trend_pct_per_jaar","trend_se_pct","trend_ci95_laag_pct","trend_ci95_hoog_pct","trend_p","trend_methode","trend_status","trendklasse","trendduiding_type","model","model_fallback_reden"
1,70,"Dodaars","little grebe","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",26,"trim-trend-v2","formeel","1997-2022",1997,2022,26,26,-0.38883859721307,0.428166685209844,-1.26862296388456,0.498785430517312,0.373745351223465,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","stabiel","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
2,90,"Fuut","great crested grebe","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",26,"trim-trend-v2","formeel","1997-2022",1997,2022,26,26,-2.27936288902325,0.35699225249617,-3.01338800030222,-1.53978244538574,1.59173953258417e-06,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
4,120,"Geoorde Fuut","black-necked grebe","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",26,"trim-trend-v2","formeel","1997-2022",1997,2022,26,26,-10.2390163383199,2.36241843034977,-14.984748064322,-5.22836779912963,0.000404745063616114,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","sterke_afname_p_kleiner_dan_0_05","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
5,720,"Aalscholver","Cormorant","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",26,"trim-trend-v2","formeel","1997-2022",1997,2022,26,26,13.991054590376,13.4223064652224,-10.6019866548517,45.349544586175,0.277106452678494,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
7,950,"Roerdomp","bittern","trim_bruikbaar",2006,"index_100 = eerste analysejaar vanaf eerste positieve jaar",17,"trim-trend-v2","formeel","1997-2022",2006,2022,17,17,12.7748030875466,3.26630780996277,6.02337117408971,19.9561575018378,0.000853574309450549,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","sterke_toename_p_kleiner_dan_0_05","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
8,980,"Woudaap","Little Bittern","trim_bruikbaar",2006,"index_100 = eerste analysejaar vanaf eerste positieve jaar",17,"trim-trend-v2","formeel","1997-2022",2006,2022,17,17,-0.210554744512037,2.88418213417492,-6.17251591799737,6.13023978874965,0.942828272565355,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
17,1520,"Knobbelzwaan","mute swan","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",26,"trim-trend-v2","formeel","1997-2022",1997,2022,26,26,0.928433607395429,0.685027562807406,-0.475537271402127,2.352210011131,0.185971927959611,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","stabiel","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
21,1610,"Grauwe Gans","greylag goose","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",26,"trim-trend-v2","formeel","1997-2022",1997,2022,26,26,10.0456843750212,0.844867292206418,8.31570629922171,11.8032930156297,5.63396893992093e-12,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","sterke_toename_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
22,1619,"Soepgans","Domestic Goose","trim_bruikbaar",2011,"index_100 = eerste analysejaar vanaf eerste positieve jaar",12,"trim-trend-v2","formeel","1997-2022",2011,2022,12,12,-0.964752727401252,4.61679944021883,-10.7353974376837,9.87535843782819,0.839438688696139,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
25,1661,"Grote Canadese Gans","canada goose","trim_bruikbaar",1999,"index_100 = eerste analysejaar vanaf eerste positieve jaar",24,"trim-trend-v2","formeel","1997-2022",1999,2022,24,24,6.48757234955248,0.904705818193353,4.62775980454977,8.38044402445546,2.10641157094084e-07,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_toename_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
