"groep_100","groep_titel","soort_id","euring_code","soort_naam","engelse_naam","msi_variant"
100,"Watervogels",29,1730,"Bergeend","Common Shelduck","volledig"
100,"Watervogels",1,70,"Dodaars","little grebe","volledig"
100,"Watervogels",2,90,"Fuut","great crested grebe","volledig"
100,"Watervogels",4,120,"Geoorde Fuut","black-necked grebe","volledig"
100,"Watervogels",21,1610,"Grauwe Gans","greylag goose","volledig"
100,"Watervogels",137,8310,"IJsvogel","kingfisher","volledig"
100,"Watervogels",17,1520,"Knobbelzwaan","mute swan","volledig"
100,"Watervogels",34,1820,"Krakeend","gadwall","volledig"
100,"Watervogels",41,1960,"Krooneend","red-crested pochard","volledig"
100,"Watervogels",44,2030,"Kuifeend","tufted duck","volledig"
100,"Watervogels",78,4290,"Meerkoet","Eurasian coot","volledig"
100,"Watervogels",27,1700,"Nijlgans","Egyptian goose","volledig"
100,"Watervogels",40,1940,"Slobeend","shoveler","volledig"
100,"Watervogels",42,1980,"Tafeleend","pochard","volledig"
100,"Watervogels",116,6150,"Visdief","Common Tern","volledig"
100,"Watervogels",77,4240,"Waterhoen","moorhen","volledig"
100,"Watervogels",36,1860,"Wilde Eend","mallard","volledig"
100,"Watervogels",35,1840,"Wintertaling","Teal","volledig"
100,"Watervogels",39,1910,"Zomertaling","Garganey","volledig"
200,"Rietvogels",168,11060,"Blauwborst","bluethroat","volledig"
200,"Rietvogels",189,12530,"Grote Karekiet","Great Reed Warbler","volledig"
200,"Rietvogels",188,12510,"Kleine Karekiet","reed warbler","volledig"
200,"Rietvogels",251,18770,"Rietgors","reed bunting","volledig"
200,"Rietvogels",186,12430,"Rietzanger","sedge warbler","volledig"
200,"Rietvogels",7,950,"Roerdomp","bittern","volledig"
200,"Rietvogels",182,12360,"Sprinkhaanrietzanger","grasshopper warbler","volledig"
200,"Rietvogels",77,4240,"Waterhoen","moorhen","volledig"
200,"Rietvogels",72,4070,"Waterral","water rail","volledig"
200,"Rietvogels",8,980,"Woudaap","Little Bittern","volledig"
300,"Vogels van pionierbegroeiingen",29,1730,"Bergeend","Common Shelduck","volledig"
300,"Vogels van pionierbegroeiingen",148,9740,"Boomleeuwerik","woodlark","volledig"
300,"Vogels van pionierbegroeiingen",71,3940,"Gewone Fazant","pheasant","volledig"
300,"Vogels van pionierbegroeiingen",156,10110,"Graspieper","meadow pipit","volledig"
300,"Vogels van pionierbegroeiingen",122,6680,"Holenduif","stock dove","volledig"
300,"Vogels van pionierbegroeiingen",224,15600,"Kauw","jackdaw","volledig"
300,"Vogels van pionierbegroeiingen",88,4930,"Kievit","lapwing","volledig"
300,"Vogels van pionierbegroeiingen",84,4690,"Kleine Plevier","little ringed plover","volledig"
300,"Vogels van pionierbegroeiingen",70,3700,"Kwartel","Quail","volledig"
300,"Vogels van pionierbegroeiingen",80,4500,"Scholekster","oystercatcher","volledig"
300,"Vogels van pionierbegroeiingen",106,5900,"Stormmeeuw","common gull","volledig"
300,"Vogels van pionierbegroeiingen",173,11460,"Tapuit","Wheatear","volledig"
300,"Vogels van pionierbegroeiingen",150,9760,"Veldleeuwerik","Skylark","volledig"
300,"Vogels van pionierbegroeiingen",116,6150,"Visdief","Common Tern","volledig"
300,"Vogels van pionierbegroeiingen",162,10201,"Witte Kwikstaart","White Wagtail","volledig"
300,"Vogels van pionierbegroeiingen",97,5410,"Wulp","Curlew","volledig"
400,"Vogels van open heide",29,1730,"Bergeend","Common Shelduck","volledig"
400,"Vogels van open heide",156,10110,"Graspieper","meadow pipit","volledig"
400,"Vogels van open heide",88,4930,"Kievit","lapwing","volledig"
400,"Vogels van open heide",70,3700,"Kwartel","Quail","volledig"
400,"Vogels van open heide",80,4500,"Scholekster","oystercatcher","volledig"
400,"Vogels van open heide",98,5460,"Tureluur","Redshank","volledig"
400,"Vogels van open heide",150,9760,"Veldleeuwerik","Skylark","volledig"
400,"Vogels van open heide",97,5410,"Wulp","Curlew","volledig"
500,"Weidevogels",156,10110,"Graspieper","meadow pipit","volledig"
500,"Weidevogels",88,4930,"Kievit","lapwing","volledig"
500,"Weidevogels",34,1820,"Krakeend","gadwall","volledig"
500,"Weidevogels",70,3700,"Kwartel","Quail","volledig"
500,"Weidevogels",80,4500,"Scholekster","oystercatcher","volledig"
500,"Weidevogels",40,1940,"Slobeend","shoveler","volledig"
500,"Weidevogels",98,5460,"Tureluur","Redshank","volledig"
500,"Weidevogels",150,9760,"Veldleeuwerik","Skylark","volledig"
500,"Weidevogels",116,6150,"Visdief","Common Tern","volledig"
500,"Weidevogels",36,1860,"Wilde Eend","mallard","volledig"
500,"Weidevogels",35,1840,"Wintertaling","Teal","volledig"
500,"Weidevogels",97,5410,"Wulp","Curlew","volledig"
500,"Weidevogels",39,1910,"Zomertaling","Garganey","volledig"
600,"Struweelvogels",168,11060,"Blauwborst","bluethroat","volledig"
