onderdeel,groep_of_thema,sandra_maat,sandra_1997_2001,sandra_2018_2022,sandra_verandering_pct,evg_groep,evg_maat,evg_1997_2001,evg_2018_2022,evg_verandering_pct,evg_trendlabel,conclusie
Water,BgWater,gemiddeld aantal territoria,481.4,345.2,-28.3,100 Watervogels,gemiddelde MSI,92.97,91.96,-1.1,stabiel,"Richting verschilt in sterkte: Sandra ziet afname in aantallen, EVG-MSI vooral stabiliteit in gemiddelde soorttrend."
Riet,BgReed,gemiddeld aantal territoria,445.6,205.4,-53.9,200 Rietvogels,gemiddelde MSI,104.52,83.04,-20.5,lichte afname,"Achteruitgang wordt in beide analyses bevestigd, maar is in de MSI minder extreem."
Struweel,BgShrub,gemiddeld aantal territoria,2052.0,1234.8,-39.8,600 Struweelvogels,gemiddelde MSI,105.94,85.85,-19.0,lichte afname,"Achteruitgang wordt in beide analyses bevestigd; groepssom van Sandra laat sterkere daling zien."
Bos,Sandra BgForest,gemiddeld aantal territoria,1453.8,1536.6,5.7,800 Bosvogels,gemiddelde MSI,98.72,133.62,35.4,lichte toename,"Bossoorten laten in beide analyses een gunstig of stabiel beeld zien."
Bosrand,geen directe BG-tegenhanger,niet_eenduidig,,,,700 Bosrandvogels,gemiddelde MSI,99.73,118.46,18.8,stabiel,"EVG laat zien dat bosrandsoorten als aparte groep zinvol zijn; deze zitten in Sandra verspreid over meerdere BG-groepen."
Open terrein,Sandra BgLow,gemiddeld aantal territoria,51.8,122.4,136.3,300 Vogels van pionierbegroeiingen,gemiddelde MSI,95.51,106.55,11.6,onzeker,"Sandra suggereert sterke winst; EVG laat hooguit beperkte en onzekere toename zien."
Open terrein,Sandra BgLow,gemiddeld aantal territoria,51.8,122.4,136.3,400 Vogels van open heide,gemiddelde MSI,81.96,57.34,-30.0,lichte afname,"Open soorten vormen geen uniforme winnaarsgroep."
Open terrein,Sandra BgLow,gemiddeld aantal territoria,51.8,122.4,136.3,500 Weidevogels,gemiddelde MSI,95.38,67.70,-29.0,lichte afname,"Open soorten vormen geen uniforme winnaarsgroep."
Boomleeuwerik,rol in Sandra BgLow,toename in gemiddeld aantal territoria,11.0,85.4,676.4,nvt,nvt,nvt,nvt,nvt,nvt,nvt,"De netto stijging van BgLow wordt volledig gedragen door de boomleeuwerik."
Boomleeuwerik,rol in EVG300,niet_van_toepassing,nvt,nvt,nvt,300 Vogels van pionierbegroeiingen,gemiddelde MSI,95.51,106.55,11.6,onzeker,"Met boomleeuwerik lijkt EVG300 licht positief."
Boomleeuwerik,rol in EVG300 zonder boomleeuwerik,niet_van_toepassing,nvt,nvt,nvt,300 Vogels van pionierbegroeiingen zonder boomleeuwerik,gemiddelde MSI,84.16,61.98,-26.4,nvt,"Zonder boomleeuwerik draait het beeld van EVG300 om naar achteruitgang."
