"soort_id","euring_code","soort_naam","brugfactor","brugmethode"
1,70,"Dodaars",1.55626874169269,"1981_1983_naar_1984_1986"
2,90,"Fuut",37.3435966192995,"1981_1983_naar_1984_1986"
4,120,"Geoorde Fuut",16.3338270947903,"1981_1983_naar_1984_1986"
5,720,"Aalscholver",1,"alleen_post"
7,950,"Roerdomp",1,"alleen_post"
8,980,"Woudaap",1,"alleen_post"
11,1220,"Blauwe Reiger",1,"alleen_post"
17,1520,"Knobbelzwaan",5.45468468095033,"1981_1983_naar_1984_1986"
21,1610,"Grauwe Gans",1,"alleen_post"
22,1619,"Soepgans",1,"alleen_post"
25,1661,"Grote Canadese Gans",1,"alleen_post"
27,1700,"Nijlgans",1.29065616291223,"1981_1983_naar_1984_1986"
28,1710,"Casarca",NA,"geen_model"
29,1730,"Bergeend",2.08192594837171,"1981_1983_naar_1984_1986"
30,1750,"Muskuseend",NA,"geen_model"
32,1780,"Mandarijneend",NA,"geen_model"
34,1820,"Krakeend",6.3457047221272,"1981_1983_naar_1984_1986"
35,1840,"Wintertaling",7.79346330849839,"1981_1983_naar_1984_1986"
36,1860,"Wilde Eend",0.447190917694645,"1981_1983_naar_1984_1986"
37,1869,"Soepeend",1,"alleen_post"
38,1890,"Pijlstaart",NA,"geen_model"
39,1910,"Zomertaling",0.00175017479649152,"1981_1983_naar_1984_1986"
40,1940,"Slobeend",0.767984044653252,"1981_1983_naar_1984_1986"
41,1960,"Krooneend",1,"alleen_post"
42,1980,"Tafeleend",7.1228433250456,"1981_1983_naar_1984_1986"
44,2030,"Kuifeend",20.8651036838429,"1981_1983_naar_1984_1986"
53,2310,"Wespendief",1,"alleen_post"
57,2600,"Bruine Kiekendief",NA,"geen_model"
60,2670,"Havik",1,"alleen_post"
61,2690,"Sperwer",1,"alleen_post"
62,2870,"Buizerd",1,"alleen_post"
64,3040,"Torenvalk",0.1368015632379,"1981_1983_naar_1984_1986"
66,3100,"Boomvalk",0.443638095426386,"1981_1983_naar_1984_1986"
67,3200,"Slechtvalk",1,"alleen_post"
69,3670,"Patrijs",1,"alleen_pre"
70,3700,"Kwartel",1,"alleen_post"
71,3940,"Gewone Fazant",1,"alleen_post"
72,4070,"Waterral",4.03949243094412,"1981_1983_naar_1984_1986"
73,4080,"Porseleinhoen",NA,"geen_model"
76,4210,"Kwartelkoning",NA,"geen_model"
77,4240,"Waterhoen",1.64685266240256,"1981_1983_naar_1984_1986"
78,4290,"Meerkoet",4.56701565369182,"1981_1983_naar_1984_1986"
80,4500,"Scholekster",0.771413935614812,"1981_1983_naar_1984_1986"
