"soort_id","euring_code","soort_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","pre_model_gelukt","post_model_gelukt","pre_model","post_model","pre_model_overdispersion","post_model_overdispersion","pre_model_serial_correlation","post_model_serial_correlation","pre_model_aic","post_model_aic","pre_model_fallback_reden","post_model_fallback_reden","pre_fout","post_fout","pre_waarschuwingen","post_waarschuwingen","pre_modelpogingen","post_modelpogingen","pre_positieve_jaren","post_positieve_jaren","pre_actieve_plots","post_actieve_plots","n_actieve_plots","modelselectie_methode","analyse_categorie"
1,70,"Dodaars",2153,825,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,20,29,31,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
2,90,"Fuut",2153,737,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,"Overdispersion 1.0 <1; consider setting overdisp=FALSE","Overdispersion 0.6 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",20,42,16,25,25,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
4,120,"Geoorde Fuut",2153,204,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 9 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 9 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 9 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 35, 36, 38, 40, 41 || model3_overdisp_serialcor:fout:Found zero or less counts for year 35, 36, 38, 40, 41 || model3_basis:fout:Found zero or less counts for year 35, 36, 38, 40, 41 || model2_basis:ok:aic=NA",19,37,11,17,18,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
17,1520,"Knobbelzwaan",2153,425,68,TRUE,TRUE,"model2_basis","model3_overdisp",FALSE,TRUE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","voorkeursmodel_gekozen",NA,NA,NA,"Overdispersion 0.7 <1; consider setting overdisp=FALSE","model3_overdisp:fout:Found zero or less counts for year 4 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4 || model3_basis:fout:Found zero or less counts for year 4 || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",8,42,8,26,27,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
27,1700,"Nijlgans",2153,450,68,TRUE,TRUE,"model2_basis","model3_overdisp",FALSE,TRUE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","voorkeursmodel_gekozen",NA,NA,NA,"Overdispersion 0.8 <1; consider setting overdisp=FALSE","model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5 || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",7,42,14,34,35,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
29,1730,"Bergeend",2153,432,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,"Data ends with 1 years without positive observations.","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 19, 21, 22, 23, 24, 25, 30, 31, 32, 33, 39, 40, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 19, 21, 22, 23, 24, 25, 30, 31, 32, 33, 39, 40, 42 || model3_basis:fout:Found zero or less counts for year 19, 21, 22, 23, 24, 25, 30, 31, 32, 33, 39, 40, 42 || model2_basis:ok:aic=NA",26,29,26,27,34,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
34,1820,"Krakeend",2153,822,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",14,42,26,30,34,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
35,1840,"Wintertaling",2153,206,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 11, 17, 18, 19, 21, 23, 26, 28, 29, 32, 33, 34, 35, 36, 37, 39, 41 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 11, 17, 18, 19, 21, 23, 26, 28, 29, 32, 33, 34, 35, 36, 37, 39, 41 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 11, 17, 18, 19, 21, 23, 26, 28, 29, 32, 33, 34, 35, 36, 37, 39, 41 || model2_basis:ok:aic=NA",26,20,20,9,22,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
36,1860,"Wilde Eend",2153,1327,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,40,38,48,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
39,1910,"Zomertaling",2153,38,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,"Data ends with 7 years without positive observations.","Data ends with 13 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38 || model3_basis:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38 || model2_basis:ok:aic=NA",13,6,9,4,10,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
