"soort_id","euring_code","soort_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","pre_model_gelukt","post_model_gelukt","pre_model","post_model","pre_model_overdispersion","post_model_overdispersion","pre_model_serial_correlation","post_model_serial_correlation","pre_model_aic","post_model_aic","pre_model_fallback_reden","post_model_fallback_reden","pre_fout","post_fout","pre_waarschuwingen","post_waarschuwingen","pre_modelpogingen","post_modelpogingen","pre_positieve_jaren","post_positieve_jaren","pre_actieve_plots","post_actieve_plots","n_actieve_plots","modelselectie_methode","analyse_categorie"
1,70,"Dodaars",2153,825,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,20,29,31,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
2,90,"Fuut",2153,737,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,"Overdispersion 1.0 <1; consider setting overdisp=FALSE","Overdispersion 0.6 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",20,42,16,25,25,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
4,120,"Geoorde Fuut",2153,204,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 9 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 9 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 9 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 35, 36, 38, 40, 41 || model3_overdisp_serialcor:fout:Found zero or less counts for year 35, 36, 38, 40, 41 || model3_basis:fout:Found zero or less counts for year 35, 36, 38, 40, 41 || model2_basis:ok:aic=NA",19,37,11,17,18,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
5,720,"Aalscholver",2153,118,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 7, 8, 9, 14, 15 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 7, 8, 9, 14, 15 || model3_basis:fout:Found zero or less counts for year 2, 7, 8, 9, 14, 15 || model2_basis:ok:aic=NA",0,32,0,13,13,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
7,950,"Roerdomp",2153,103,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 3, 4, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22 || model3_basis:fout:Found zero or less counts for year 3, 4, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22 || model2_basis:ok:aic=NA",1,25,2,14,15,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
8,980,"Woudaap",2153,7,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,"Data ends with 1 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35 || model2_basis:ok:aic=NA",0,7,0,6,6,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
11,1220,"Blauwe Reiger",2153,11,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,"Data ends with 15 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36 || model3_overdisp_serialcor:fout:Found zero or less counts for year 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36 || model3_basis:fout:Found zero or less counts for year 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36 || model2_basis:ok:aic=NA",1,10,1,3,4,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
17,1520,"Knobbelzwaan",2153,425,68,TRUE,TRUE,"model2_basis","model3_overdisp",FALSE,TRUE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","voorkeursmodel_gekozen",NA,NA,NA,"Overdispersion 0.7 <1; consider setting overdisp=FALSE","model3_overdisp:fout:Found zero or less counts for year 4 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4 || model3_basis:fout:Found zero or less counts for year 4 || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",8,42,8,26,27,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
21,1610,"Grauwe Gans",2153,464,68,FALSE,TRUE,NA,"model3_overdisp",FALSE,TRUE,FALSE,FALSE,NA,NA,"geen_model","voorkeursmodel_gekozen","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",0,30,0,32,32,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
22,1619,"Soepgans",2153,11,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,"Data ends with 5 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 4, 5, 6, 7, 9, 10, 11, 12, 16, 18, 19, 20, 21, 22 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4, 5, 6, 7, 9, 10, 11, 12, 16, 18, 19, 20, 21, 22 || model3_basis:fout:Found zero or less counts for year 4, 5, 6, 7, 9, 10, 11, 12, 16, 18, 19, 20, 21, 22 || model2_basis:ok:aic=NA",0,8,0,8,8,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
