"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg","trendduiding_type","brugfactor","brugmethode"
1,70,"Dodaars","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,1.78549670868806,4.34754620378021e-07,0.32275185797714,"lichte toename",-2.85804330805343,0.00597724862749944,0.274812848931351,"matige afname",1.55144870344779,0.0225080032005853,0.123458022722486,"lichte toename","eigen_trendduiding_op_basis_van_trim_index",1.55227905548743,"1981_1983_naar_1984_1986"
2,90,"Fuut","brugbare_tijdreeks",1964,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1964,2025,62,1.54721090404257,0.00394345407759323,0.13032852351123,"lichte toename",17.6484903675778,8.07990698337874e-10,0.88296208219064,"sterke toename",-2.62319289431845,9.4698609968894e-13,0.7241984764557,"matige afname","eigen_trendduiding_op_basis_van_trim_index",37.2500866355236,"1981_1983_naar_1984_1986"
4,120,"Geoorde Fuut","brugbare_tijdreeks",1960,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1960,2025,66,3.68619218938817,0.00443723595840769,0.127194969351123,"matige toename",26.7649235252799,2.75850646040498e-06,0.639385952253383,"sterke toename",-6.82168491144839,2.77905983480959e-05,0.39006612510283,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",16.3377437760046,"1981_1983_naar_1984_1986"
5,720,"Aalscholver","alleen_post_bruikbaar",1988,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1988,2025,38,15.8476570211523,7.5693963432482e-09,0.609074738604127,"sterke toename",NA,NA,NA,"onvoldoende_data",15.8476570211523,7.5693963432482e-09,0.609074738604127,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
7,950,"Roerdomp","alleen_post_bruikbaar",1984,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1984,2025,42,14.1123005189623,3.67591634933433e-10,0.629634666500211,"sterke toename",NA,NA,NA,"onvoldoende_data",14.1123005189623,3.67591634933433e-10,0.629634666500211,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
8,980,"Woudaap","alleen_post_bruikbaar",1991,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1991,2025,35,5.34640539873579,0.097047852603766,0.131607269634789,"onzeker",NA,NA,NA,"onvoldoende_data",5.34640539873579,0.097047852603766,0.131607269634789,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
11,1220,"Blauwe Reiger","alleen_post_bruikbaar",1990,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1990,2025,36,-20.8654064329231,1.98436138542959e-06,0.601975367922891,"sterke afname",NA,NA,NA,"onvoldoende_data",-20.8654064329231,1.98436138542959e-06,0.601975367922891,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
17,1520,"Knobbelzwaan","brugbare_tijdreeks",1975,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1975,2025,51,2.8011880353787,5.96234264595312e-05,0.282618126187171,"matige toename",47.3517698110062,0.00889483445755899,0.647626014035107,"sterke toename",0.342506320189195,0.202852504141515,0.0402198862502541,"stabiel","eigen_trendduiding_op_basis_van_trim_index",5.45073240116682,"1981_1983_naar_1984_1986"
21,1610,"Grauwe Gans","alleen_post_bruikbaar",1996,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1996,2025,30,9.65924928938227,6.81190646512282e-10,0.748782468824014,"sterke toename",NA,NA,NA,"onvoldoende_data",9.65924928938227,6.81190646512282e-10,0.748782468824014,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
22,1619,"Soepgans","alleen_post_bruikbaar",2004,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",2004,2025,22,-2.84263518681073,0.673865073989651,0.0140574423577074,"onzeker",NA,NA,NA,"onvoldoende_data",-2.84263518681073,0.673865073989651,0.0140574423577074,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
25,1661,"Grote Canadese Gans","alleen_post_bruikbaar",1999,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1999,2025,27,5.95416582484645,9.53770559024495e-09,0.738398776441147,"sterke toename",NA,NA,NA,"onvoldoende_data",5.95416582484645,9.53770559024495e-09,0.738398776441147,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
27,1700,"Nijlgans","brugbare_tijdreeks",1973,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1973,2025,53,2.44850765866527,0.0046292207601247,0.152365265426934,"matige toename",35.6761695669896,0.148793603839203,0.273217169815299,"onzeker",0.58575763893578,0.188604166416655,0.0428102734247265,"stabiel","eigen_trendduiding_op_basis_van_trim_index",1.29069906366137,"1981_1983_naar_1984_1986"
29,1730,"Bergeend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-8.06390481093436,6.44934333586061e-13,0.556827968579837,"sterke afname",4.70708794650081,2.2262738585017e-05,0.534260104123386,"matige toename",-14.1668201998909,1.74747929132601e-09,0.619093383590492,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",2.08544926111917,"1981_1983_naar_1984_1986"
34,1820,"Krakeend","brugbare_tijdreeks",1970,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1970,2025,56,0.512224831861796,0.140627417499956,0.0397656268828513,"stabiel",13.290511513121,0.00058263890479009,0.640863024882004,"sterke toename",-1.15363498280141,3.9045724063702e-05,0.348225737415714,"lichte afname","eigen_trendduiding_op_basis_van_trim_index",6.34055455305604,"1981_1983_naar_1984_1986"
35,1840,"Wintertaling","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-5.42519890345778,1.3467865459584e-10,0.511692439075366,"sterke afname",-5.30896026070268,0.0126891828868212,0.232145083679416,"sterke afname",-2.611882897137,0.124916209836487,0.0720073886055385,"onzeker","eigen_trendduiding_op_basis_van_trim_index",7.79346330849839,"1981_1983_naar_1984_1986"
36,1860,"Wilde Eend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-2.03892212349827,6.17371632252451e-21,0.739227518746748,"matige afname",-5.15227827708855,5.49541156503307e-09,0.763806669506461,"sterke afname",-1.73811300571742,1.29327351389143e-10,0.648244714846378,"lichte afname","eigen_trendduiding_op_basis_van_trim_index",0.446771331251579,"1981_1983_naar_1984_1986"
37,1869,"Soepeend","alleen_post_bruikbaar",1993,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1993,2025,33,-4.48610507241001,0.000369561838603962,0.339957481461629,"matige afname",NA,NA,NA,"onvoldoende_data",-4.48610507241001,0.000369561838603962,0.339957481461629,"matige afname","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
39,1910,"Zomertaling","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,64,-15.0688437649847,3.50237761640861e-12,0.724270999567761,"sterke afname",-26.7585524475484,1.80654796825958e-10,0.821814120653518,"sterke afname",-0.99386902778249,0.864047163198115,0.00254371809180157,"stabiel","eigen_trendduiding_op_basis_van_trim_index",0.00175017479649152,"1981_1983_naar_1984_1986"
