"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","brugfactor","brugmethode","trend_contract","overall_trend_formaliteit","overall_periode","overall_eerste_jaar","overall_laatste_jaar","overall_n_kalenderjaren","overall_n_modeltijdpunten","overall_trend_pct_per_jaar","overall_trend_methode","overall_trend_status","trend_pre_formaliteit","trend_pre_periode","trend_pre_eerste_jaar","trend_pre_laatste_jaar","trend_pre_n_kalenderjaren","trend_pre_n_modeltijdpunten","trend_pre_pct_per_jaar","trend_pre_se_pct","trend_pre_ci95_laag_pct","trend_pre_ci95_hoog_pct","trend_pre_p","trend_pre_methode","trend_pre_status","trend_pre_klasse","trend_pre_duiding_type","trend_pre_model","trend_pre_model_fallback_reden","trend_post_formaliteit","trend_post_periode","trend_post_eerste_jaar","trend_post_laatste_jaar","trend_post_n_kalenderjaren","trend_post_n_modeltijdpunten","trend_post_pct_per_jaar","trend_post_se_pct","trend_post_ci95_laag_pct","trend_post_ci95_hoog_pct","trend_post_p","trend_post_methode","trend_post_status","trend_post_klasse","trend_post_duiding_type","trend_post_model","trend_post_model_fallback_reden"
1,70,"Dodaars","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,1.55626874169269,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1958,2025,68,68,1.79564051261367,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1958,1983,26,26,-2.85804330805334,0.592603094984428,-4.07344860452842,-1.62723862513925,7.77639613702568e-05,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen","formeel","1984-2025",1984,2025,42,42,1.58991879215407,0.312333376031003,0.960626633446227,2.22313335739026,7.79957034034086e-06,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_toename_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
2,90,"Fuut","brugbare_tijdreeks",1964,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1964,2025,62,37.3435966192995,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1964,2025,62,62,1.56447398646564,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1964,1983,20,20,17.6484903675778,2.07160187129562,13.3757364854837,22.0822701120201,3.01852898760768e-08,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","sterke_toename_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen","formeel","1984-2025",1984,2025,42,42,-2.5855690611571,0.181628111220123,-2.95196239843084,-2.21779244936369,4.65391830983577e-17,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
4,120,"Geoorde Fuut","brugbare_tijdreeks",1960,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1960,2025,66,16.3338270947903,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1960,2025,66,66,3.67021729609061,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1960,1983,24,24,26.7649235252774,54.2085792189773,-47.7791165164331,207.718766217853,0.584762764772039,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2","formeel","1984-2025",1984,2025,42,42,-7.34435340956257,26.5017893589331,-48.0224069437053,65.1686494177197,0.791076862956167,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
17,1520,"Knobbelzwaan","brugbare_tijdreeks",1975,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1975,2025,51,5.45468468095033,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1975,2025,51,51,2.80547351794864,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1975,1983,9,9,47.351769811008,27.2299523469882,-4.81230636893368,128.10242835162,0.0741184138578385,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2","formeel","1984-2025",1984,2025,42,42,0.349253804099958,0.35414563209802,-0.363954664499544,1.06756751666983,0.329136621365008,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","stabiel","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
27,1700,"Nijlgans","brugbare_tijdreeks",1973,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1973,2025,53,1.29065616291223,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1973,2025,53,53,2.44916572855298,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1973,1983,11,11,35.9405949359533,44.3977070433859,-35.0637750266875,184.584534427984,0.371689552574331,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2","formeel","1984-2025",1984,2025,42,42,0.586253955656035,0.390001403747322,-0.198887969139205,1.37757264371099,0.139513116043189,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","stabiel","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
29,1730,"Bergeend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,2.08192594837171,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1958,2025,68,68,-8.00918832493405,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1958,1983,26,26,4.70708794650077,0.895011029991113,2.87607456033816,6.57069015406457,1.58833687706841e-05,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_toename_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen","formeel","1984-2025",1984,2025,42,42,-13.4274156253894,87.5703067690359,-88.7921376725488,568.710245212613,0.887365758258902,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
34,1820,"Krakeend","brugbare_tijdreeks",1970,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1970,2025,56,6.3457047221272,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1970,2025,56,56,0.521638404143987,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1970,1983,14,14,13.2905115131209,1.82818270981465,9.37645542693184,17.3446327987721,5.31442230277586e-06,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","sterke_toename_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen","formeel","1984-2025",1984,2025,42,42,-1.13475127966072,0.229058361854495,-1.59661330140647,-0.67072148163928,1.49956932997896e-05,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
35,1840,"Wintertaling","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,7.79346330849839,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1958,2025,68,68,-5.42519890345778,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1958,1983,26,26,-5.30896026070242,1.31650105864121,-7.98747166703347,-2.5524766098974,0.000638915444898985,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen","formeel","1984-2025",1984,2025,42,42,-1.42688996916025,3.95888021807996,-9.11196685518289,6.90800191120795,0.72234158741845,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
36,1860,"Wilde Eend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,0.447190917694645,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1958,2025,68,68,-2.03128514038812,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1958,1983,26,26,-5.15227827708844,0.382639290043024,-5.93872831235521,-4.35925270178407,1.95332952771427e-12,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen","formeel","1984-2025",1984,2025,42,42,-1.71714721096645,0.171909773576342,-2.06397641941304,-1.3690897466092,2.56070836890782e-12,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","matige_afname_p_kleiner_dan_0_01","rtrim_overall_classificatie","model3_overdisp","voorkeursmodel_gekozen"
39,1910,"Zomertaling","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,64,0.00175017479649152,"1981_1983_naar_1984_1986","trim-trend-v2","beschrijvend","1958-2025",1958,2025,68,64,-15.0688437649847,"loglineaire samenvatting van geschatte indices; geen formele inferentie","gebrugde_reeks_zonder_bootstrap","formeel","1958-1983",1958,1983,26,26,-26.7585524475482,63.1809611207544,-87.6536411482004,334.485155013669,0.721261302379147,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2","formeel","1984-2025",1988,2025,38,38,2.49687099398184,2.24043259155659,-1.94769264725519,7.14290002134119,0.266674087113656,"rtrim::overall(imputed); volledige variantie-covariantiematrix","beschikbaar","onzeker","rtrim_overall_classificatie","model2_basis","model3_varianten_mislukt_fallback_naar_model2"
