"group_code","groep_titel","analysis_mode","msi_variant","weggelaten_soort_id","weggelaten_soort","baseline_trend_pct_per_jaar","loso_trend_pct_per_jaar","verschil_procentpunt","richtingsomslag"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",8,"Woudaap",-1.57028361760247,-1.54208737066399,0.0281962469384833,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",11,"Blauwe Reiger",-1.57028361760247,-1.45153743300913,0.118746184593344,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",29,"Bergeend",-1.57028361760247,-1.44746378273807,0.122819834864407,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",37,"Soepeend",-1.57028361760247,-1.59298540254822,-0.0227017849457445,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",44,"Kuifeend",-1.57028361760247,-1.53660860792217,0.0336750096803007,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",64,"Torenvalk",-1.57028361760247,-1.45593768239869,0.114345935203786,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",69,"Patrijs",-1.57028361760247,-1.7679002047059,-0.197616587103422,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",70,"Kwartel",-1.57028361760247,-1.5536397566013,0.0166438610011754,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",80,"Scholekster",-1.57028361760247,-1.46524497400111,0.105038643601363,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",84,"Kleine Plevier",-1.57028361760247,-1.61156951070559,-0.0412858931031157,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",88,"Kievit",-1.57028361760247,-1.56165692721711,0.00862669038536046,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",93,"Watersnip",-1.57028361760247,-1.57389926999238,-0.00361565238991002,FALSE
