"group_code","groep_titel","analysis_mode","msi_variant","publicatiestatus","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_bruikbare_soorten","gemiddeld_n_soorten","min_n_soorten","max_n_soorten","cv_n_soorten","samenstelling_waarschuwing","trend_contract","trend_formaliteit","trend_status","trend_methode","overall_trend_pct_per_jaar","trend_pre_pct_per_jaar","trend_post_pct_per_jaar","trendduiding_type"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,60,44.6911764705882,26,52,0.119922708399923,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.53607501419143,1.78119015910416,-2.45655212769739,"beschrijvend_geen_trendklasse"
"fg_v1_grondbroed","Grondbroeders","binair","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,59,43.6617647058824,29,52,0.150817198864268,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.26503193675899,0.845979710173905,-2.229452774979,"beschrijvend_geen_trendklasse"
"fg_v1_holenbroed","Holenbroeders","binair","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,34,25.6470588235294,7,33,0.255081505356601,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-2.89719017512324,-1.37530336994052,-4.41521132524845,"beschrijvend_geen_trendklasse"
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,39,26.2205882352941,13,33,0.178256303195959,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.46810936732895,0.206385875063386,-0.958600330854653,"beschrijvend_geen_trendklasse"
"fg_v1_lucht","Luchtfoerageerders","binair","volledig","bruikbaar_met_onzekerheidsanalyse",1959,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1959,2025,14,8.43283582089552,2,14,0.392878193713647,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-2.56396056452831,-8.99673332958948,0.638752182759861,"beschrijvend_geen_trendklasse"
"fg_v1_zaad","Zaadeters","binair","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,52,39.7794117647059,14,48,0.192768173239065,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.46404293690304,0.127039251546579,-3.23608017296168,"beschrijvend_geen_trendklasse"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,43,39.9411764705882,25,43,0.0798654610365023,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.38331055853216,2.66514292472486,-2.50708376717546,"beschrijvend_geen_trendklasse"
"fg_v1_grondbroed","Grondbroeders","binair","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,40,36.5147058823529,28,40,0.0721463560481643,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.94101991737071,1.69882003088522,-3.84515510580382,"beschrijvend_geen_trendklasse"
"fg_v1_holenbroed","Holenbroeders","binair","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,28,24.0147058823529,7,28,0.225968160749367,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-2.7305547072629,-1.38566001601289,-4.29206082431723,"beschrijvend_geen_trendklasse"
"fg_v1_lange_trek","Langeafstandstrekkers","binair","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,27,23.0147058823529,13,27,0.104154788095123,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.29575456069571,0.201689668287375,-1.23191700791699,"beschrijvend_geen_trendklasse"
