"groep_100","groep_titel","soort_id","euring_code","soort_naam","msi_variant"
100,"Watervogels",29,1730,"Bergeend","volledig"
100,"Watervogels",1,70,"Dodaars","volledig"
100,"Watervogels",2,90,"Fuut","volledig"
100,"Watervogels",4,120,"Geoorde Fuut","volledig"
100,"Watervogels",21,1610,"Grauwe Gans","volledig"
100,"Watervogels",137,8310,"IJsvogel","volledig"
100,"Watervogels",17,1520,"Knobbelzwaan","volledig"
100,"Watervogels",105,5820,"Kokmeeuw","volledig"
100,"Watervogels",34,1820,"Krakeend","volledig"
100,"Watervogels",41,1960,"Krooneend","volledig"
100,"Watervogels",44,2030,"Kuifeend","volledig"
100,"Watervogels",78,4290,"Meerkoet","volledig"
100,"Watervogels",27,1700,"Nijlgans","volledig"
100,"Watervogels",151,9810,"Oeverzwaluw","volledig"
100,"Watervogels",40,1940,"Slobeend","volledig"
100,"Watervogels",42,1980,"Tafeleend","volledig"
100,"Watervogels",116,6150,"Visdief","volledig"
100,"Watervogels",77,4240,"Waterhoen","volledig"
100,"Watervogels",36,1860,"Wilde Eend","volledig"
100,"Watervogels",35,1840,"Wintertaling","volledig"
100,"Watervogels",39,1910,"Zomertaling","volledig"
200,"Rietvogels",168,11060,"Blauwborst","volledig"
200,"Rietvogels",189,12530,"Grote Karekiet","volledig"
200,"Rietvogels",188,12510,"Kleine Karekiet","volledig"
200,"Rietvogels",251,18770,"Rietgors","volledig"
200,"Rietvogels",186,12430,"Rietzanger","volledig"
200,"Rietvogels",7,950,"Roerdomp","volledig"
200,"Rietvogels",184,12380,"Snor","volledig"
200,"Rietvogels",182,12360,"Sprinkhaanrietzanger","volledig"
200,"Rietvogels",77,4240,"Waterhoen","volledig"
200,"Rietvogels",72,4070,"Waterral","volledig"
200,"Rietvogels",93,5190,"Watersnip","volledig"
200,"Rietvogels",8,980,"Woudaap","volledig"
300,"Vogels van pionierbegroeiingen",29,1730,"Bergeend","volledig"
300,"Vogels van pionierbegroeiingen",148,9740,"Boomleeuwerik","volledig"
300,"Vogels van pionierbegroeiingen",158,10171,"Gele Kwikstaart","volledig"
300,"Vogels van pionierbegroeiingen",71,3940,"Gewone Fazant","volledig"
300,"Vogels van pionierbegroeiingen",156,10110,"Graspieper","volledig"
300,"Vogels van pionierbegroeiingen",122,6680,"Holenduif","volledig"
300,"Vogels van pionierbegroeiingen",224,15600,"Kauw","volledig"
300,"Vogels van pionierbegroeiingen",88,4930,"Kievit","volledig"
300,"Vogels van pionierbegroeiingen",107,5910,"Kleine Mantelmeeuw","volledig"
300,"Vogels van pionierbegroeiingen",84,4690,"Kleine Plevier","volledig"
300,"Vogels van pionierbegroeiingen",147,9720,"Kuifleeuwerik","volledig"
300,"Vogels van pionierbegroeiingen",70,3700,"Kwartel","volledig"
300,"Vogels van pionierbegroeiingen",151,9810,"Oeverzwaluw","volledig"
300,"Vogels van pionierbegroeiingen",171,11370,"Paapje","volledig"
300,"Vogels van pionierbegroeiingen",69,3670,"Patrijs","volledig"
300,"Vogels van pionierbegroeiingen",80,4500,"Scholekster","volledig"
300,"Vogels van pionierbegroeiingen",106,5900,"Stormmeeuw","volledig"
300,"Vogels van pionierbegroeiingen",173,11460,"Tapuit","volledig"
300,"Vogels van pionierbegroeiingen",150,9760,"Veldleeuwerik","volledig"
300,"Vogels van pionierbegroeiingen",116,6150,"Visdief","volledig"
300,"Vogels van pionierbegroeiingen",93,5190,"Watersnip","volledig"
300,"Vogels van pionierbegroeiingen",162,10201,"Witte Kwikstaart","volledig"
300,"Vogels van pionierbegroeiingen",97,5410,"Wulp","volledig"
300,"Vogels van pionierbegroeiingen",108,5920,"Zilvermeeuw","volledig"
400,"Vogels van open heide",29,1730,"Bergeend","volledig"
400,"Vogels van open heide",158,10171,"Gele Kwikstaart","volledig"
400,"Vogels van open heide",156,10110,"Graspieper","volledig"
400,"Vogels van open heide",88,4930,"Kievit","volledig"
400,"Vogels van open heide",70,3700,"Kwartel","volledig"
400,"Vogels van open heide",171,11370,"Paapje","volledig"
400,"Vogels van open heide",69,3670,"Patrijs","volledig"
400,"Vogels van open heide",80,4500,"Scholekster","volledig"
400,"Vogels van open heide",98,5460,"Tureluur","volledig"
400,"Vogels van open heide",150,9760,"Veldleeuwerik","volledig"
400,"Vogels van open heide",93,5190,"Watersnip","volledig"
400,"Vogels van open heide",97,5410,"Wulp","volledig"
500,"Weidevogels",158,10171,"Gele Kwikstaart","volledig"
500,"Weidevogels",156,10110,"Graspieper","volledig"
500,"Weidevogels",88,4930,"Kievit","volledig"
500,"Weidevogels",34,1820,"Krakeend","volledig"
500,"Weidevogels",70,3700,"Kwartel","volledig"
500,"Weidevogels",171,11370,"Paapje","volledig"
500,"Weidevogels",69,3670,"Patrijs","volledig"
500,"Weidevogels",80,4500,"Scholekster","volledig"
500,"Weidevogels",40,1940,"Slobeend","volledig"
500,"Weidevogels",98,5460,"Tureluur","volledig"
500,"Weidevogels",150,9760,"Veldleeuwerik","volledig"
500,"Weidevogels",116,6150,"Visdief","volledig"
500,"Weidevogels",93,5190,"Watersnip","volledig"
500,"Weidevogels",36,1860,"Wilde Eend","volledig"
500,"Weidevogels",35,1840,"Wintertaling","volledig"
500,"Weidevogels",97,5410,"Wulp","volledig"
500,"Weidevogels",39,1910,"Zomertaling","volledig"
600,"Struweelvogels",168,11060,"Blauwborst","volledig"
600,"Struweelvogels",187,12500,"Bosrietzanger","volledig"
600,"Struweelvogels",192,12740,"Braamsluiper","volledig"
600,"Struweelvogels",200,13120,"Fitis","volledig"
600,"Struweelvogels",71,3940,"Gewone Fazant","volledig"
600,"Struweelvogels",246,17100,"Goudvink","volledig"
600,"Struweelvogels",193,12750,"Grasmus","volledig"
600,"Struweelvogels",219,15150,"Grauwe Klauwier","volledig"
600,"Struweelvogels",165,10840,"Heggenmus","volledig"
600,"Struweelvogels",239,16600,"Kneu","volledig"
600,"Struweelvogels",209,14420,"Matkop","volledig"
600,"Struweelvogels",175,11870,"Merel","volledig"
600,"Struweelvogels",167,11040,"Nachtegaal","volledig"
600,"Struweelvogels",171,11370,"Paapje","volledig"
600,"Struweelvogels",251,18770,"Rietgors","volledig"
600,"Struweelvogels",166,10990,"Roodborst","volledig"
600,"Struweelvogels",172,11390,"Roodborsttapuit","volledig"
600,"Struweelvogels",190,12590,"Spotvogel","volledig"
600,"Struweelvogels",182,12360,"Sprinkhaanrietzanger","volledig"
600,"Struweelvogels",207,14370,"Staartmees","volledig"
600,"Struweelvogels",125,6870,"Tortelduif","volledig"
600,"Struweelvogels",194,12760,"Tuinfluiter","volledig"
600,"Struweelvogels",164,10660,"Winterkoning","volledig"
600,"Struweelvogels",177,12000,"Zanglijster","volledig"
600,"Struweelvogels",195,12770,"Zwartkop","volledig"
700,"Bosrandvogels",5,720,"Aalscholver","volledig"
700,"Bosrandvogels",240,16630,"Barmsijs","volledig"
700,"Bosrandvogels",11,1220,"Blauwe Reiger","volledig"
700,"Bosrandvogels",148,9740,"Boomleeuwerik","volledig"
700,"Bosrandvogels",155,10090,"Boompieper","volledig"
700,"Bosrandvogels",187,12500,"Bosrietzanger","volledig"
700,"Bosrandvogels",192,12740,"Braamsluiper","volledig"
700,"Bosrandvogels",180,12200,"Cetti's Zanger","volledig"
700,"Bosrandvogels",141,8480,"Draaihals","volledig"
700,"Bosrandvogels",223,15490,"Ekster","volledig"
700,"Bosrandvogels",200,13120,"Fitis","volledig"
700,"Bosrandvogels",249,18570,"Geelgors","volledig"
700,"Bosrandvogels",170,11220,"Gekraagde Roodstaart","volledig"
700,"Bosrandvogels",193,12750,"Grasmus","volledig"
700,"Bosrandvogels",219,15150,"Grauwe Klauwier","volledig"
700,"Bosrandvogels",142,8560,"Groene Specht","volledig"
700,"Bosrandvogels",236,16490,"Groenling","volledig"
700,"Bosrandvogels",165,10840,"Heggenmus","volledig"
700,"Bosrandvogels",239,16600,"Kneu","volledig"
700,"Bosrandvogels",176,11980,"Kramsvogel","volledig"
700,"Bosrandvogels",167,11040,"Nachtegaal","volledig"
700,"Bosrandvogels",135,7780,"Nachtzwaluw","volledig"
