kavelid_vwg,kavel_label_vwg,url
1,1A,https://www.vwg-m.nl/werkgroep/kavel.asp?id=1
2,1B,https://www.vwg-m.nl/werkgroep/kavel.asp?id=2
3,2,https://www.vwg-m.nl/werkgroep/kavel.asp?id=3
4,3,https://www.vwg-m.nl/werkgroep/kavel.asp?id=4
5,4/5,https://www.vwg-m.nl/werkgroep/kavel.asp?id=5
6,6,https://www.vwg-m.nl/werkgroep/kavel.asp?id=6
7,7,https://www.vwg-m.nl/werkgroep/kavel.asp?id=7
8,8,https://www.vwg-m.nl/werkgroep/kavel.asp?id=8
9,10/12/76,https://www.vwg-m.nl/werkgroep/kavel.asp?id=9
10,12A,https://www.vwg-m.nl/werkgroep/kavel.asp?id=10
11,13,https://www.vwg-m.nl/werkgroep/kavel.asp?id=11
12,13S,https://www.vwg-m.nl/werkgroep/kavel.asp?id=12
13,14,https://www.vwg-m.nl/werkgroep/kavel.asp?id=13
14,15,https://www.vwg-m.nl/werkgroep/kavel.asp?id=14
15,16,https://www.vwg-m.nl/werkgroep/kavel.asp?id=15
16,16S,https://www.vwg-m.nl/werkgroep/kavel.asp?id=16
17,17A,https://www.vwg-m.nl/werkgroep/kavel.asp?id=17
18,17B,https://www.vwg-m.nl/werkgroep/kavel.asp?id=18
19,31,https://www.vwg-m.nl/werkgroep/kavel.asp?id=19
20,32,https://www.vwg-m.nl/werkgroep/kavel.asp?id=20
21,33,https://www.vwg-m.nl/werkgroep/kavel.asp?id=21
22,34,https://www.vwg-m.nl/werkgroep/kavel.asp?id=22
23,35,https://www.vwg-m.nl/werkgroep/kavel.asp?id=23
24,36,https://www.vwg-m.nl/werkgroep/kavel.asp?id=24
25,41,https://www.vwg-m.nl/werkgroep/kavel.asp?id=25
26,42,https://www.vwg-m.nl/werkgroep/kavel.asp?id=26
27,43,https://www.vwg-m.nl/werkgroep/kavel.asp?id=27
28,45,https://www.vwg-m.nl/werkgroep/kavel.asp?id=28
29,46,https://www.vwg-m.nl/werkgroep/kavel.asp?id=29
30,51,https://www.vwg-m.nl/werkgroep/kavel.asp?id=30
31,52,https://www.vwg-m.nl/werkgroep/kavel.asp?id=31
32,53,https://www.vwg-m.nl/werkgroep/kavel.asp?id=32
33,54A,https://www.vwg-m.nl/werkgroep/kavel.asp?id=33
34,54B,https://www.vwg-m.nl/werkgroep/kavel.asp?id=34
35,55,https://www.vwg-m.nl/werkgroep/kavel.asp?id=35
36,61,https://www.vwg-m.nl/werkgroep/kavel.asp?id=36
37,62,https://www.vwg-m.nl/werkgroep/kavel.asp?id=37
38,63,https://www.vwg-m.nl/werkgroep/kavel.asp?id=38
39,64,https://www.vwg-m.nl/werkgroep/kavel.asp?id=39
40,65,https://www.vwg-m.nl/werkgroep/kavel.asp?id=40
41,66,https://www.vwg-m.nl/werkgroep/kavel.asp?id=41
42,71,https://www.vwg-m.nl/werkgroep/kavel.asp?id=42
43,72,https://www.vwg-m.nl/werkgroep/kavel.asp?id=43
44,73,https://www.vwg-m.nl/werkgroep/kavel.asp?id=44
45,74,https://www.vwg-m.nl/werkgroep/kavel.asp?id=45
46,75,https://www.vwg-m.nl/werkgroep/kavel.asp?id=46
47,75A,https://www.vwg-m.nl/werkgroep/kavel.asp?id=47
48,77,https://www.vwg-m.nl/werkgroep/kavel.asp?id=48
49,78/79,https://www.vwg-m.nl/werkgroep/kavel.asp?id=49
51,81,https://www.vwg-m.nl/werkgroep/kavel.asp?id=51
52,82,https://www.vwg-m.nl/werkgroep/kavel.asp?id=52
53,83,https://www.vwg-m.nl/werkgroep/kavel.asp?id=53
54,84,https://www.vwg-m.nl/werkgroep/kavel.asp?id=54
55,85,https://www.vwg-m.nl/werkgroep/kavel.asp?id=55
56,86,https://www.vwg-m.nl/werkgroep/kavel.asp?id=56
57,91,https://www.vwg-m.nl/werkgroep/kavel.asp?id=57
58,92,https://www.vwg-m.nl/werkgroep/kavel.asp?id=58
59,93,https://www.vwg-m.nl/werkgroep/kavel.asp?id=59
60,94,https://www.vwg-m.nl/werkgroep/kavel.asp?id=60
61,101,https://www.vwg-m.nl/werkgroep/kavel.asp?id=61
62,102,https://www.vwg-m.nl/werkgroep/kavel.asp?id=62
63,103,https://www.vwg-m.nl/werkgroep/kavel.asp?id=63
64,104,https://www.vwg-m.nl/werkgroep/kavel.asp?id=64
65,105,https://www.vwg-m.nl/werkgroep/kavel.asp?id=65
66,106,https://www.vwg-m.nl/werkgroep/kavel.asp?id=66
67,107,https://www.vwg-m.nl/werkgroep/kavel.asp?id=67
68,84S,https://www.vwg-m.nl/werkgroep/kavel.asp?id=68
